"TF","HMVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MYOD1","2.708649028215092791","2.708649028215092791","2.708649028215092791","Activated","41","viper","41","2.708649028215092791",NA,NA,"5","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=167); ARCHS4--Coexpression(rank=231); Enrichr--Queries(rank=668); GTEx--Coexpression(rank=878)","455","0.127099999999999991","ENCODE ChIP-seq,0.1271"
"ZNF274","-2.685810827816531798","-2.685810827816531798","2.685810827816531798","Repressed","42","viper","42","2.685810827816531798",NA,NA,"6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=278); Enrichr--Queries(rank=890); ARCHS4--Coexpression(rank=1017); GTEx--Coexpression(rank=1130)","1368","0.567100000000000048","Literature ChIP-seq,0.5671"
"POU5F1","2.669709557001823441","2.669709557001823441","2.669709557001823441","Activated","43","viper","43","2.669709557001823441",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=15); GTEx--Coexpression(rank=299); ARCHS4--Coexpression(rank=751); Enrichr--Queries(rank=800)","208","0.050509999999999999","ReMap ChIP-seq,0.05051"
"RUNX2","2.664033570542252871","2.664033570542252871","2.664033570542252871","Activated","44","viper","44","2.664033570542252871",NA,NA,"5","ReMap--ChIP-seq(rank=17); Literature--ChIP-seq(rank=29); Enrichr--Queries(rank=67); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=192)","180","0.042939999999999999","GTEx Coexpression,0.04294"
"ZEB1","2.591393950303882754","2.591393950303882754","2.591393950303882754","Activated","45","viper","45","2.591393950303882754",NA,NA,"5","ENCODE--ChIP-seq(rank=6); GTEx--Coexpression(rank=24); ARCHS4--Coexpression(rank=70); Enrichr--Queries(rank=71); ReMap--ChIP-seq(rank=188)","69","0.014930000000000001","GTEx Coexpression,0.01493"
"ZKSCAN1","-2.571504398982573658","-2.571504398982573658","2.571504398982573658","Repressed","46","viper","46","2.571504398982573658",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=85); ARCHS4--Coexpression(rank=99); GTEx--Coexpression(rank=268); Enrichr--Queries(rank=1029)","243","0.060810000000000003","ARCHS4 Coexpression,0.06081"
"ZEB2","-2.556507453039440936","-2.556507453039440936","2.556507453039440936","Repressed","47","viper","47","2.556507453039440936",NA,NA,"4","ReMap--ChIP-seq(rank=137); Enrichr--Queries(rank=175); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=838)","447","0.124600000000000002","Enrichr Queries,0.1246"
"HOXB13","2.536136335003533304","2.536136335003533304","2.536136335003533304","Activated","48","viper","48","2.536136335003533304",NA,NA,"4","ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=220); Enrichr--Queries(rank=290); ARCHS4--Coexpression(rank=385)","486","0.136899999999999994","GTEx Coexpression,0.1369"
"NFKB1","2.532893480028666211","2.532893480028666211","2.532893480028666211","Activated","49","viper","49","2.532893480028666211",NA,NA,"4","ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=326); Enrichr--Queries(rank=814); GTEx--Coexpression(rank=1195)","644","0.200199999999999989","ARCHS4 Coexpression,0.2002"
"PAX5","-2.512616708203720073","-2.512616708203720073","2.512616708203720073","Repressed","50","viper","50","2.512616708203720073",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=507); GTEx--Coexpression(rank=797); Enrichr--Queries(rank=808)","916","0.311400000000000010","ARCHS4 Coexpression,0.3114"
"SP1","-2.436310088653867556","-2.436310088653867556","2.436310088653867556","Repressed","51","viper","51","2.436310088653867556",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=1008); Enrichr--Queries(rank=1325); GTEx--Coexpression(rank=1341)","693","0.218900000000000011","ReMap ChIP-seq,0.2189"
"STAT1","2.386520184094385488","2.386520184094385488","2.386520184094385488","Activated","52","viper","52","2.386520184094385488",NA,NA,"6","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=403); ARCHS4--Coexpression(rank=518); GTEx--Coexpression(rank=919)","607","0.181799999999999989","ReMap ChIP-seq,0.1818"
"TGIF2","2.363851518566795651","2.363851518566795651","2.363851518566795651","Activated","53","viper","53","2.363851518566795651",NA,NA,"4","ReMap--ChIP-seq(rank=189); Enrichr--Queries(rank=438); GTEx--Coexpression(rank=684); ARCHS4--Coexpression(rank=1489)","917","0.312000000000000000","Enrichr Queries,0.312"
"KLF9","-2.344372658730635717","-2.344372658730635717","2.344372658730635717","Repressed","54","viper","54","2.344372658730635717",NA,NA,"4","ReMap--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=77); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=576)","198","0.047300000000000002","ARCHS4 Coexpression,0.0473"
"TCF4","2.312765900005096853","2.312765900005096853","2.312765900005096853","Activated","55","viper","55","2.312765900005096853",NA,NA,"5","ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=48); Enrichr--Queries(rank=125); GTEx--Coexpression(rank=312)","127","0.029479999999999999","ARCHS4 Coexpression,0.02948"
"MAFK","2.310503261362369720","2.310503261362369720","2.310503261362369720","Activated","56","viper","56","2.310503261362369720",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=206); GTEx--Coexpression(rank=321); Enrichr--Queries(rank=329); ARCHS4--Coexpression(rank=965)","642","0.199800000000000005","GTEx Coexpression,0.1998"
"FOXK2","-2.309161984916726418","-2.309161984916726418","2.309161984916726418","Repressed","57","viper","57","2.309161984916726418",NA,NA,"4","ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=1339); ARCHS4--Coexpression(rank=1501); GTEx--Coexpression(rank=1557)","1485","0.690200000000000036","ReMap ChIP-seq,0.6902"
"GATA3","2.307790141026805131","2.307790141026805131","2.307790141026805131","Activated","58","viper","58","2.307790141026805131",NA,NA,"6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=78); Enrichr--Queries(rank=250); GTEx--Coexpression(rank=339); ARCHS4--Coexpression(rank=410)","268","0.067799999999999999","ENCODE ChIP-seq,0.0678"
"E2F3","-2.292348601773044336","-2.292348601773044336","2.292348601773044336","Repressed","59","viper","59","2.292348601773044336",NA,NA,"3","Enrichr--Queries(rank=1004); GTEx--Coexpression(rank=1335); ARCHS4--Coexpression(rank=1464)","1509","0.715099999999999847","Enrichr Queries,0.7151"
