"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"OTX2","1.002458978253810695","-1.002458978253810695","0.316121969456042095636405520053813233971595764160","HMVL_ALL=-1.002","Repressed","239","collectri","239","1.002458978253810695",NA,"4","ARCHS4--Coexpression(rank=125); ReMap--ChIP-seq(rank=240); Enrichr--Queries(rank=503); GTEx--Coexpression(rank=924)","286","0.07678000000000000","ARCHS4 Coexpression,0.07678"
"HSF4","0.997657979740814826","-0.997657979740814826","0.318445235763282319396694219904020428657531738281","HMVL_ALL=-0.9977","Repressed","240","collectri","240","0.997657979740814826",NA,"3","Enrichr--Queries(rank=349); GTEx--Coexpression(rank=555); ARCHS4--Coexpression(rank=621)","858","0.24859999999999999","Enrichr Queries,0.2486"
"HOXB2","0.994311221996093564","0.994311221996093564","0.320071373994911645421979073944385163486003875732","HMVL_ALL=0.9943","Activated","241","collectri","241","0.994311221996093564",NA,"3","ARCHS4--Coexpression(rank=1036); Enrichr--Queries(rank=1186); GTEx--Coexpression(rank=1275)","1514","0.63639999999999997","ARCHS4 Coexpression,0.6364"
"EZH2","0.991429788048093341","-0.991429788048093341","0.321475760830275347768036908746580593287944793701","HMVL_ALL=-0.9914","Repressed","242","collectri","242","0.991429788048093341",NA,"0","",NA,NA,NA
"NR4A2","0.983552332413006880","0.983552332413006880","0.325335672303568690377773009458906017243862152100","HMVL_ALL=0.9836","Activated","243","collectri","243","0.983552332413006880",NA,"4","Literature--ChIP-seq(rank=138); GTEx--Coexpression(rank=676); Enrichr--Queries(rank=913); ARCHS4--Coexpression(rank=1311)","1236","0.42070000000000002","GTEx Coexpression,0.4207"
"PAX6","0.982739287576594012","0.982739287576594012","0.325735769321267520925999860992305912077426910400","HMVL_ALL=0.9827","Activated","244","collectri","244","0.982739287576594012",NA,"5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=1114); ARCHS4--Coexpression(rank=1275); GTEx--Coexpression(rank=1333)","401","0.10979999999999999","Literature ChIP-seq,0.1098"
"GLI2","0.980965248071296814","-0.980965248071296814","0.326609879243066725251765092252753674983978271484","HMVL_ALL=-0.981","Repressed","245","collectri","245","0.980965248071296814",NA,"3","ARCHS4--Coexpression(rank=276); Enrichr--Queries(rank=1080); GTEx--Coexpression(rank=1541)","608","0.16950000000000001","ARCHS4 Coexpression,0.1695"
"GATA4","0.979976271736531679","0.979976271736531679","0.327097831512804193554444509572931565344333648682","HMVL_ALL=0.98","Activated","246","collectri","246","0.979976271736531679",NA,"5","Literature--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=1090); Enrichr--Queries(rank=1133); GTEx--Coexpression(rank=1479)","1013","0.31100000000000000","Literature ChIP-seq,0.311"
"CTNNB1","0.979768102317434164","0.979768102317434164","0.327200600760247817255788049806142225861549377441","HMVL_ALL=0.9798","Activated","247","collectri","247","0.979768102317434164",NA,"0","",NA,NA,NA
"NAB2","0.979673272086854396","0.979673272086854396","0.327247423575113549620851927102194167673587799072","HMVL_ALL=0.9797","Activated","248","collectri","248","0.979673272086854396",NA,"0","",NA,NA,NA
"SMAD3","0.976761381071679091","0.976761381071679091","0.328687299240888408657923491773544810712337493896","HMVL_ALL=0.9768","Activated","249","collectri","249","0.976761381071679091",NA,"5","Literature--ChIP-seq(rank=137); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=825); GTEx--Coexpression(rank=1167); ARCHS4--Coexpression(rank=1521)","1477","0.58760000000000001","Enrichr Queries,0.5876"
"SPI1","0.976713555215044216","0.976713555215044216","0.328710982466881351804488531342940405011177062988","HMVL_ALL=0.9767","Activated","250","collectri","250","0.976713555215044216",NA,"6","Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=1192); Enrichr--Queries(rank=1385); ARCHS4--Coexpression(rank=1463)","483","0.13410000000000000","Literature ChIP-seq,0.1341"
"NOTO","0.975665506786867920","-0.975665506786867920","0.329230250773950905429643398747430182993412017822","HMVL_ALL=-0.9757","Repressed","251","collectri","251","0.975665506786867920",NA,"3","Enrichr--Queries(rank=692); ARCHS4--Coexpression(rank=810); GTEx--Coexpression(rank=1531)","1360","0.49290000000000000","Enrichr Queries,0.4929"
"VDR","0.968402348588025319","0.968402348588025319","0.332843466995118686391208484565140679478645324707","HMVL_ALL=0.9684","Activated","252","collectri","252","0.968402348588025319",NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=27); Enrichr--Queries(rank=443); ARCHS4--Coexpression(rank=783); GTEx--Coexpression(rank=864)","337","0.09091000000000000","ReMap ChIP-seq,0.09091"
