"TF","HMVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MAFF","-0.658174765321891231","-0.658174765321891231","0.658174765321891231","Repressed","159","viper","159","0.658174765321891231",NA,NA,"5","ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=198); Enrichr--Queries(rank=536); ARCHS4--Coexpression(rank=645); GTEx--Coexpression(rank=1440)","1119","0.38179999999999997","Enrichr Queries,0.3818"
"ZNF274","-0.647404972509647569","-0.647404972509647569","0.647404972509647569","Repressed","160","viper","160","0.647404972509647569",NA,NA,"6","ENCODE--ChIP-seq(rank=92); Literature--ChIP-seq(rank=152); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=738); ARCHS4--Coexpression(rank=860); GTEx--Coexpression(rank=1534)","1336","0.52559999999999996","Enrichr Queries,0.5256"
"DUX4","-0.642523750873617128","-0.642523750873617128","0.642523750873617128","Repressed","161","viper","161","0.642523750873617128",NA,NA,"2","ReMap--ChIP-seq(rank=292); ARCHS4--Coexpression(rank=1345)","1592","0.82620000000000005","ARCHS4 Coexpression,0.8262"
"TFAP2C","-0.639984798165436075","-0.639984798165436075","0.639984798165436075","Repressed","162","viper","162","0.639984798165436075",NA,NA,"6","ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=76); Literature--ChIP-seq(rank=94); GTEx--Coexpression(rank=414); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=1342)","638","0.17169999999999999","ReMap ChIP-seq,0.1717"
"FOXA2","0.638643465693732981","0.638643465693732981","0.638643465693732981","Activated","163","viper","163","0.638643465693732981",NA,NA,"6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=290); Enrichr--Queries(rank=573); GTEx--Coexpression(rank=704); ARCHS4--Coexpression(rank=982)","1168","0.40810000000000002","Enrichr Queries,0.4081"
"USF1","-0.629725233900548242","-0.629725233900548242","0.629725233900548242","Repressed","164","viper","164","0.629725233900548242",NA,NA,"5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=127); GTEx--Coexpression(rank=346); Enrichr--Queries(rank=551)","325","0.07801000000000000","ARCHS4 Coexpression,0.07801"
"JUNB","0.623569260212052057","0.623569260212052057","0.623569260212052057","Activated","165","viper","165","0.623569260212052057",NA,NA,"4","Enrichr--Queries(rank=135); ARCHS4--Coexpression(rank=155); ReMap--ChIP-seq(rank=176); GTEx--Coexpression(rank=1164)","392","0.09521000000000000","ARCHS4 Coexpression,0.09521"
"FOSL2","-0.613272317180501791","-0.613272317180501791","0.613272317180501791","Repressed","166","viper","166","0.613272317180501791",NA,NA,"5","ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=507); Enrichr--Queries(rank=544); GTEx--Coexpression(rank=1481)","685","0.18640000000000001","ENCODE ChIP-seq,0.1864"
"KDM5B","0.609326228944941262","0.609326228944941262","0.609326228944941262","Activated","167","viper","167","0.609326228944941262",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=31); Literature--ChIP-seq(rank=154); GTEx--Coexpression(rank=597); ARCHS4--Coexpression(rank=628)","419","0.10440000000000001","ReMap ChIP-seq,0.1044"
"SREBF1","-0.598285573748781219","-0.598285573748781219","0.598285573748781219","Repressed","168","viper","168","0.598285573748781219",NA,NA,"6","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=78); Literature--ChIP-seq(rank=82); Enrichr--Queries(rank=545); GTEx--Coexpression(rank=559); ARCHS4--Coexpression(rank=878)","886","0.26260000000000000","ReMap ChIP-seq,0.2626"
"CEBPD","0.596751243640997742","0.596751243640997742","0.596751243640997742","Activated","169","viper","169","0.596751243640997742",NA,NA,"5","ReMap--ChIP-seq(rank=71); ENCODE--ChIP-seq(rank=109); Literature--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=256); GTEx--Coexpression(rank=626)","596","0.15720000000000001","ARCHS4 Coexpression,0.1572"
"ELF1","-0.590881983852844961","-0.590881983852844961","0.590881983852844961","Repressed","170","viper","170","0.590881983852844961",NA,NA,"5","ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=595); GTEx--Coexpression(rank=872)","349","0.08418000000000000","ReMap ChIP-seq,0.08418"
"CREB3","-0.588187510017996074","-0.588187510017996074","0.588187510017996074","Repressed","171","viper","171","0.588187510017996074",NA,NA,"4","ReMap--ChIP-seq(rank=271); Enrichr--Queries(rank=331); GTEx--Coexpression(rank=1020); ARCHS4--Coexpression(rank=1547)","815","0.23580000000000001","Enrichr Queries,0.2358"
"PDX1","-0.577633090486581846","-0.577633090486581846","0.577633090486581846","Repressed","172","viper","172","0.577633090486581846",NA,NA,"5","Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=282); ARCHS4--Coexpression(rank=591); Enrichr--Queries(rank=670); GTEx--Coexpression(rank=748)","1090","0.36299999999999999","ARCHS4 Coexpression,0.363"
"CDX2","0.571055161992049420","0.571055161992049420","0.571055161992049420","Activated","173","viper","173","0.571055161992049420",NA,NA,"5","Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=189); ARCHS4--Coexpression(rank=427); GTEx--Coexpression(rank=503); Enrichr--Queries(rank=1097)","885","0.26229999999999998","ARCHS4 Coexpression,0.2623"
"CLOCK","0.569878181429632202","0.569878181429632202","0.569878181429632202","Activated","174","viper","174","0.569878181429632202",NA,NA,"5","ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=70); GTEx--Coexpression(rank=1059); ARCHS4--Coexpression(rank=1296); Enrichr--Queries(rank=1350)","621","0.16500000000000001","ReMap ChIP-seq,0.165"
"STAT4","0.564712003603621393","0.564712003603621393","0.564712003603621393","Activated","175","viper","175","0.564712003603621393",NA,NA,"4","Literature--ChIP-seq(rank=115); GTEx--Coexpression(rank=290); Enrichr--Queries(rank=366); ARCHS4--Coexpression(rank=876)","666","0.18049999999999999","GTEx Coexpression,0.1805"
"JUND","-0.563892582787431706","-0.563892582787431706","0.563892582787431706","Repressed","176","viper","176","0.563892582787431706",NA,NA,"6","ENCODE--ChIP-seq(rank=23); Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=158); Enrichr--Queries(rank=420); GTEx--Coexpression(rank=1367)","398","0.09705000000000000","ARCHS4 Coexpression,0.09705"
"KMT2A","0.556357506030133453","0.556357506030133453","0.556357506030133453","Activated","177","viper","177","0.556357506030133453",NA,NA,"3","ReMap--ChIP-seq(rank=295); GTEx--Coexpression(rank=687); ARCHS4--Coexpression(rank=1375)","1210","0.42749999999999999","GTEx Coexpression,0.4275"
"POU2F1","0.551156080280284955","0.551156080280284955","0.551156080280284955","Activated","178","viper","178","0.551156080280284955",NA,NA,"4","ReMap--ChIP-seq(rank=220); GTEx--Coexpression(rank=338); ARCHS4--Coexpression(rank=1014); Enrichr--Queries(rank=1157)","750","0.21029999999999999","GTEx Coexpression,0.2103"
"NR2F6","-0.547607614447434554","-0.547607614447434554","0.547607614447434554","Repressed","179","viper","179","0.547607614447434554",NA,NA,"4","Enrichr--Queries(rank=131); ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=632); ARCHS4--Coexpression(rank=1470)","381","0.09329999999999999","Enrichr Queries,0.0933"
"GATA4","0.535719122023804561","0.535719122023804561","0.535719122023804561","Activated","180","viper","180","0.535719122023804561",NA,NA,"5","Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=75); GTEx--Coexpression(rank=693); Enrichr--Queries(rank=780); ARCHS4--Coexpression(rank=889)","862","0.25250000000000000","ReMap ChIP-seq,0.2525"
"GATA3","0.527871385563154827","0.527871385563154827","0.527871385563154827","Activated","181","viper","181","0.527871385563154827",NA,NA,"6","ENCODE--ChIP-seq(rank=38); Enrichr--Queries(rank=76); Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=170); ARCHS4--Coexpression(rank=249); GTEx--Coexpression(rank=885)","229","0.05413000000000000","Enrichr Queries,0.05413"
"SP4","-0.510638898831015653","-0.510638898831015653","0.510638898831015653","Repressed","182","viper","182","0.510638898831015653",NA,NA,"5","ReMap--ChIP-seq(rank=101); ENCODE--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=820); Enrichr--Queries(rank=981); GTEx--Coexpression(rank=1292)","1047","0.34010000000000001","ReMap ChIP-seq,0.3401"
"RUNX3","-0.504727976804666745","-0.504727976804666745","0.504727976804666745","Repressed","183","viper","183","0.504727976804666745",NA,NA,"5","ENCODE--ChIP-seq(rank=85); GTEx--Coexpression(rank=187); ReMap--ChIP-seq(rank=264); ARCHS4--Coexpression(rank=353); Enrichr--Queries(rank=471)","463","0.11640000000000000","GTEx Coexpression,0.1164"
"IRF2","-0.498174905009693691","-0.498174905009693691","0.498174905009693691","Repressed","184","viper","184","0.498174905009693691",NA,NA,"4","ReMap--ChIP-seq(rank=167); ARCHS4--Coexpression(rank=261); GTEx--Coexpression(rank=540); Enrichr--Queries(rank=735)","606","0.16030000000000000","ARCHS4 Coexpression,0.1603"
"HOXB13","-0.496408030247385446","-0.496408030247385446","0.496408030247385446","Repressed","185","viper","185","0.496408030247385446",NA,NA,"4","ReMap--ChIP-seq(rank=281); GTEx--Coexpression(rank=369); Enrichr--Queries(rank=675); ARCHS4--Coexpression(rank=822)","796","0.22960000000000000","GTEx Coexpression,0.2296"
"FOXJ2","-0.464449288771127733","-0.464449288771127733","0.464449288771127733","Repressed","186","viper","186","0.464449288771127733",NA,NA,"4","ReMap--ChIP-seq(rank=230); ARCHS4--Coexpression(rank=691); Enrichr--Queries(rank=1068); GTEx--Coexpression(rank=1503)","1206","0.42440000000000000","ARCHS4 Coexpression,0.4244"
"STAT6","0.451197745465367284","0.451197745465367284","0.451197745465367284","Activated","187","viper","187","0.451197745465367284",NA,NA,"4","Literature--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=78); Enrichr--Queries(rank=138); GTEx--Coexpression(rank=1127)","203","0.04791000000000000","ARCHS4 Coexpression,0.04791"
"ONECUT1","-0.444778978634313593","-0.444778978634313593","0.444778978634313593","Repressed","188","viper","188","0.444778978634313593",NA,NA,"4","ReMap--ChIP-seq(rank=270); GTEx--Coexpression(rank=761); Enrichr--Queries(rank=956); ARCHS4--Coexpression(rank=991)","1278","0.47360000000000002","GTEx Coexpression,0.4736"
"TFAP2A","0.443036606274415934","0.443036606274415934","0.443036606274415934","Activated","189","viper","189","0.443036606274415934",NA,NA,"6","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=64); Literature--ChIP-seq(rank=143); Enrichr--Queries(rank=347); GTEx--Coexpression(rank=604); ARCHS4--Coexpression(rank=835)","492","0.12709999999999999","ENCODE ChIP-seq,0.1271"
"MAFK","-0.437482144960829822","-0.437482144960829822","0.437482144960829822","Repressed","190","viper","190","0.437482144960829822",NA,NA,"5","ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=216); ReMap--ChIP-seq(rank=245); ARCHS4--Coexpression(rank=801); Enrichr--Queries(rank=896)","517","0.13439999999999999","GTEx Coexpression,0.1344"
"NRF1","0.429834658331582464","0.429834658331582464","0.429834658331582464","Activated","191","viper","191","0.429834658331582464",NA,NA,"5","ReMap--ChIP-seq(rank=59); ENCODE--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=475); GTEx--Coexpression(rank=659); Enrichr--Queries(rank=1107)","720","0.19869999999999999","ReMap ChIP-seq,0.1987"
"TP73","-0.428140212363406381","-0.428140212363406381","0.428140212363406381","Repressed","192","viper","192","0.428140212363406381",NA,NA,"3","ARCHS4--Coexpression(rank=242); Enrichr--Queries(rank=336); GTEx--Coexpression(rank=472)","567","0.14860000000000001","ARCHS4 Coexpression,0.1486"
"NCOA2","0.427246851890906554","0.427246851890906554","0.427246851890906554","Activated","193","viper","193","0.427246851890906554",NA,NA,"4","ReMap--ChIP-seq(rank=95); GTEx--Coexpression(rank=525); ARCHS4--Coexpression(rank=1171); Enrichr--Queries(rank=1375)","1008","0.31990000000000002","ReMap ChIP-seq,0.3199"
"RUNX1","0.418513085116577144","0.418513085116577144","0.418513085116577144","Activated","194","viper","194","0.418513085116577144",NA,NA,"5","ReMap--ChIP-seq(rank=27); Literature--ChIP-seq(rank=40); Enrichr--Queries(rank=125); GTEx--Coexpression(rank=758); ARCHS4--Coexpression(rank=973)","367","0.08903000000000000","Enrichr Queries,0.08903"
"MYB","0.413866232168970116","0.413866232168970116","0.413866232168970116","Activated","195","viper","195","0.413866232168970116",NA,NA,"6","Enrichr--Queries(rank=61); ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=82); Literature--ChIP-seq(rank=99); GTEx--Coexpression(rank=351); ARCHS4--Coexpression(rank=1213)","184","0.04345000000000000","Enrichr Queries,0.04345"
"KLF6","0.413669225864029821","0.413669225864029821","0.413669225864029821","Activated","196","viper","196","0.413669225864029821",NA,NA,"4","ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=45); Enrichr--Queries(rank=171); GTEx--Coexpression(rank=1274)","120","0.02764000000000000","ARCHS4 Coexpression,0.02764"
"ETV4","0.403923753165292776","0.403923753165292776","0.403923753165292776","Activated","197","viper","197","0.403923753165292776",NA,NA,"4","GTEx--Coexpression(rank=53); ReMap--ChIP-seq(rank=98); Enrichr--Queries(rank=179); ARCHS4--Coexpression(rank=821)","141","0.03298000000000000","GTEx Coexpression,0.03298"
"HSF1","0.399024091836008010","0.399024091836008010","0.399024091836008010","Activated","198","viper","198","0.399024091836008010",NA,NA,"5","ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=127); GTEx--Coexpression(rank=1133); ARCHS4--Coexpression(rank=1524)","335","0.08081000000000001","ReMap ChIP-seq,0.08081"
"SOX6","-0.396623171420383336","-0.396623171420383336","0.396623171420383336","Repressed","199","viper","199","0.396623171420383336",NA,NA,"4","ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=449); GTEx--Coexpression(rank=807); ARCHS4--Coexpression(rank=936)","1007","0.31979999999999992","Enrichr Queries,0.3198"
"ARNTL","0.383419550791366248","0.383419550791366248","0.383419550791366248","Activated","200","viper","200","0.383419550791366248",NA,NA,"4","ReMap--ChIP-seq(rank=202); ARCHS4--Coexpression(rank=379); Enrichr--Queries(rank=402); GTEx--Coexpression(rank=1576)","809","0.23280000000000001","ARCHS4 Coexpression,0.2328"
"NR5A2","0.375176619052919103","0.375176619052919103","0.375176619052919103","Activated","201","viper","201","0.375176619052919103",NA,NA,"4","ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=494); Enrichr--Queries(rank=690); GTEx--Coexpression(rank=743)","971","0.30340000000000000","ARCHS4 Coexpression,0.3034"
"HIF1A","-0.370146144801235200","-0.370146144801235200","0.370146144801235200","Repressed","202","viper","202","0.370146144801235200",NA,NA,"5","ARCHS4--Coexpression(rank=39); Literature--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=120); Enrichr--Queries(rank=443); GTEx--Coexpression(rank=460)","102","0.02396000000000000","ARCHS4 Coexpression,0.02396"
"IRF1","0.369038759315484688","0.369038759315484688","0.369038759315484688","Activated","203","viper","203","0.369038759315484688",NA,NA,"6","ENCODE--ChIP-seq(rank=78); Literature--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=147); GTEx--Coexpression(rank=353)","337","0.08108000000000000","ARCHS4 Coexpression,0.08108"
"NFE2L1","-0.354150463189460030","-0.354150463189460030","0.354150463189460030","Repressed","204","viper","204","0.354150463189460030",NA,NA,"4","ReMap--ChIP-seq(rank=283); Enrichr--Queries(rank=876); ARCHS4--Coexpression(rank=950); GTEx--Coexpression(rank=1234)","1408","0.58350000000000002","ARCHS4 Coexpression,0.5835"
"GATA2","0.347013625387742997","0.347013625387742997","0.347013625387742997","Activated","205","viper","205","0.347013625387742997",NA,NA,"6","Literature--ChIP-seq(rank=54); ENCODE--ChIP-seq(rank=68); GTEx--Coexpression(rank=202); Enrichr--Queries(rank=285); ReMap--ChIP-seq(rank=286); ARCHS4--Coexpression(rank=1330)","489","0.12570000000000001","GTEx Coexpression,0.1257"
"MAF","0.338673084437315586","0.338673084437315586","0.338673084437315586","Activated","206","viper","206","0.338673084437315586",NA,NA,"4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=258); GTEx--Coexpression(rank=734); ARCHS4--Coexpression(rank=767)","251","0.06061000000000000","ReMap ChIP-seq,0.06061"
"TBX21","0.332792654873686589","0.332792654873686589","0.332792654873686589","Activated","207","viper","207","0.332792654873686589",NA,NA,"4","ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=316); GTEx--Coexpression(rank=357); Enrichr--Queries(rank=476)","706","0.19409999999999999","ARCHS4 Coexpression,0.1941"
"FOXP2","-0.332395492656887614","-0.332395492656887614","0.332395492656887614","Repressed","208","viper","208","0.332395492656887614",NA,NA,"6","ReMap--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=63); Literature--ChIP-seq(rank=98); Enrichr--Queries(rank=215); GTEx--Coexpression(rank=511); ARCHS4--Coexpression(rank=1358)","199","0.04714000000000000","ReMap ChIP-seq,0.04714"
"MITF","0.328462764671590635","0.328462764671590635","0.328462764671590635","Activated","209","viper","209","0.328462764671590635",NA,NA,"5","Literature--ChIP-seq(rank=52); Enrichr--Queries(rank=72); ARCHS4--Coexpression(rank=203); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=1396)","217","0.05128000000000000","Enrichr Queries,0.05128"
"ATF4","-0.327969361893803268","-0.327969361893803268","0.327969361893803268","Repressed","210","viper","210","0.327969361893803268",NA,NA,"4","GTEx--Coexpression(rank=208); ReMap--ChIP-seq(rank=248); Enrichr--Queries(rank=1317); ARCHS4--Coexpression(rank=1614)","500","0.12939999999999999","GTEx Coexpression,0.1294"
"PPARA","-0.323353529831058251","-0.323353529831058251","0.323353529831058251","Repressed","211","viper","211","0.323353529831058251",NA,NA,"3","Enrichr--Queries(rank=794); ARCHS4--Coexpression(rank=800); GTEx--Coexpression(rank=1078)","1297","0.49140000000000000","ARCHS4 Coexpression,0.4914"
"ETV1","0.308346124294452184","0.308346124294452184","0.308346124294452184","Activated","212","viper","212","0.308346124294452184",NA,NA,"4","ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=174); Enrichr--Queries(rank=288); ARCHS4--Coexpression(rank=450)","435","0.10829999999999999","GTEx Coexpression,0.1083"
"USF2","-0.301853873475700252","-0.301853873475700252","0.301853873475700252","Repressed","213","viper","213","0.301853873475700252",NA,NA,"5","ReMap--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=83); ARCHS4--Coexpression(rank=794); Enrichr--Queries(rank=888); GTEx--Coexpression(rank=1426)","555","0.14480000000000001","ReMap ChIP-seq,0.1448"
"NCOA1","-0.297180611087741464","-0.297180611087741464","0.297180611087741464","Repressed","214","viper","214","0.297180611087741464",NA,NA,"4","ReMap--ChIP-seq(rank=183); Enrichr--Queries(rank=1159); ARCHS4--Coexpression(rank=1532); GTEx--Coexpression(rank=1545)","1445","0.61619999999999997","ReMap ChIP-seq,0.6162"
"ZNF217","-0.297037267244719128","-0.297037267244719128","0.297037267244719128","Repressed","215","viper","215","0.297037267244719128",NA,NA,"6","ENCODE--ChIP-seq(rank=29); Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=1238); GTEx--Coexpression(rank=1392)","843","0.24579999999999999","ENCODE ChIP-seq,0.2458"
"PROX1","0.292009988664997722","0.292009988664997722","0.292009988664997722","Activated","216","viper","216","0.292009988664997722",NA,NA,"4","ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=417); ARCHS4--Coexpression(rank=700); GTEx--Coexpression(rank=875)","962","0.29699999999999999","Enrichr Queries,0.297"
"ETS1","0.287232570637290796","0.287232570637290796","0.287232570637290796","Activated","217","viper","217","0.287232570637290796",NA,NA,"6","ENCODE--ChIP-seq(rank=41); GTEx--Coexpression(rank=123); ReMap--ChIP-seq(rank=150); Literature--ChIP-seq(rank=155); ARCHS4--Coexpression(rank=168); Enrichr--Queries(rank=180)","319","0.07654000000000000","GTEx Coexpression,0.07654"
"TGIF2","0.285068132223456783","0.285068132223456783","0.285068132223456783","Activated","218","viper","218","0.285068132223456783",NA,NA,"4","ReMap--ChIP-seq(rank=246); ARCHS4--Coexpression(rank=344); Enrichr--Queries(rank=485); GTEx--Coexpression(rank=774)","752","0.21129999999999999","ARCHS4 Coexpression,0.2113"
"TCF4","0.284746254181045766","0.284746254181045766","0.284746254181045766","Activated","219","viper","219","0.284746254181045766",NA,NA,"5","Literature--ChIP-seq(rank=67); Enrichr--Queries(rank=82); ReMap--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=789); GTEx--Coexpression(rank=1091)","244","0.05840000000000000","Enrichr Queries,0.0584"
"GATA1","-0.283933155301062778","-0.283933155301062778","0.283933155301062778","Repressed","220","viper","220","0.283933155301062778",NA,NA,"6","ENCODE--ChIP-seq(rank=24); Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=277); ARCHS4--Coexpression(rank=599); Enrichr--Queries(rank=926); GTEx--Coexpression(rank=1007)","734","0.20340000000000000","ENCODE ChIP-seq,0.2034"
"TWIST1","0.280405123178653404","0.280405123178653404","0.280405123178653404","Activated","221","viper","221","0.280405123178653404",NA,NA,"4","ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=62); Enrichr--Queries(rank=352); GTEx--Coexpression(rank=451)","22","0.00552800000000000","ARCHS4 Coexpression,0.005528"
"SIX2","0.269136009412756838","0.269136009412756838","0.269136009412756838","Activated","222","viper","222","0.269136009412756838",NA,NA,"4","ARCHS4--Coexpression(rank=60); ReMap--ChIP-seq(rank=280); Enrichr--Queries(rank=518); GTEx--Coexpression(rank=1346)","158","0.03686000000000000","ARCHS4 Coexpression,0.03686"
"CREM","-0.263298536567887431","-0.263298536567887431","0.263298536567887431","Repressed","223","viper","223","0.263298536567887431",NA,NA,"5","ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=158); Enrichr--Queries(rank=597); GTEx--Coexpression(rank=923); ARCHS4--Coexpression(rank=1145)","671","0.18179999999999999","ReMap ChIP-seq,0.1818"
"ZNF384","0.250019599345803756","0.250019599345803756","0.250019599345803756","Activated","224","viper","224","0.250019599345803756",NA,NA,"5","ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=268); Enrichr--Queries(rank=1152); GTEx--Coexpression(rank=1582); ARCHS4--Coexpression(rank=1584)","1460","0.62709999999999999","ENCODE ChIP-seq,0.6271"
"ZNF24","0.247414320170086410","0.247414320170086410","0.247414320170086410","Activated","225","viper","225","0.247414320170086410",NA,NA,"4","ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=1332); ARCHS4--Coexpression(rank=1433); GTEx--Coexpression(rank=1434)","1481","0.64649999999999996","ReMap ChIP-seq,0.6465"
"GFI1B","0.242657451197250046","0.242657451197250046","0.242657451197250046","Activated","226","viper","226","0.242657451197250046",NA,NA,"5","ReMap--ChIP-seq(rank=79); Literature--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=367); Enrichr--Queries(rank=382); GTEx--Coexpression(rank=996)","785","0.22539999999999999","ARCHS4 Coexpression,0.2254"
"HHEX","-0.234822120862853367","-0.234822120862853367","0.234822120862853367","Repressed","227","viper","227","0.234822120862853367",NA,NA,"4","GTEx--Coexpression(rank=99); Enrichr--Queries(rank=226); ReMap--ChIP-seq(rank=273); ARCHS4--Coexpression(rank=301)","255","0.06161000000000000","GTEx Coexpression,0.06161"
"KLF4","-0.233615717710858734","-0.233615717710858734","0.233615717710858734","Repressed","228","viper","228","0.233615717710858734",NA,NA,"5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=81); Enrichr--Queries(rank=108); GTEx--Coexpression(rank=605)","170","0.04040000000000000","ReMap ChIP-seq,0.0404"
"RELB","0.227176123781645145","0.227176123781645145","0.227176123781645145","Activated","229","viper","229","0.227176123781645145",NA,NA,"4","ARCHS4--Coexpression(rank=129); ReMap--ChIP-seq(rank=178); GTEx--Coexpression(rank=443); Enrichr--Queries(rank=445)","330","0.07924000000000000","ARCHS4 Coexpression,0.07924"
"ELF3","-0.226254995528414854","-0.226254995528414854","0.226254995528414854","Repressed","230","viper","230","0.226254995528414854",NA,NA,"4","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=84); GTEx--Coexpression(rank=88); ReMap--ChIP-seq(rank=133)","46","0.01106000000000000","ARCHS4 Coexpression,0.01106"
"CTCF","-0.225724625451733857","-0.225724625451733857","0.225724625451733857","Repressed","231","viper","231","0.225724625451733857",NA,NA,"6","ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=1000); Enrichr--Queries(rank=1323); GTEx--Coexpression(rank=1412)","413","0.10170000000000001","ENCODE ChIP-seq,0.1017"
"STAT5A","0.223624415532014564","0.223624415532014564","0.223624415532014564","Activated","232","viper","232","0.223624415532014564",NA,NA,"6","Literature--ChIP-seq(rank=81); ENCODE--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=136); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=451); GTEx--Coexpression(rank=1015)","346","0.08354000000000000","ARCHS4 Coexpression,0.08354"
"ARNT","-0.210628747331317534","-0.210628747331317534","0.210628747331317534","Repressed","233","viper","233","0.210628747331317534",NA,NA,"5","Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=1191); GTEx--Coexpression(rank=1496); ARCHS4--Coexpression(rank=1591)","1480","0.64629999999999999","Literature ChIP-seq,0.6463"
"WT1","0.203596988543682245","0.203596988543682245","0.203596988543682245","Activated","234","viper","234","0.203596988543682245",NA,NA,"4","Literature--ChIP-seq(rank=38); Enrichr--Queries(rank=620); GTEx--Coexpression(rank=1095); ARCHS4--Coexpression(rank=1198)","805","0.23169999999999999","Literature ChIP-seq,0.2317"
"ZBED1","-0.201704403192420251","-0.201704403192420251","0.201704403192420251","Repressed","235","viper","235","0.201704403192420251",NA,NA,"4","ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=697); GTEx--Coexpression(rank=1328)","767","0.21940000000000001","Enrichr Queries,0.2194"
"BCL11A","-0.194656689129544092","-0.194656689129544092","0.194656689129544092","Repressed","236","viper","236","0.194656689129544092",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=720); GTEx--Coexpression(rank=746); ARCHS4--Coexpression(rank=807)","792","0.22880000000000000","ENCODE ChIP-seq,0.2288"
"SMAD1","-0.190651909373400597","-0.190651909373400597","0.190651909373400597","Repressed","237","viper","237","0.190651909373400597",NA,NA,"5","Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=207); Enrichr--Queries(rank=791); GTEx--Coexpression(rank=1508)","493","0.12709999999999999","ARCHS4 Coexpression,0.1271"
