"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SMAD1","0.672243684366162553","-0.672243684366162553","0.5014285748375609808036301729","HMVL_TOR10=-0.6722","Repressed","429","collectri","429","0.672243684366162553",NA,"5","Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=149); Enrichr--Queries(rank=690); ARCHS4--Coexpression(rank=921); GTEx--Coexpression(rank=1598)","1331","0.491499999999999992","Enrichr Queries,0.4915"
"PRRX1","0.661261748728231513","0.661261748728231513","0.5084444676112289673852728811","HMVL_TOR10=0.6613","Activated","430","collectri","430","0.661261748728231513",NA,"3","GTEx--Coexpression(rank=516); ARCHS4--Coexpression(rank=692); Enrichr--Queries(rank=910)","1035","0.321099999999999997","GTEx Coexpression,0.3211"
"ELK3","0.660708948270623764","0.660708948270623764","0.5087989841238694799230302124","HMVL_TOR10=0.6607","Activated","431","collectri","431","0.660708948270623764",NA,"4","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=275); GTEx--Coexpression(rank=609); ARCHS4--Coexpression(rank=1170)","392","0.103700000000000001","Literature ChIP-seq,0.1037"
"POU4F2","0.656199028566006870","0.656199028566006870","0.5116960738470756053786203665","HMVL_TOR10=0.6562","Activated","432","collectri","432","0.656199028566006870",NA,"4","ReMap--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=424); GTEx--Coexpression(rank=982); Enrichr--Queries(rank=1309)","886","0.260400000000000020","ARCHS4 Coexpression,0.2604"
"HOXC8","0.652409649678565517","0.652409649678565517","0.5141369409465579298768034278","HMVL_TOR10=0.6524","Activated","433","collectri","433","0.652409649678565517",NA,"3","ARCHS4--Coexpression(rank=238); Enrichr--Queries(rank=750); GTEx--Coexpression(rank=1296)","541","0.146199999999999997","ARCHS4 Coexpression,0.1462"
"SMARCA5","0.647778147870442966","-0.647778147870442966","0.5171284509350526636950462489","HMVL_TOR10=-0.6478","Repressed","434","collectri","434","0.647778147870442966",NA,"0","",NA,NA,NA
"CREB5","0.647390263242586084","0.647390263242586084","0.5173793959714341195166298348","HMVL_TOR10=0.6474","Activated","435","collectri","435","0.647390263242586084",NA,"3","Enrichr--Queries(rank=441); ARCHS4--Coexpression(rank=1338); GTEx--Coexpression(rank=1479)","1022","0.314099999999999990","Enrichr Queries,0.3141"
"IRF5","0.647056839922476534","-0.647056839922476534","0.5175951572049767301919587226","HMVL_TOR10=-0.6471","Repressed","436","collectri","436","0.647056839922476534",NA,"3","GTEx--Coexpression(rank=129); ARCHS4--Coexpression(rank=269); Enrichr--Queries(rank=731)","299","0.080269999999999994","GTEx Coexpression,0.08027"
"POU3F2","0.645471236458209252","0.645471236458209252","0.5186218523558032700293551898","HMVL_TOR10=0.6455","Activated","437","collectri","437","0.645471236458209252",NA,"4","Literature--ChIP-seq(rank=115); GTEx--Coexpression(rank=890); ARCHS4--Coexpression(rank=1188); Enrichr--Queries(rank=1284)","1410","0.553799999999999959","GTEx Coexpression,0.5538"
"EGR2","0.644389151347437017","-0.644389151347437017","0.5193231176442265617509974618","HMVL_TOR10=-0.6444","Repressed","438","collectri","438","0.644389151347437017",NA,"3","Enrichr--Queries(rank=137); GTEx--Coexpression(rank=222); ARCHS4--Coexpression(rank=236)","366","0.097580000000000000","Enrichr Queries,0.09758"
