"TF","MVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NFIC","-0.89708719867309539","-0.89708719867309539","0.89708719867309539","Repressed","159","viper","159","0.89708719867309539",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=963); Enrichr--Queries(rank=1145); GTEx--Coexpression(rank=1343)","1011","0.31359999999999999","ENCODE ChIP-seq,0.3136"
"ELF1","-0.88161225487187311","-0.88161225487187311","0.88161225487187311","Repressed","160","viper","160","0.88161225487187311",NA,NA,"5","ReMap--ChIP-seq(rank=79); ENCODE--ChIP-seq(rank=107); Literature--ChIP-seq(rank=136); ARCHS4--Coexpression(rank=292); GTEx--Coexpression(rank=757)","653","0.17940000000000000","ARCHS4 Coexpression,0.1794"
"CREB1","0.88091136742839726","0.88091136742839726","0.88091136742839726","Activated","161","viper","161","0.88091136742839726",NA,NA,"6","Literature--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=114); GTEx--Coexpression(rank=704); ARCHS4--Coexpression(rank=1322); Enrichr--Queries(rank=1341)","600","0.16460000000000000","Literature ChIP-seq,0.1646"
"CREB3","0.87426182001018371","0.87426182001018371","0.87426182001018371","Activated","162","viper","162","0.87426182001018371",NA,NA,"4","ReMap--ChIP-seq(rank=278); GTEx--Coexpression(rank=288); Enrichr--Queries(rank=464); ARCHS4--Coexpression(rank=1563)","652","0.17920000000000000","GTEx Coexpression,0.1792"
"IRF1","0.86545905548631885","0.86545905548631885","0.86545905548631885","Activated","163","viper","163","0.86545905548631885",NA,NA,"6","ReMap--ChIP-seq(rank=55); ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=149); Enrichr--Queries(rank=267); ARCHS4--Coexpression(rank=417)","356","0.09272000000000000","GTEx Coexpression,0.09272"
"E2F6","-0.85379757571629300","-0.85379757571629300","0.85379757571629300","Repressed","164","viper","164","0.85379757571629300",NA,NA,"5","ENCODE--ChIP-seq(rank=12); Enrichr--Queries(rank=80); ReMap--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=456); GTEx--Coexpression(rank=1524)","218","0.05698000000000000","Enrichr Queries,0.05698"
"DUX4","-0.84225162289412236","-0.84225162289412236","0.84225162289412236","Repressed","165","viper","165","0.84225162289412236",NA,NA,"2","ReMap--ChIP-seq(rank=291); ARCHS4--Coexpression(rank=1359)","1598","0.83479999999999999","ARCHS4 Coexpression,0.8348"
"SREBF1","0.83977829194028797","0.83977829194028797","0.83977829194028797","Activated","166","viper","166","0.83977829194028797",NA,NA,"6","ReMap--ChIP-seq(rank=66); Literature--ChIP-seq(rank=103); ENCODE--ChIP-seq(rank=104); Enrichr--Queries(rank=952); GTEx--Coexpression(rank=1244); ARCHS4--Coexpression(rank=1538)","775","0.22220000000000001","ReMap ChIP-seq,0.2222"
"ETV4","0.83843323536384395","0.83843323536384395","0.83843323536384395","Activated","167","viper","167","0.83843323536384395",NA,NA,"4","GTEx--Coexpression(rank=26); Enrichr--Queries(rank=33); ARCHS4--Coexpression(rank=98); ReMap--ChIP-seq(rank=99)","57","0.01618000000000000","GTEx Coexpression,0.01618"
"FOXO3","-0.83179771424384485","-0.83179771424384485","0.83179771424384485","Repressed","168","viper","168","0.83179771424384485",NA,NA,"4","Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=950); GTEx--Coexpression(rank=1213); ARCHS4--Coexpression(rank=1370)","1277","0.45729999999999998","Literature ChIP-seq,0.4573"
"TP73","-0.80841283173447676","-0.80841283173447676","0.80841283173447676","Repressed","169","viper","169","0.80841283173447676",NA,NA,"3","ARCHS4--Coexpression(rank=32); Enrichr--Queries(rank=98); GTEx--Coexpression(rank=138)","71","0.01966000000000000","ARCHS4 Coexpression,0.01966"
"MAX","0.80755455800179476","0.80755455800179476","0.80755455800179476","Activated","170","viper","170","0.80755455800179476",NA,NA,"5","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=600); ARCHS4--Coexpression(rank=1091); Enrichr--Queries(rank=1204)","371","0.09764000000000000","ReMap ChIP-seq,0.09764"
"NFE2","0.80223687348086725","0.80223687348086725","0.80223687348086725","Activated","171","viper","171","0.80223687348086725",NA,NA,"5","ENCODE--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=193); Enrichr--Queries(rank=507); ARCHS4--Coexpression(rank=558); GTEx--Coexpression(rank=1108)","1070","0.34279999999999999","ARCHS4 Coexpression,0.3428"
"ZNF24","-0.80032025155176933","-0.80032025155176933","0.80032025155176933","Repressed","172","viper","172","0.80032025155176933",NA,NA,"4","ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=1130); ARCHS4--Coexpression(rank=1204); Enrichr--Queries(rank=1303)","1492","0.63639999999999997","ReMap ChIP-seq,0.6364"
"CEBPD","0.78278228914588099","0.78278228914588099","0.78278228914588099","Activated","173","viper","173","0.78278228914588099",NA,NA,"5","ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=145); ReMap--ChIP-seq(rank=155); GTEx--Coexpression(rank=203); ARCHS4--Coexpression(rank=666)","478","0.12630000000000000","GTEx Coexpression,0.1263"
"PAX5","-0.78189458872930673","-0.78189458872930673","0.78189458872930673","Repressed","174","viper","174","0.78189458872930673",NA,NA,"5","ENCODE--ChIP-seq(rank=61); GTEx--Coexpression(rank=61); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=566); Enrichr--Queries(rank=719)","141","0.03796000000000000","GTEx Coexpression,0.03796"
"FOS","-0.76823868970730835","-0.76823868970730835","0.76823868970730835","Repressed","175","viper","175","0.76823868970730835",NA,NA,"5","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=153); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=190); ARCHS4--Coexpression(rank=363)","91","0.02542000000000000","ENCODE ChIP-seq,0.02542"
"PPARG","-0.74903525714627395","-0.74903525714627395","0.74903525714627395","Repressed","176","viper","176","0.74903525714627395",NA,NA,"5","ReMap--ChIP-seq(rank=64); Enrichr--Queries(rank=93); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=696); ARCHS4--Coexpression(rank=969)","253","0.06623999999999999","Enrichr Queries,0.06624"
"PBX2","0.74858483046082580","0.74858483046082580","0.74858483046082580","Activated","177","viper","177","0.74858483046082580",NA,NA,"4","ReMap--ChIP-seq(rank=171); GTEx--Coexpression(rank=530); Enrichr--Queries(rank=592); ARCHS4--Coexpression(rank=1223)","1047","0.32979999999999998","GTEx Coexpression,0.3298"
"ATF3","-0.74235269001298065","-0.74235269001298065","0.74235269001298065","Repressed","178","viper","178","0.74235269001298065",NA,NA,"6","Literature--ChIP-seq(rank=106); ENCODE--ChIP-seq(rank=112); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=155); ReMap--ChIP-seq(rank=202); ARCHS4--Coexpression(rank=272)","335","0.08649999999999999","GTEx Coexpression,0.0865"
"TWIST1","-0.73854308811564651","-0.73854308811564651","0.73854308811564651","Repressed","179","viper","179","0.73854308811564651",NA,NA,"4","ReMap--ChIP-seq(rank=122); Enrichr--Queries(rank=482); ARCHS4--Coexpression(rank=600); GTEx--Coexpression(rank=1044)","1072","0.34329999999999999","Enrichr Queries,0.3433"
"SOX2","0.73320842236375794","0.73320842236375794","0.73320842236375794","Activated","180","viper","180","0.73320842236375794",NA,NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=857); GTEx--Coexpression(rank=875)","88","0.02439000000000000","Literature ChIP-seq,0.02439"
"PGR","0.72033211642964956","0.72033211642964956","0.72033211642964956","Activated","181","viper","181","0.72033211642964956",NA,NA,"4","ReMap--ChIP-seq(rank=151); GTEx--Coexpression(rank=631); Enrichr--Queries(rank=688); ARCHS4--Coexpression(rank=1101)","1164","0.39269999999999999","GTEx Coexpression,0.3927"
"TP53","-0.71168457042795508","-0.71168457042795508","0.71168457042795508","Repressed","182","viper","182","0.71168457042795508",NA,NA,"5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=206); GTEx--Coexpression(rank=228)","47","0.01351000000000000","ARCHS4 Coexpression,0.01351"
"ZNF274","-0.71039418597472070","-0.71039418597472070","0.71039418597472070","Repressed","183","viper","183","0.71039418597472070",NA,NA,"6","ENCODE--ChIP-seq(rank=108); Literature--ChIP-seq(rank=158); ReMap--ChIP-seq(rank=237); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=934); GTEx--Coexpression(rank=974)","745","0.21149999999999999","Enrichr Queries,0.2115"
"SREBF2","-0.69902099535286588","-0.69902099535286588","0.69902099535286588","Repressed","184","viper","184","0.69902099535286588",NA,NA,"6","ReMap--ChIP-seq(rank=108); ENCODE--ChIP-seq(rank=115); Literature--ChIP-seq(rank=123); GTEx--Coexpression(rank=387); Enrichr--Queries(rank=959); ARCHS4--Coexpression(rank=1317)","828","0.24079999999999999","GTEx Coexpression,0.2408"
"ZNF263","-0.69764566978610587","-0.69764566978610587","0.69764566978610587","Repressed","185","viper","185","0.69764566978610587",NA,NA,"6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=149); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=1355); GTEx--Coexpression(rank=1531)","1023","0.31840000000000002","Enrichr Queries,0.3184"
"AR","0.67291545901709737","0.67291545901709737","0.67291545901709737","Activated","186","viper","186","0.67291545901709737",NA,NA,"5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=182); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=677); ARCHS4--Coexpression(rank=1325)","65","0.01829000000000000","Literature ChIP-seq,0.01829"
"ARNTL","-0.66980114065355612","-0.66980114065355612","0.66980114065355612","Repressed","187","viper","187","0.66980114065355612",NA,NA,"4","ReMap--ChIP-seq(rank=241); Enrichr--Queries(rank=316); ARCHS4--Coexpression(rank=443); GTEx--Coexpression(rank=990)","787","0.22509999999999999","Enrichr Queries,0.2251"
"SMAD3","0.66512668467121228","0.66512668467121228","0.66512668467121228","Activated","188","viper","188","0.66512668467121228",NA,NA,"5","ReMap--ChIP-seq(rank=50); Literature--ChIP-seq(rank=105); Enrichr--Queries(rank=632); ARCHS4--Coexpression(rank=794); GTEx--Coexpression(rank=1182)","611","0.16839999999999999","ReMap ChIP-seq,0.1684"
"TBX21","0.66028536268019089","0.66028536268019089","0.66028536268019089","Activated","189","viper","189","0.66028536268019089",NA,NA,"4","ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=392); Enrichr--Queries(rank=741); GTEx--Coexpression(rank=858)","827","0.24079999999999999","ARCHS4 Coexpression,0.2408"
"KLF5","-0.65963862472267987","-0.65963862472267987","0.65963862472267987","Repressed","190","viper","190","0.65963862472267987",NA,NA,"5","ReMap--ChIP-seq(rank=91); Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=148); GTEx--Coexpression(rank=148); ARCHS4--Coexpression(rank=177)","353","0.09210000000000000","GTEx Coexpression,0.0921"
"JUNB","0.63811410500955956","0.63811410500955956","0.63811410500955956","Activated","191","viper","191","0.63811410500955956",NA,NA,"4","GTEx--Coexpression(rank=122); ARCHS4--Coexpression(rank=137); Enrichr--Queries(rank=219); ReMap--ChIP-seq(rank=258)","292","0.07592000000000000","GTEx Coexpression,0.07592"
"ETS1","-0.63806243320313927","-0.63806243320313927","0.63806243320313927","Repressed","192","viper","192","0.63806243320313927",NA,NA,"6","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=119); Literature--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=207); GTEx--Coexpression(rank=362); Enrichr--Queries(rank=374)","480","0.12709999999999999","ARCHS4 Coexpression,0.1271"
"CEBPB","0.62458498369969084","0.62458498369969084","0.62458498369969084","Activated","193","viper","193","0.62458498369969084",NA,NA,"6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=31); Enrichr--Queries(rank=208); ReMap--ChIP-seq(rank=250); ARCHS4--Coexpression(rank=256); GTEx--Coexpression(rank=863)","529","0.14410000000000001","ENCODE ChIP-seq,0.1441"
"GFI1B","0.62397828104247433","0.62397828104247433","0.62397828104247433","Activated","194","viper","194","0.62397828104247433",NA,NA,"5","ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=95); Literature--ChIP-seq(rank=111); GTEx--Coexpression(rank=841); ARCHS4--Coexpression(rank=1079)","262","0.06766000000000000","Enrichr Queries,0.06766"
"NCOA1","-0.61317558599602606","-0.61317558599602606","0.61317558599602606","Repressed","195","viper","195","0.61317558599602606",NA,NA,"4","ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=1349); ARCHS4--Coexpression(rank=1476); GTEx--Coexpression(rank=1532)","1550","0.72729999999999995","ReMap ChIP-seq,0.7273"
"FOSL2","-0.61159929380751299","-0.61159929380751299","0.61159929380751299","Repressed","196","viper","196","0.61159929380751299",NA,NA,"5","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=49); Enrichr--Queries(rank=154); GTEx--Coexpression(rank=381); ARCHS4--Coexpression(rank=476)","416","0.10970000000000001","Enrichr Queries,0.1097"
"ONECUT1","0.61104401323715729","0.61104401323715729","0.61104401323715729","Activated","197","viper","197","0.61104401323715729",NA,NA,"4","ReMap--ChIP-seq(rank=288); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=856); ARCHS4--Coexpression(rank=1043)","1387","0.53269999999999995","GTEx Coexpression,0.5327"
"GATA2","0.61103841584814522","0.61103841584814522","0.61103841584814522","Activated","198","viper","198","0.61103841584814522",NA,NA,"6","ENCODE--ChIP-seq(rank=40); Literature--ChIP-seq(rank=63); Enrichr--Queries(rank=195); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=442); ARCHS4--Coexpression(rank=466)","513","0.13890000000000000","Enrichr Queries,0.1389"
"SMAD1","-0.57535251889067662","-0.57535251889067662","0.57535251889067662","Repressed","199","viper","199","0.57535251889067662",NA,NA,"5","Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=885); Enrichr--Queries(rank=887); GTEx--Coexpression(rank=1592)","1143","0.37800000000000000","Literature ChIP-seq,0.378"
"GATA3","0.57493346653177113","0.57493346653177113","0.57493346653177113","Activated","200","viper","200","0.57493346653177113",NA,NA,"6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=199); Enrichr--Queries(rank=236); GTEx--Coexpression(rank=409); ARCHS4--Coexpression(rank=1295)","558","0.15250000000000000","ENCODE ChIP-seq,0.1525"
"STAT2","0.57004960725587028","0.57004960725587028","0.57004960725587028","Activated","201","viper","201","0.57004960725587028",NA,NA,"5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=192); Enrichr--Queries(rank=456); GTEx--Coexpression(rank=1236)","449","0.11790000000000000","ARCHS4 Coexpression,0.1179"
"RUNX3","-0.56573339727683081","-0.56573339727683081","0.56573339727683081","Repressed","202","viper","202","0.56573339727683081",NA,NA,"5","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=238); Enrichr--Queries(rank=354); ARCHS4--Coexpression(rank=355); GTEx--Coexpression(rank=602)","765","0.21809999999999999","ARCHS4 Coexpression,0.2181"
"BCL6","-0.56516060762247566","-0.56516060762247566","0.56516060762247566","Repressed","203","viper","203","0.56516060762247566",NA,NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=337); ARCHS4--Coexpression(rank=664); GTEx--Coexpression(rank=1017)","518","0.14019999999999999","Literature ChIP-seq,0.1402"
"CEBPG","0.56051992389364513","0.56051992389364513","0.56051992389364513","Activated","204","viper","204","0.56051992389364513",NA,NA,"4","ReMap--ChIP-seq(rank=203); Enrichr--Queries(rank=204); GTEx--Coexpression(rank=1204); ARCHS4--Coexpression(rank=1239)","536","0.14530000000000001","Enrichr Queries,0.1453"
"HBP1","0.51246701525232474","0.51246701525232474","0.51246701525232474","Activated","205","viper","205","0.51246701525232474",NA,NA,"4","ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=182); Enrichr--Queries(rank=524); GTEx--Coexpression(rank=610)","423","0.11180000000000000","ARCHS4 Coexpression,0.1118"
"CREM","0.51016399093690834","0.51016399093690834","0.51016399093690834","Activated","206","viper","206","0.51016399093690834",NA,NA,"5","Literature--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=139); Enrichr--Queries(rank=322); ARCHS4--Coexpression(rank=956); GTEx--Coexpression(rank=1049)","800","0.22930000000000000","Enrichr Queries,0.2293"
"LHX2","0.50337422165124412","0.50337422165124412","0.50337422165124412","Activated","207","viper","207","0.50337422165124412",NA,NA,"4","ReMap--ChIP-seq(rank=293); Enrichr--Queries(rank=683); GTEx--Coexpression(rank=788); ARCHS4--Coexpression(rank=898)","1321","0.48649999999999999","Enrichr Queries,0.4865"
"VDR","0.50110359069753141","0.50110359069753141","0.50110359069753141","Activated","208","viper","208","0.50110359069753141",NA,NA,"5","ARCHS4--Coexpression(rank=51); ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=93); Enrichr--Queries(rank=135); GTEx--Coexpression(rank=151)","113","0.03133000000000000","ARCHS4 Coexpression,0.03133"
"HINFP","-0.50045033909398251","-0.50045033909398251","0.50045033909398251","Repressed","209","viper","209","0.50045033909398251",NA,NA,"3","ARCHS4--Coexpression(rank=239); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=368)","540","0.14680000000000001","ARCHS4 Coexpression,0.1468"
"TGIF2","0.50029876221237823","0.50029876221237823","0.50029876221237823","Activated","210","viper","210","0.50029876221237823",NA,NA,"4","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=35); ReMap--ChIP-seq(rank=100); GTEx--Coexpression(rank=258)","22","0.00737100000000000","ARCHS4 Coexpression,0.007371"
"FOXO1","0.48558140254102489","0.48558140254102489","0.48558140254102489","Activated","211","viper","211","0.48558140254102489",NA,NA,"5","Literature--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=138); ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=475); GTEx--Coexpression(rank=577)","330","0.08477000000000000","ARCHS4 Coexpression,0.08477"
"NR2F6","-0.48555129411789022","-0.48555129411789022","0.48555129411789022","Repressed","212","viper","212","0.48555129411789022",NA,NA,"4","Enrichr--Queries(rank=92); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=941); ARCHS4--Coexpression(rank=1047)","250","0.06553000000000000","Enrichr Queries,0.06553"
"FOXJ2","-0.48070275718398459","-0.48070275718398459","0.48070275718398459","Repressed","213","viper","213","0.48070275718398459",NA,NA,"4","ReMap--ChIP-seq(rank=208); ARCHS4--Coexpression(rank=818); Enrichr--Queries(rank=1069); GTEx--Coexpression(rank=1214)","1349","0.50249999999999995","ARCHS4 Coexpression,0.5025"
"KDM5B","-0.47614840245979179","-0.47614840245979179","0.47614840245979179","Repressed","214","viper","214","0.47614840245979179",NA,NA,"5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=72); GTEx--Coexpression(rank=274); ARCHS4--Coexpression(rank=357)","417","0.10979999999999999","Literature ChIP-seq,0.1098"
"NFATC1","0.45743060632576082","0.45743060632576082","0.45743060632576082","Activated","215","viper","215","0.45743060632576082",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=222); ReMap--ChIP-seq(rank=273); Enrichr--Queries(rank=332); GTEx--Coexpression(rank=1186)","509","0.13639999999999999","ARCHS4 Coexpression,0.1364"
"KLF3","0.44423587786870528","0.44423587786870528","0.44423587786870528","Activated","216","viper","216","0.44423587786870528",NA,NA,"4","GTEx--Coexpression(rank=132); ARCHS4--Coexpression(rank=142); ReMap--ChIP-seq(rank=276); Enrichr--Queries(rank=1005)","318","0.08214000000000000","GTEx Coexpression,0.08214"
"REST","-0.43044241181678056","-0.43044241181678056","0.43044241181678056","Repressed","217","viper","217","0.43044241181678056",NA,NA,"6","ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=81); Literature--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=587); GTEx--Coexpression(rank=599); Enrichr--Queries(rank=1194)","421","0.11110000000000000","ReMap ChIP-seq,0.1111"
"CEBPA","-0.43020443087793586","-0.43020443087793586","0.43020443087793586","Repressed","218","viper","218","0.43020443087793586",NA,NA,"5","Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=251); ARCHS4--Coexpression(rank=539); Enrichr--Queries(rank=587); GTEx--Coexpression(rank=1027)","715","0.20119999999999999","Literature ChIP-seq,0.2012"
"NCOA2","0.42567484624050678","0.42567484624050678","0.42567484624050678","Activated","219","viper","219","0.42567484624050678",NA,NA,"4","ReMap--ChIP-seq(rank=126); GTEx--Coexpression(rank=855); Enrichr--Queries(rank=1359); ARCHS4--Coexpression(rank=1509)","1225","0.42420000000000002","ReMap ChIP-seq,0.4242"
"SRF","-0.41523401135217697","-0.41523401135217697","0.41523401135217697","Repressed","220","viper","220","0.41523401135217697",NA,NA,"6","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=140); Literature--ChIP-seq(rank=148); Enrichr--Queries(rank=428); GTEx--Coexpression(rank=896); ARCHS4--Coexpression(rank=1487)","989","0.30480000000000002","Enrichr Queries,0.3048"
"IRF9","0.39829853792762010","0.39829853792762010","0.39829853792762010","Activated","221","viper","221","0.39829853792762010",NA,NA,"4","ARCHS4--Coexpression(rank=107); GTEx--Coexpression(rank=126); ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=355)","251","0.06572000000000000","ARCHS4 Coexpression,0.06572"
"FOXP2","-0.39018330663252815","-0.39018330663252815","0.39018330663252815","Repressed","222","viper","222","0.39018330663252815",NA,NA,"6","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=80); Literature--ChIP-seq(rank=113); GTEx--Coexpression(rank=573); ARCHS4--Coexpression(rank=647); Enrichr--Queries(rank=1102)","910","0.26939999999999997","ReMap ChIP-seq,0.2694"
"NEUROD1","0.38255037711157758","0.38255037711157758","0.38255037711157758","Activated","223","viper","223","0.38255037711157758",NA,NA,"4","ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=467); Enrichr--Queries(rank=761); ARCHS4--Coexpression(rank=952)","959","0.29060000000000002","GTEx Coexpression,0.2906"
"PAX6","0.37666829891092879","0.37666829891092879","0.37666829891092879","Activated","224","viper","224","0.37666829891092879",NA,NA,"5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=236); Enrichr--Queries(rank=754); GTEx--Coexpression(rank=778); ARCHS4--Coexpression(rank=915)","857","0.25000000000000000","Literature ChIP-seq,0.25"
"ZBED1","0.37142783385565431","0.37142783385565431","0.37142783385565431","Activated","225","viper","225","0.37142783385565431",NA,NA,"4","ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=921); ARCHS4--Coexpression(rank=1211); GTEx--Coexpression(rank=1476)","1507","0.65600000000000003","Enrichr Queries,0.656"
"SOX9","0.37036089063117006","0.37036089063117006","0.37036089063117006","Activated","226","viper","226","0.37036089063117006",NA,NA,"5","ReMap--ChIP-seq(rank=30); Literature--ChIP-seq(rank=34); Enrichr--Queries(rank=424); GTEx--Coexpression(rank=967); ARCHS4--Coexpression(rank=1133)","385","0.10100000000000001","ReMap ChIP-seq,0.101"
"STAT5A","0.36140659977021033","0.36140659977021033","0.36140659977021033","Activated","227","viper","227","0.36140659977021033",NA,NA,"6","Literature--ChIP-seq(rank=66); ENCODE--ChIP-seq(rank=106); Enrichr--Queries(rank=251); ReMap--ChIP-seq(rank=274); ARCHS4--Coexpression(rank=300); GTEx--Coexpression(rank=767)","651","0.17879999999999999","Enrichr Queries,0.1788"
"E2F3","-0.35594743329894335","-0.35594743329894335","0.35594743329894335","Repressed","228","viper","228","0.35594743329894335",NA,NA,"3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=845)","59","0.01658000000000000","ARCHS4 Coexpression,0.01658"
"SNAI2","-0.34332736334046954","-0.34332736334046954","0.34332736334046954","Repressed","229","viper","229","0.34332736334046954",NA,NA,"4","ReMap--ChIP-seq(rank=78); Enrichr--Queries(rank=205); ARCHS4--Coexpression(rank=431); GTEx--Coexpression(rank=1138)","539","0.14599999999999999","Enrichr Queries,0.146"
"MYB","0.32250080019024030","0.32250080019024030","0.32250080019024030","Activated","230","viper","230","0.32250080019024030",NA,NA,"6","Enrichr--Queries(rank=21); ENCODE--ChIP-seq(rank=24); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=87); ARCHS4--Coexpression(rank=210); ReMap--ChIP-seq(rank=218)","53","0.01496000000000000","Enrichr Queries,0.01496"
"CTCF","-0.30496163425168943","-0.30496163425168943","0.30496163425168943","Repressed","231","viper","231","0.30496163425168943",NA,NA,"6","ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=160); Enrichr--Queries(rank=582); GTEx--Coexpression(rank=1037)","19","0.00675700000000000","ARCHS4 Coexpression,0.006757"
"SPIB","-0.28277291632529095","-0.28277291632529095","0.28277291632529095","Repressed","232","viper","232","0.28277291632529095",NA,NA,"4","GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=449); Enrichr--Queries(rank=558)","179","0.04792000000000000","GTEx Coexpression,0.04792"
"NR1H3","0.26292521232540583","0.26292521232540583","0.26292521232540583","Activated","233","viper","233","0.26292521232540583",NA,NA,"5","Literature--ChIP-seq(rank=20); GTEx--Coexpression(rank=223); ReMap--ChIP-seq(rank=289); ARCHS4--Coexpression(rank=294); Enrichr--Queries(rank=502)","461","0.12200000000000000","Literature ChIP-seq,0.122"
"BHLHE22","0.24530750533517401","0.24530750533517401","0.24530750533517401","Activated","234","viper","234","0.24530750533517401",NA,NA,"3","ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=335); ARCHS4--Coexpression(rank=823)","734","0.20849999999999999","GTEx Coexpression,0.2085"
"ZEB1","0.22963702458014645","0.22963702458014645","0.22963702458014645","Activated","235","viper","235","0.22963702458014645",NA,NA,"5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=773); GTEx--Coexpression(rank=1041); ARCHS4--Coexpression(rank=1304)","1393","0.54210000000000003","ReMap ChIP-seq,0.5421"
"KLF1","0.22574043600715868","0.22574043600715868","0.22574043600715868","Activated","236","viper","236","0.22574043600715868",NA,NA,"5","ReMap--ChIP-seq(rank=67); Literature--ChIP-seq(rank=109); Enrichr--Queries(rank=162); ARCHS4--Coexpression(rank=185); GTEx--Coexpression(rank=1031)","431","0.11360000000000001","ARCHS4 Coexpression,0.1136"
"OTX2","0.21780507665368215","0.21780507665368215","0.21780507665368215","Activated","237","viper","237","0.21780507665368215",NA,NA,"4","ReMap--ChIP-seq(rank=247); ARCHS4--Coexpression(rank=395); GTEx--Coexpression(rank=612); Enrichr--Queries(rank=871)","834","0.24260000000000001","ARCHS4 Coexpression,0.2426"
