Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
ATF2_UP.V1_DN	ATF2_UP.V1_DN	6.07e-04	86	0.4649	0	0	1	0	keep	itself		True	FOS,GPRC5B,BHLHE40,EDIL3,TNFRSF11B,PIM1,GAS1,CEMIP,ADORA2B,SLC24A3,TGM5,ITGBL1,CCL2,ZC3H12A,MN1,ID4,ERO1A,TREM1,CSGALNACT1,SPINT2
ALK_DN.V1_UP	ALK_DN.V1_UP	6.63e-04	49	0.3475	0	0	1	0	keep	itself		True	IL6,NOD2,CCL20,CXCL5,ANGPT2,CH25H,GDF15,FJX1,TCIM,CHAC1,LMX1B,DDIT4,STMN2,SPP1,B3GALT4,CA3,TREM1,VEGFA,NFKBIL1,BDKRB2
SNF5_DN.V1_DN	SNF5_DN.V1_DN	0.0014	56	0.3567	0	0	1	0	keep	itself		True	TPD52L1,ATP8A2,TMEM53,CARD10,RGS16,TINAGL1,TCIM,CRCT1,ARHGEF28,FOXD1,MMP3,FLYWCH2,YIPF2,TNFRSF21,CSGALNACT1,PRSS12,ITGA3,DNAJA4,HOXA5,SMARCB1
RAF_UP.V1_DN	RAF_UP.V1_DN	0.0015	65	0.3368	0	0	1	0	keep	itself		True	ID1,ACKR3,CPE,FOS,EGR3,CALB2,OSR2,INPP4B,SH3BGRL,IGF1R,FAM234B,TMPRSS3,SOX9,BAMBI,PMAIP1,SLC6A14,SLC24A3,BTG3,GPC4,DDIT4
SINGH_KRAS_DEPENDENCY_SIGNATURE	SINGH_KRAS_DEPENDENCY_SIGNATURE	0.0016	12	0.6	0	0	1	0	keep	itself		True	SEMA4B,FGFBP1,PRSS22,TGFA,C1orf116,SH2D3A,LAMA3,LAMC2,ADAM8,SDR16C5,MST1R,CLDN7
PTEN_DN.V2_UP	PTEN_DN.V2_UP	0.0016	48	0.3429	0	0	1	0	keep	itself		True	EMP1,JUN,IL1B,TNFRSF10D,IL4R,COL13A1,ST3GAL4,ANXA3,TMEM127,KLK10,SERPINB5,CASP4,GPR87,CHAC1,BBC3,HSPB7,LIPG,CXCL8,LAMA3,CA5B
CRX_DN.V1_DN	CRX_DN.V1_DN	0.0017	57	0.4318	0	0	1	0	keep	itself		True	CDKN1A,JUNB,SOCS3,CEBPB,S100A6,TNFRSF12A,INHBB,BCL3,CHRNA3,ARHGEF28,TMBIM1,FOXD1,SH3BP4,KLF10,LRRC4,CHAC1,S100A16,TLE1,EGR1,TUBB6
KRAS.DF.V1_DN	KRAS.DF.V1_DN	0.0022	73	0.3782	0	0	1	0	keep	itself		True	SPRR1B,KLK8,C6orf15,KLK5,HOXA11,HMGN3,ARID3B,RNF186,SMAP1,BDKRB1,HDAC9,HOXC8,ARFGAP1,RAB6B,ALOX5,SPRING1,SRF,ARHGAP26,TUFT1,KLF4
RB_P107_DN.V1_DN	RB_P107_DN.V1_DN	0.0029	74	0.5827	0	0	1	0	keep	itself		True	KRT79,BIN3,TARS1,C3orf70,PLK3,STX7,LPAR3,CHAC1,NME7,DDIT4,S100A16,PRSS12,EDN1,RNF25,PEX19,SLPI,GSTA4,AIMP1,PPBP,RBM8A
CYCLIN_D1_UP.V1_UP	CYCLIN_D1_UP.V1_UP	0.003	88	0.4706	0	0	1	0	keep	itself		True	ID1,NFE2,EPHA2,SMOX,ST3GAL4,MYL6,MYT1,SLC12A4,PLK3,KLK6,TGFB1,FHL2,EGR1,PDE1B,NDUFB7,KLF4,ABLIM1,HSPG2,GP2,MGAT5
VEGF_A_UP.V1_UP	VEGF_A_UP.V1_UP	0.0037	76	0.3897	0	0	1	0	keep	itself		True	ATF3,DDIT3,CABP1,MIA,SDC4,NEDD9,PHLDA1,ITGB4,RELB,IQCK,CCL2,DYRK1B,CCL7,DDIT4,MN1,RBMX2,KCNMB1,ETV2,ECM1,MGAT5
