"TF","HVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SOX10","0.96963245956216304","0.96963245956216304","0.96963245956216304","Activated","160","viper","160","0.96963245956216304",NA,NA,"4","ReMap--ChIP-seq(rank=278); GTEx--Coexpression(rank=893); Enrichr--Queries(rank=957); ARCHS4--Coexpression(rank=994)","1402","0.55569999999999997","GTEx Coexpression,0.5557"
"FOXP2","-0.96536036211647525","-0.96536036211647525","0.96536036211647525","Repressed","161","viper","161","0.96536036211647525",NA,NA,"6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=96); GTEx--Coexpression(rank=830); Enrichr--Queries(rank=1058); ARCHS4--Coexpression(rank=1385)","1026","0.32319999999999999","ReMap ChIP-seq,0.3232"
"CREB1","-0.96199611789456962","-0.96199611789456962","0.96199611789456962","Repressed","162","viper","162","0.96199611789456962",NA,NA,"6","Literature--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=53); GTEx--Coexpression(rank=160); Enrichr--Queries(rank=365); ARCHS4--Coexpression(rank=1113)","358","0.09755999999999999","Literature ChIP-seq,0.09756"
"GATA4","0.95172577281973580","0.95172577281973580","0.95172577281973580","Activated","163","viper","163","0.95172577281973580",NA,NA,"5","Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=850); GTEx--Coexpression(rank=1078); Enrichr--Queries(rank=1315)","487","0.13410000000000000","Literature ChIP-seq,0.1341"
"SOX13","0.92742924998910181","0.92742924998910181","0.92742924998910181","Activated","164","viper","164","0.92742924998910181",NA,NA,"4","ReMap--ChIP-seq(rank=228); GTEx--Coexpression(rank=558); ARCHS4--Coexpression(rank=626); Enrichr--Queries(rank=909)","1068","0.34720000000000001","GTEx Coexpression,0.3472"
"CREM","0.92537860967715524","0.92537860967715524","0.92537860967715524","Activated","165","viper","165","0.92537860967715524",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=76); Enrichr--Queries(rank=960); GTEx--Coexpression(rank=1401); ARCHS4--Coexpression(rank=1474)","228","0.06098000000000000","Literature ChIP-seq,0.06098"
"HHEX","-0.90552075522747189","-0.90552075522747189","0.90552075522747189","Repressed","166","viper","166","0.90552075522747189",NA,NA,"4","ReMap--ChIP-seq(rank=184); ARCHS4--Coexpression(rank=453); GTEx--Coexpression(rank=817); Enrichr--Queries(rank=913)","913","0.27829999999999999","ARCHS4 Coexpression,0.2783"
"TGIF2","0.90006592373892635","0.90006592373892635","0.90006592373892635","Activated","167","viper","167","0.90006592373892635",NA,NA,"4","ARCHS4--Coexpression(rank=17); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=41); GTEx--Coexpression(rank=95)","33","0.01044000000000000","ARCHS4 Coexpression,0.01044"
"ZNF143","0.88574963126705164","0.88574963126705164","0.88574963126705164","Activated","168","viper","168","0.88574963126705164",NA,NA,"5","ReMap--ChIP-seq(rank=30); ENCODE--ChIP-seq(rank=55); Enrichr--Queries(rank=150); GTEx--Coexpression(rank=504); ARCHS4--Coexpression(rank=860)","371","0.10100000000000001","ReMap ChIP-seq,0.101"
"STAT2","0.87985723233622448","0.87985723233622448","0.87985723233622448","Activated","169","viper","169","0.87985723233622448",NA,NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=109); GTEx--Coexpression(rank=650); Enrichr--Queries(rank=721); ARCHS4--Coexpression(rank=1210)","1118","0.36699999999999999","ReMap ChIP-seq,0.367"
"HOXA9","0.87485069126632498","0.87485069126632498","0.87485069126632498","Activated","170","viper","170","0.87485069126632498",NA,NA,"4","ARCHS4--Coexpression(rank=174); ReMap--ChIP-seq(rank=247); Enrichr--Queries(rank=950); GTEx--Coexpression(rank=1014)","392","0.10690000000000000","ARCHS4 Coexpression,0.1069"
"REL","0.87373480517503732","0.87373480517503732","0.87373480517503732","Activated","171","viper","171","0.87373480517503732",NA,NA,"3","GTEx--Coexpression(rank=391); ARCHS4--Coexpression(rank=794); Enrichr--Queries(rank=938)","814","0.24329999999999999","GTEx Coexpression,0.2433"
"KLF13","0.87282681686459873","0.87282681686459873","0.87282681686459873","Activated","172","viper","172","0.87282681686459873",NA,NA,"4","ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=411); ARCHS4--Coexpression(rank=1004); Enrichr--Queries(rank=1087)","576","0.16159999999999999","ReMap ChIP-seq,0.1616"
"KLF4","0.83492931838017093","0.83492931838017093","0.83492931838017093","Activated","173","viper","173","0.83492931838017093",NA,NA,"5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=588); Enrichr--Queries(rank=1220); ARCHS4--Coexpression(rank=1549)","251","0.06707000000000000","Literature ChIP-seq,0.06707"
"FOXL2","0.82551654815976971","0.82551654815976971","0.82551654815976971","Activated","174","viper","174","0.82551654815976971",NA,NA,"3","ARCHS4--Coexpression(rank=232); GTEx--Coexpression(rank=897); Enrichr--Queries(rank=1099)","517","0.14249999999999999","ARCHS4 Coexpression,0.1425"
"EGR1","0.81608152454760430","0.81608152454760430","0.81608152454760430","Activated","175","viper","175","0.81608152454760430",NA,NA,"6","ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=41); Literature--ChIP-seq(rank=70); GTEx--Coexpression(rank=641); Enrichr--Queries(rank=898); ARCHS4--Coexpression(rank=909)","404","0.11110000000000000","ReMap ChIP-seq,0.1111"
"IRF9","0.81223006309320034","0.81223006309320034","0.81223006309320034","Activated","176","viper","176","0.81223006309320034",NA,NA,"4","ReMap--ChIP-seq(rank=249); Enrichr--Queries(rank=607); GTEx--Coexpression(rank=931); ARCHS4--Coexpression(rank=935)","1233","0.43230000000000002","Enrichr Queries,0.4323"
"E2F6","0.80767177933947165","0.80767177933947165","0.80767177933947165","Activated","177","viper","177","0.80767177933947165",NA,NA,"5","ENCODE--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=88); Enrichr--Queries(rank=96); ARCHS4--Coexpression(rank=102); GTEx--Coexpression(rank=1490)","234","0.06265000000000000","ARCHS4 Coexpression,0.06265"
"VDR","0.80618150895851803","0.80618150895851803","0.80618150895851803","Activated","178","viper","178","0.80618150895851803",NA,NA,"5","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=579); GTEx--Coexpression(rank=1000); ARCHS4--Coexpression(rank=1193)","548","0.15240000000000001","Literature ChIP-seq,0.1524"
"ERG","0.79952902104107026","0.79952902104107026","0.79952902104107026","Activated","179","viper","179","0.79952902104107026",NA,NA,"5","Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=748); GTEx--Coexpression(rank=889); Enrichr--Queries(rank=1104)","1069","0.34760000000000002","Literature ChIP-seq,0.3476"
"NRF1","-0.79614854310717997","-0.79614854310717997","0.79614854310717997","Repressed","180","viper","180","0.79614854310717997",NA,NA,"5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=46); Enrichr--Queries(rank=83); ARCHS4--Coexpression(rank=1017); GTEx--Coexpression(rank=1174)","221","0.05912000000000000","Enrichr Queries,0.05912"
"FOXJ2","0.79117793029167549","0.79117793029167549","0.79117793029167549","Activated","181","viper","181","0.79117793029167549",NA,NA,"4","ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=522); Enrichr--Queries(rank=646); GTEx--Coexpression(rank=863)","1020","0.32060000000000000","ARCHS4 Coexpression,0.3206"
"MNT","0.77347575376573374","0.77347575376573374","0.77347575376573374","Activated","182","viper","182","0.77347575376573374",NA,NA,"4","ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=590); GTEx--Coexpression(rank=947); ARCHS4--Coexpression(rank=1082)","1101","0.36030000000000001","ReMap ChIP-seq,0.3603"
"RXRA","0.76960001154008240","0.76960001154008240","0.76960001154008240","Activated","183","viper","183","0.76960001154008240",NA,NA,"6","Literature--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=90); ENCODE--ChIP-seq(rank=96); GTEx--Coexpression(rank=668); Enrichr--Queries(rank=936); ARCHS4--Coexpression(rank=1376)","978","0.30299999999999999","ReMap ChIP-seq,0.303"
"TFAP2A","0.76918871496631969","0.76918871496631969","0.76918871496631969","Activated","184","viper","184","0.76918871496631969",NA,NA,"6","ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=89); Literature--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=372); Enrichr--Queries(rank=494); GTEx--Coexpression(rank=952)","782","0.22850000000000001","ARCHS4 Coexpression,0.2285"
"NCOA3","0.76104927403069411","0.76104927403069411","0.76104927403069411","Activated","185","viper","185","0.76104927403069411",NA,NA,"4","GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=219); Enrichr--Queries(rank=267); ARCHS4--Coexpression(rank=1260)","179","0.04792000000000000","GTEx Coexpression,0.04792"
"NFIC","-0.72605428021779073","-0.72605428021779073","0.72605428021779073","Repressed","186","viper","186","0.72605428021779073",NA,NA,"5","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=855); Enrichr--Queries(rank=878); GTEx--Coexpression(rank=921)","938","0.28810000000000002","ENCODE ChIP-seq,0.2881"
"LEF1","-0.72383306674176351","-0.72383306674176351","0.72383306674176351","Repressed","187","viper","187","0.72383306674176351",NA,NA,"4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=604); Enrichr--Queries(rank=656); GTEx--Coexpression(rank=1218)","1128","0.37100000000000000","ARCHS4 Coexpression,0.371"
"FOXA2","0.72190212616444804","0.72190212616444804","0.72190212616444804","Activated","188","viper","188","0.72190212616444804",NA,NA,"6","Literature--ChIP-seq(rank=76); ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=1021); ARCHS4--Coexpression(rank=1068); GTEx--Coexpression(rank=1088)","1279","0.46339999999999998","Literature ChIP-seq,0.4634"
"TFAP2C","0.72124477088598782","0.72124477088598782","0.72124477088598782","Activated","189","viper","189","0.72124477088598782",NA,NA,"6","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=83); Literature--ChIP-seq(rank=88); Enrichr--Queries(rank=392); ARCHS4--Coexpression(rank=803); GTEx--Coexpression(rank=1114)","917","0.27920000000000000","Enrichr Queries,0.2792"
"CREB3L1","-0.70616383750121525","-0.70616383750121525","0.70616383750121525","Repressed","190","viper","190","0.70616383750121525",NA,NA,"4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=870); ARCHS4--Coexpression(rank=1107); GTEx--Coexpression(rank=1601)","1305","0.47810000000000002","ReMap ChIP-seq,0.4781"
"CEBPA","-0.68066715913482612","-0.68066715913482612","0.68066715913482612","Repressed","191","viper","191","0.68066715913482612",NA,NA,"5","Literature--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=905); Enrichr--Queries(rank=996); GTEx--Coexpression(rank=1149)","996","0.31100000000000000","Literature ChIP-seq,0.311"
"ESR1","0.67530852343297909","0.67530852343297909","0.67530852343297909","Activated","192","viper","192","0.67530852343297909",NA,NA,"6","Literature--ChIP-seq(rank=108); ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=558); GTEx--Coexpression(rank=1034); ARCHS4--Coexpression(rank=1355)","1178","0.39739999999999998","Enrichr Queries,0.3974"
"SNAI2","-0.64924176577886294","-0.64924176577886294","0.64924176577886294","Repressed","193","viper","193","0.64924176577886294",NA,NA,"4","ReMap--ChIP-seq(rank=114); ARCHS4--Coexpression(rank=851); Enrichr--Queries(rank=1033); GTEx--Coexpression(rank=1044)","1153","0.38379999999999997","ReMap ChIP-seq,0.3838"
"KLF3","0.64767900105599541","0.64767900105599541","0.64767900105599541","Activated","194","viper","194","0.64767900105599541",NA,NA,"4","ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=765); GTEx--Coexpression(rank=989); ARCHS4--Coexpression(rank=1025)","1390","0.54490000000000005","Enrichr Queries,0.5449"
"KDM5B","0.64130676464616654","0.64130676464616654","0.64130676464616654","Activated","195","viper","195","0.64130676464616654",NA,NA,"5","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=213); ARCHS4--Coexpression(rank=423)","157","0.04268000000000000","Literature ChIP-seq,0.04268"
"FOSL2","-0.63246876602180824","-0.63246876602180824","0.63246876602180824","Repressed","196","viper","196","0.63246876602180824",NA,NA,"5","ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=92); GTEx--Coexpression(rank=954); Enrichr--Queries(rank=1079); ARCHS4--Coexpression(rank=1378)","992","0.30980000000000002","ReMap ChIP-seq,0.3098"
"SRF","-0.61463401782999716","-0.61463401782999716","0.61463401782999716","Repressed","197","viper","197","0.61463401782999716",NA,NA,"6","Literature--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=91); Enrichr--Queries(rank=505); ARCHS4--Coexpression(rank=549); GTEx--Coexpression(rank=773)","584","0.16460000000000000","Literature ChIP-seq,0.1646"
"USF2","0.61133076004550591","0.61133076004550591","0.61133076004550591","Activated","198","viper","198","0.61133076004550591",NA,NA,"5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=504); ARCHS4--Coexpression(rank=897); GTEx--Coexpression(rank=1033)","742","0.21210000000000001","ReMap ChIP-seq,0.2121"
"SP4","-0.59111531549007257","-0.59111531549007257","0.59111531549007257","Repressed","199","viper","199","0.59111531549007257",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=204); ARCHS4--Coexpression(rank=798); GTEx--Coexpression(rank=866)","525","0.14530000000000001","Enrichr Queries,0.1453"
"BACH1","0.58846538663642178","0.58846538663642178","0.58846538663642178","Activated","200","viper","200","0.58846538663642178",NA,NA,"6","Literature--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=739); GTEx--Coexpression(rank=1198); ARCHS4--Coexpression(rank=1618)","776","0.22559999999999999","Literature ChIP-seq,0.2256"
"BHLHE22","-0.58758599133534428","-0.58758599133534428","0.58758599133534428","Repressed","201","viper","201","0.58758599133534428",NA,NA,"3","ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=831); ARCHS4--Coexpression(rank=1265)","1259","0.44779999999999998","ReMap ChIP-seq,0.4478"
"CDX2","0.58672217114120229","0.58672217114120229","0.58672217114120229","Activated","202","viper","202","0.58672217114120229",NA,NA,"5","Literature--ChIP-seq(rank=148); ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=1106); Enrichr--Queries(rank=1243); ARCHS4--Coexpression(rank=1393)","1518","0.68820000000000003","GTEx Coexpression,0.6882"
"JUND","-0.58363637956882153","-0.58363637956882153","0.58363637956882153","Repressed","203","viper","203","0.58363637956882153",NA,NA,"6","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=97); Literature--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=591); Enrichr--Queries(rank=804); GTEx--Coexpression(rank=811)","1032","0.32660000000000000","ReMap ChIP-seq,0.3266"
"SMAD1","0.56990867159312852","0.56990867159312852","0.56990867159312852","Activated","204","viper","204","0.56990867159312852",NA,NA,"5","Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=79); ARCHS4--Coexpression(rank=886); Enrichr--Queries(rank=890); GTEx--Coexpression(rank=1466)","682","0.19510000000000000","Literature ChIP-seq,0.1951"
"HBP1","-0.56487627303992349","-0.56487627303992349","0.56487627303992349","Repressed","205","viper","205","0.56487627303992349",NA,NA,"4","ReMap--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=87); Enrichr--Queries(rank=166); GTEx--Coexpression(rank=755)","201","0.05344000000000000","ARCHS4 Coexpression,0.05344"
"ZNF274","-0.55964999365162937","-0.55964999365162937","0.55964999365162937","Repressed","206","viper","206","0.55964999365162937",NA,NA,"6","ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=119); Literature--ChIP-seq(rank=154); Enrichr--Queries(rank=373); GTEx--Coexpression(rank=1061); ARCHS4--Coexpression(rank=1300)","875","0.26569999999999999","Enrichr Queries,0.2657"
"STAT4","0.55805651816169077","0.55805651816169077","0.55805651816169077","Activated","207","viper","207","0.55805651816169077",NA,NA,"4","Literature--ChIP-seq(rank=39); GTEx--Coexpression(rank=860); Enrichr--Queries(rank=1273); ARCHS4--Coexpression(rank=1470)","803","0.23780000000000001","Literature ChIP-seq,0.2378"
"FOXK2","-0.55552185873362991","-0.55552185873362991","0.55552185873362991","Repressed","208","viper","208","0.55552185873362991",NA,NA,"4","ReMap--ChIP-seq(rank=77); Enrichr--Queries(rank=144); ARCHS4--Coexpression(rank=212); GTEx--Coexpression(rank=1414)","378","0.10260000000000000","Enrichr Queries,0.1026"
"BACH2","0.54655724340123790","0.54655724340123790","0.54655724340123790","Activated","209","viper","209","0.54655724340123790",NA,NA,"4","ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=848); Enrichr--Queries(rank=881); ARCHS4--Coexpression(rank=1382)","1371","0.52769999999999995","GTEx Coexpression,0.5277"
"IRF2","-0.54582543539745054","-0.54582543539745054","0.54582543539745054","Repressed","210","viper","210","0.54582543539745054",NA,NA,"4","ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=926); ARCHS4--Coexpression(rank=1088); GTEx--Coexpression(rank=1172)","534","0.14810000000000001","ReMap ChIP-seq,0.1481"
"TBP","0.54031277072745576","0.54031277072745576","0.54031277072745576","Activated","211","viper","211","0.54031277072745576",NA,NA,"5","ENCODE--ChIP-seq(rank=27); Literature--ChIP-seq(rank=83); GTEx--Coexpression(rank=93); ReMap--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=738)","217","0.05787000000000000","GTEx Coexpression,0.05787"
"PGR","-0.53694718023487331","-0.53694718023487331","0.53694718023487331","Repressed","212","viper","212","0.53694718023487331",NA,NA,"4","ReMap--ChIP-seq(rank=205); ARCHS4--Coexpression(rank=579); Enrichr--Queries(rank=1127); GTEx--Coexpression(rank=1317)","1090","0.35570000000000002","ARCHS4 Coexpression,0.3557"
"RUNX3","0.53321588976884127","0.53321588976884127","0.53321588976884127","Activated","213","viper","213","0.53321588976884127",NA,NA,"5","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=635); Enrichr--Queries(rank=1176); GTEx--Coexpression(rank=1377)","1131","0.37290000000000001","ENCODE ChIP-seq,0.3729"
"WT1","-0.52783094351875515","-0.52783094351875515","0.52783094351875515","Repressed","214","viper","214","0.52783094351875515",NA,NA,"4","Literature--ChIP-seq(rank=102); ARCHS4--Coexpression(rank=303); GTEx--Coexpression(rank=580); Enrichr--Queries(rank=666)","657","0.18609999999999999","ARCHS4 Coexpression,0.1861"
"SPIB","0.52172355668906989","0.52172355668906989","0.52172355668906989","Activated","215","viper","215","0.52172355668906989",NA,NA,"4","GTEx--Coexpression(rank=74); ReMap--ChIP-seq(rank=267); ARCHS4--Coexpression(rank=1010); Enrichr--Queries(rank=1096)","171","0.04605000000000000","GTEx Coexpression,0.04605"
"THAP1","0.50567518600595396","0.50567518600595396","0.50567518600595396","Activated","216","viper","216","0.50567518600595396",NA,NA,"5","ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=249); ARCHS4--Coexpression(rank=483); GTEx--Coexpression(rank=1566)","630","0.17740000000000000","Enrichr Queries,0.1774"
"ARID2","-0.49251201338481698","-0.49251201338481698","0.49251201338481698","Repressed","217","viper","217","0.49251201338481698",NA,NA,"4","ReMap--ChIP-seq(rank=59); GTEx--Coexpression(rank=186); ARCHS4--Coexpression(rank=261); Enrichr--Queries(rank=766)","422","0.11570000000000000","GTEx Coexpression,0.1157"
"FOXA1","0.48883144956733410","0.48883144956733410","0.48883144956733410","Activated","218","viper","218","0.48883144956733410",NA,NA,"6","Literature--ChIP-seq(rank=61); ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=831); Enrichr--Queries(rank=882); GTEx--Coexpression(rank=1237)","1129","0.37200000000000000","Literature ChIP-seq,0.372"
"ZNF24","-0.45858328595715842","-0.45858328595715842","0.45858328595715842","Repressed","219","viper","219","0.45858328595715842",NA,NA,"4","ReMap--ChIP-seq(rank=173); Enrichr--Queries(rank=307); ARCHS4--Coexpression(rank=397); GTEx--Coexpression(rank=767)","758","0.21870000000000001","Enrichr Queries,0.2187"
"PAX5","0.45041463948725791","0.45041463948725791","0.45041463948725791","Activated","220","viper","220","0.45041463948725791",NA,NA,"5","ReMap--ChIP-seq(rank=26); GTEx--Coexpression(rank=62); ENCODE--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=713); Enrichr--Queries(rank=1268)","140","0.03858000000000000","GTEx Coexpression,0.03858"
"SIX5","-0.44470332960570119","-0.44470332960570119","0.44470332960570119","Repressed","221","viper","221","0.44470332960570119",NA,NA,"5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=82); Enrichr--Queries(rank=557); ARCHS4--Coexpression(rank=632); GTEx--Coexpression(rank=654)","905","0.27610000000000001","ReMap ChIP-seq,0.2761"
"MEF2B","0.43764324604556598","0.43764324604556598","0.43764324604556598","Activated","222","viper","222","0.43764324604556598",NA,NA,"4","Enrichr--Queries(rank=167); ReMap--ChIP-seq(rank=253); GTEx--Coexpression(rank=345); ARCHS4--Coexpression(rank=698)","436","0.11890000000000001","Enrichr Queries,0.1189"
"ELK1","0.38929134304716839","0.38929134304716839","0.38929134304716839","Activated","223","viper","223","0.38929134304716839",NA,NA,"5","Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=56); ENCODE--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=467); GTEx--Coexpression(rank=832)","628","0.17680000000000001","Literature ChIP-seq,0.1768"
"CTCFL","-0.37322931872034959","-0.37322931872034959","0.37322931872034959","Repressed","224","viper","224","0.37322931872034959",NA,NA,"5","ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=102); Enrichr--Queries(rank=158); GTEx--Coexpression(rank=375); ARCHS4--Coexpression(rank=505)","360","0.09764000000000000","ReMap ChIP-seq,0.09764"
"MAF","0.37309381589171042","0.37309381589171042","0.37309381589171042","Activated","225","viper","225","0.37309381589171042",NA,NA,"4","ReMap--ChIP-seq(rank=156); GTEx--Coexpression(rank=834); ARCHS4--Coexpression(rank=862); Enrichr--Queries(rank=1313)","1360","0.51900000000000002","GTEx Coexpression,0.519"
"NR3C1","0.36231439087839590","0.36231439087839590","0.36231439087839590","Activated","226","viper","226","0.36231439087839590",NA,NA,"6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=159); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=304); Enrichr--Queries(rank=800); ARCHS4--Coexpression(rank=1279)","665","0.18920000000000001","GTEx Coexpression,0.1892"
"TCF7","-0.33867676266001723","-0.33867676266001723","0.33867676266001723","Repressed","227","viper","227","0.33867676266001723",NA,NA,"5","Literature--ChIP-seq(rank=141); ReMap--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=669); Enrichr--Queries(rank=1009); GTEx--Coexpression(rank=1362)","1195","0.41089999999999999","ARCHS4 Coexpression,0.4109"
"HIF1A","-0.30927670685692676","-0.30927670685692676","0.30927670685692676","Repressed","228","viper","228","0.30927670685692676",NA,NA,"5","Literature--ChIP-seq(rank=156); ReMap--ChIP-seq(rank=245); Enrichr--Queries(rank=326); GTEx--Coexpression(rank=661); ARCHS4--Coexpression(rank=1137)","792","0.23219999999999999","Enrichr Queries,0.2322"
"CTCF","0.29785668195680010","0.29785668195680010","0.29785668195680010","Activated","229","viper","229","0.29785668195680010",NA,NA,"6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=73); Enrichr--Queries(rank=77); GTEx--Coexpression(rank=428)","15","0.00552800000000000","ARCHS4 Coexpression,0.005528"
"KMT2A","-0.28296972152644784","-0.28296972152644784","0.28296972152644784","Repressed","230","viper","230","0.28296972152644784",NA,NA,"3","ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=840); GTEx--Coexpression(rank=920)","1185","0.40400000000000003","ReMap ChIP-seq,0.404"
"NR5A2","0.26610886506602993","0.26610886506602993","0.26610886506602993","Activated","231","viper","231","0.26610886506602993",NA,NA,"4","ReMap--ChIP-seq(rank=286); ARCHS4--Coexpression(rank=921); GTEx--Coexpression(rank=1130); Enrichr--Queries(rank=1259)","1414","0.56569999999999998","ARCHS4 Coexpression,0.5657"
"STAT6","-0.26078080184893032","-0.26078080184893032","0.26078080184893032","Repressed","232","viper","232","0.26078080184893032",NA,NA,"4","Literature--ChIP-seq(rank=112); GTEx--Coexpression(rank=483); Enrichr--Queries(rank=919); ARCHS4--Coexpression(rank=1159)","971","0.30059999999999998","GTEx Coexpression,0.3006"
"GATA1","0.25026813831123434","0.25026813831123434","0.25026813831123434","Activated","233","viper","233","0.25026813831123434",NA,NA,"6","ENCODE--ChIP-seq(rank=15); Literature--ChIP-seq(rank=118); Enrichr--Queries(rank=223); ReMap--ChIP-seq(rank=260); ARCHS4--Coexpression(rank=704); GTEx--Coexpression(rank=1271)","465","0.12709999999999999","ENCODE ChIP-seq,0.1271"
"NFKB2","-0.24468967585022855","-0.24468967585022855","0.24468967585022855","Repressed","234","viper","234","0.24468967585022855",NA,NA,"4","ReMap--ChIP-seq(rank=203); GTEx--Coexpression(rank=404); Enrichr--Queries(rank=1069); ARCHS4--Coexpression(rank=1200)","841","0.25140000000000001","GTEx Coexpression,0.2514"
"IKZF1","0.23178240726080532","0.23178240726080532","0.23178240726080532","Activated","235","viper","235","0.23178240726080532",NA,NA,"6","ENCODE--ChIP-seq(rank=97); Literature--ChIP-seq(rank=138); ReMap--ChIP-seq(rank=239); ARCHS4--Coexpression(rank=761); GTEx--Coexpression(rank=1269); Enrichr--Queries(rank=1330)","1286","0.46739999999999998","ARCHS4 Coexpression,0.4674"
"ETV4","0.21461022496832544","0.21461022496832544","0.21461022496832544","Activated","236","viper","236","0.21461022496832544",NA,NA,"4","GTEx--Coexpression(rank=35); Enrichr--Queries(rank=50); ARCHS4--Coexpression(rank=78); ReMap--ChIP-seq(rank=103)","77","0.02178000000000000","GTEx Coexpression,0.02178"
"TWIST1","0.21351583461620344","0.21351583461620344","0.21351583461620344","Activated","237","viper","237","0.21351583461620344",NA,NA,"4","ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=1065); ARCHS4--Coexpression(rank=1121); GTEx--Coexpression(rank=1293)","1509","0.67679999999999985","ReMap ChIP-seq,0.6768"
"ETS1","0.20465666306308727","0.20465666306308727","0.20465666306308727","Activated","238","viper","238","0.20465666306308727",NA,NA,"6","ENCODE--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=95); Literature--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=799); Enrichr--Queries(rank=908); GTEx--Coexpression(rank=1057)","1018","0.31990000000000002","ReMap ChIP-seq,0.3199"
