"TF","HVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"SMAD1","0.97475027631887845","0.97475027631887845","0.97475027631887845","Activated","159","viper","159","0.97475027631887845",NA,NA,"5","ReMap--ChIP-seq(rank=69); Literature--ChIP-seq(rank=93); Enrichr--Queries(rank=448); ARCHS4--Coexpression(rank=580); GTEx--Coexpression(rank=1470)","804","0.23230000000000001","ReMap ChIP-seq,0.2323"
"KLF3","-0.97193601001966468","-0.97193601001966468","0.97193601001966468","Repressed","160","viper","160","0.97193601001966468",NA,NA,"4","ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=423); ARCHS4--Coexpression(rank=451); GTEx--Coexpression(rank=840)","930","0.27700000000000002","ARCHS4 Coexpression,0.277"
"PDX1","0.95746965258950212","0.95746965258950212","0.95746965258950212","Activated","161","viper","161","0.95746965258950212",NA,NA,"5","Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=287); ARCHS4--Coexpression(rank=631); GTEx--Coexpression(rank=1006); Enrichr--Queries(rank=1231)","1153","0.38760000000000000","ARCHS4 Coexpression,0.3876"
"NR3C1","0.93791737351570803","0.93791737351570803","0.93791737351570803","Activated","162","viper","162","0.93791737351570803",NA,NA,"6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=329); Enrichr--Queries(rank=543); GTEx--Coexpression(rank=769)","534","0.14410000000000001","ENCODE ChIP-seq,0.1441"
"YY1","-0.93738579567874525","-0.93738579567874525","0.93738579567874525","Repressed","163","viper","163","0.93738579567874525",NA,NA,"6","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=114); Literature--ChIP-seq(rank=146); Enrichr--Queries(rank=717); GTEx--Coexpression(rank=991)","270","0.07002000000000000","ARCHS4 Coexpression,0.07002"
"CREB3L1","0.93731683962469570","0.93731683962469570","0.93731683962469570","Activated","164","viper","164","0.93731683962469570",NA,NA,"4","ReMap--ChIP-seq(rank=106); ARCHS4--Coexpression(rank=242); Enrichr--Queries(rank=277); GTEx--Coexpression(rank=315)","550","0.14860000000000001","ARCHS4 Coexpression,0.1486"
"NFIC","-0.91476784208545803","-0.91476784208545803","0.91476784208545803","Repressed","165","viper","165","0.91476784208545803",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=437); Enrichr--Queries(rank=888); GTEx--Coexpression(rank=1323)","905","0.26840000000000003","ARCHS4 Coexpression,0.2684"
"VDR","0.90691333074499203","0.90691333074499203","0.90691333074499203","Activated","166","viper","166","0.90691333074499203",NA,NA,"5","Literature--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=120); Enrichr--Queries(rank=219); GTEx--Coexpression(rank=305)","286","0.07371000000000000","ARCHS4 Coexpression,0.07371"
"AR","0.90560575948748612","0.90560575948748612","0.90560575948748612","Activated","167","viper","167","0.90560575948748612",NA,NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=188); Enrichr--Queries(rank=472); ARCHS4--Coexpression(rank=923); GTEx--Coexpression(rank=1314)","139","0.03659000000000000","Literature ChIP-seq,0.03659"
"NFE2","0.90097979330113243","0.90097979330113243","0.90097979330113243","Activated","168","viper","168","0.90097979330113243",NA,NA,"5","ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=88); Enrichr--Queries(rank=326); ARCHS4--Coexpression(rank=634); GTEx--Coexpression(rank=1299)","803","0.23219999999999999","Enrichr Queries,0.2322"
"IRF4","0.88183369329986849","0.88183369329986849","0.88183369329986849","Activated","169","viper","169","0.88183369329986849",NA,NA,"5","GTEx--Coexpression(rank=39); ENCODE--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=181); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=689)","92","0.02427000000000000","GTEx Coexpression,0.02427"
"SOX6","0.86398757598086229","0.86398757598086229","0.86398757598086229","Activated","170","viper","170","0.86398757598086229",NA,NA,"4","ReMap--ChIP-seq(rank=187); ARCHS4--Coexpression(rank=815); Enrichr--Queries(rank=942); GTEx--Coexpression(rank=974)","1340","0.50060000000000004","ARCHS4 Coexpression,0.5006"
"ZNF740","-0.86376997745338180","-0.86376997745338180","0.86376997745338180","Repressed","171","viper","171","0.86376997745338180",NA,NA,"4","ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=990); ARCHS4--Coexpression(rank=1357); GTEx--Coexpression(rank=1440)","1282","0.45789999999999997","ReMap ChIP-seq,0.4579"
"ZKSCAN1","0.85660402769954580","0.85660402769954580","0.85660402769954580","Activated","172","viper","172","0.85660402769954580",NA,NA,"5","ReMap--ChIP-seq(rank=61); ENCODE--ChIP-seq(rank=72); GTEx--Coexpression(rank=605); ARCHS4--Coexpression(rank=635); Enrichr--Queries(rank=1069)","722","0.20540000000000000","ReMap ChIP-seq,0.2054"
"NR4A1","0.84617951731099939","0.84617951731099939","0.84617951731099939","Activated","173","viper","173","0.84617951731099939",NA,NA,"4","ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=285); GTEx--Coexpression(rank=447)","241","0.06265000000000000","ARCHS4 Coexpression,0.06265"
"IKZF1","-0.84196587480292795","-0.84196587480292795","0.84196587480292795","Repressed","174","viper","174","0.84196587480292795",NA,NA,"6","ENCODE--ChIP-seq(rank=75); Literature--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=251); GTEx--Coexpression(rank=685); Enrichr--Queries(rank=1031)","569","0.15420000000000000","ARCHS4 Coexpression,0.1542"
"CEBPG","-0.83234309689078045","-0.83234309689078045","0.83234309689078045","Repressed","175","viper","175","0.83234309689078045",NA,NA,"4","ARCHS4--Coexpression(rank=83); Enrichr--Queries(rank=137); ReMap--ChIP-seq(rank=262); GTEx--Coexpression(rank=1428)","200","0.05098000000000000","ARCHS4 Coexpression,0.05098"
"USF1","-0.82871912011096516","-0.82871912011096516","0.82871912011096516","Repressed","176","viper","176","0.82871912011096516",NA,NA,"5","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=59); GTEx--Coexpression(rank=302); ARCHS4--Coexpression(rank=457); Enrichr--Queries(rank=658)","676","0.18790000000000001","GTEx Coexpression,0.1879"
"ARID2","-0.80414794523839395","-0.80414794523839395","0.80414794523839395","Repressed","177","viper","177","0.80414794523839395",NA,NA,"4","ReMap--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=716); GTEx--Coexpression(rank=759); Enrichr--Queries(rank=1307)","1138","0.37709999999999999","ReMap ChIP-seq,0.3771"
"IRF2","-0.80268119314952902","-0.80268119314952902","0.80268119314952902","Repressed","178","viper","178","0.80268119314952902",NA,NA,"4","ReMap--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=222); Enrichr--Queries(rank=321); GTEx--Coexpression(rank=903)","505","0.13639999999999999","ARCHS4 Coexpression,0.1364"
"BACH2","-0.79468078762395844","-0.79468078762395844","0.79468078762395844","Repressed","179","viper","179","0.79468078762395844",NA,NA,"4","ReMap--ChIP-seq(rank=252); ARCHS4--Coexpression(rank=747); Enrichr--Queries(rank=751); GTEx--Coexpression(rank=794)","1284","0.45879999999999999","ARCHS4 Coexpression,0.4588"
"EGR1","0.79141058799386765","0.79141058799386765","0.79141058799386765","Activated","180","viper","180","0.79141058799386765",NA,NA,"6","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=45); Enrichr--Queries(rank=134); GTEx--Coexpression(rank=279); ARCHS4--Coexpression(rank=1148)","215","0.05488000000000000","Literature ChIP-seq,0.05488"
"RBPJ","0.78372194176852783","0.78372194176852783","0.78372194176852783","Activated","181","viper","181","0.78372194176852783",NA,NA,"5","Literature--ChIP-seq(rank=156); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=366); ARCHS4--Coexpression(rank=1095); GTEx--Coexpression(rank=1178)","877","0.26069999999999999","Enrichr Queries,0.2607"
"RELB","0.77445382310210542","0.77445382310210542","0.77445382310210542","Activated","182","viper","182","0.77445382310210542",NA,NA,"4","Enrichr--Queries(rank=121); ARCHS4--Coexpression(rank=146); GTEx--Coexpression(rank=198); ReMap--ChIP-seq(rank=213)","330","0.08618000000000001","Enrichr Queries,0.08618"
"CREM","-0.75155633918729103","-0.75155633918729103","0.75155633918729103","Repressed","183","viper","183","0.75155633918729103",NA,NA,"5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=80); Enrichr--Queries(rank=381); ARCHS4--Coexpression(rank=1313); GTEx--Coexpression(rank=1550)","908","0.26939999999999997","ReMap ChIP-seq,0.2694"
"HHEX","-0.74495871253510315","-0.74495871253510315","0.74495871253510315","Repressed","184","viper","184","0.74495871253510315",NA,NA,"4","GTEx--Coexpression(rank=155); ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=303); Enrichr--Queries(rank=364)","368","0.09644999999999999","GTEx Coexpression,0.09645"
"XBP1","-0.74285193437153374","-0.74285193437153374","0.74285193437153374","Repressed","185","viper","185","0.74285193437153374",NA,NA,"4","ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=346); ARCHS4--Coexpression(rank=526); GTEx--Coexpression(rank=940)","844","0.24640000000000001","Enrichr Queries,0.2464"
"PRDM1","0.73785708440858611","0.73785708440858611","0.73785708440858611","Activated","186","viper","186","0.73785708440858611",NA,NA,"5","ENCODE--ChIP-seq(rank=15); GTEx--Coexpression(rank=117); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=261); ARCHS4--Coexpression(rank=677)","282","0.07281000000000000","GTEx Coexpression,0.07281"
"PPARA","0.73694280179689331","0.73694280179689331","0.73694280179689331","Activated","187","viper","187","0.73694280179689331",NA,NA,"3","Enrichr--Queries(rank=451); ARCHS4--Coexpression(rank=851); GTEx--Coexpression(rank=1038)","1033","0.32119999999999999","Enrichr Queries,0.3212"
"SP1","0.73281740031149789","0.73281740031149789","0.73281740031149789","Activated","188","viper","188","0.73281740031149789",NA,NA,"5","ENCODE--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=57); Enrichr--Queries(rank=900); GTEx--Coexpression(rank=1204); ARCHS4--Coexpression(rank=1544)","418","0.11020000000000001","ENCODE ChIP-seq,0.1102"
"SPIB","-0.73236866334374606","-0.73236866334374606","0.73236866334374606","Repressed","189","viper","189","0.73236866334374606",NA,NA,"4","GTEx--Coexpression(rank=81); ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=566)","197","0.05040000000000000","GTEx Coexpression,0.0504"
"FOXO1","0.71113704802144295","0.71113704802144295","0.71113704802144295","Activated","190","viper","190","0.71113704802144295",NA,NA,"5","Literature--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=226); Enrichr--Queries(rank=360); ARCHS4--Coexpression(rank=396); GTEx--Coexpression(rank=1147)","834","0.24320000000000000","ARCHS4 Coexpression,0.2432"
"PBX2","0.70360615588599795","0.70360615588599795","0.70360615588599795","Activated","191","viper","191","0.70360615588599795",NA,NA,"4","ReMap--ChIP-seq(rank=66); GTEx--Coexpression(rank=262); Enrichr--Queries(rank=1054); ARCHS4--Coexpression(rank=1364)","595","0.16300000000000001","GTEx Coexpression,0.163"
"CEBPA","-0.69484685644217214","-0.69484685644217214","0.69484685644217214","Repressed","192","viper","192","0.69484685644217214",NA,NA,"5","Literature--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=144); Enrichr--Queries(rank=196); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=1207)","338","0.08845000000000000","ARCHS4 Coexpression,0.08845"
"PPARG","-0.69188280243144551","-0.69188280243144551","0.69188280243144551","Repressed","193","viper","193","0.69188280243144551",NA,NA,"5","Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=195); ARCHS4--Coexpression(rank=298); GTEx--Coexpression(rank=1115)","514","0.13890000000000000","Enrichr Queries,0.1389"
"CREB3","-0.65125742763786321","-0.65125742763786321","0.65125742763786321","Repressed","194","viper","194","0.65125742763786321",NA,NA,"4","ReMap--ChIP-seq(rank=261); GTEx--Coexpression(rank=441); Enrichr--Queries(rank=637); ARCHS4--Coexpression(rank=1230)","925","0.27439999999999998","GTEx Coexpression,0.2744"
"MBD1","0.63634039674194731","0.63634039674194731","0.63634039674194731","Activated","195","viper","195","0.63634039674194731",NA,NA,"3","GTEx--Coexpression(rank=783); Enrichr--Queries(rank=830); ARCHS4--Coexpression(rank=1253)","1324","0.48720000000000002","GTEx Coexpression,0.4872"
"HOXB13","0.63288447854207830","0.63288447854207830","0.63288447854207830","Activated","196","viper","196","0.63288447854207830",NA,NA,"4","ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=855); GTEx--Coexpression(rank=1169); ARCHS4--Coexpression(rank=1322)","1456","0.60899999999999999","Enrichr Queries,0.609"
"BHLHE40","-0.62953925573723890","-0.62953925573723890","0.62953925573723890","Repressed","197","viper","197","0.62953925573723890",NA,NA,"4","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=39); GTEx--Coexpression(rank=104); ARCHS4--Coexpression(rank=409)","46","0.01347000000000000","ReMap ChIP-seq,0.01347"
"ATF7","0.58085932335547941","0.58085932335547941","0.58085932335547941","Activated","198","viper","198","0.58085932335547941",NA,NA,"4","ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=637); ARCHS4--Coexpression(rank=978); Enrichr--Queries(rank=1276)","1174","0.39639999999999997","GTEx Coexpression,0.3964"
"SOX13","0.58042783788496743","0.58042783788496743","0.58042783788496743","Activated","199","viper","199","0.58042783788496743",NA,NA,"4","ReMap--ChIP-seq(rank=184); ARCHS4--Coexpression(rank=381); GTEx--Coexpression(rank=504); Enrichr--Queries(rank=827)","808","0.23400000000000001","ARCHS4 Coexpression,0.234"
"BCL11A","-0.56817149271916134","-0.56817149271916134","0.56817149271916134","Repressed","200","viper","200","0.56817149271916134",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=133); Enrichr--Queries(rank=788); GTEx--Coexpression(rank=1004); ARCHS4--Coexpression(rank=1022)","1261","0.44779999999999998","ReMap ChIP-seq,0.4478"
"TWIST1","0.55019287872612299","0.55019287872612299","0.55019287872612299","Activated","201","viper","201","0.55019287872612299",NA,NA,"4","ReMap--ChIP-seq(rank=157); ARCHS4--Coexpression(rank=183); Enrichr--Queries(rank=703); GTEx--Coexpression(rank=1076)","425","0.11240000000000000","ARCHS4 Coexpression,0.1124"
"FOXP1","-0.54441386202224007","-0.54441386202224007","0.54441386202224007","Repressed","202","viper","202","0.54441386202224007",NA,NA,"5","Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=140); GTEx--Coexpression(rank=432); ARCHS4--Coexpression(rank=730); Enrichr--Queries(rank=988)","348","0.09146000000000000","Literature ChIP-seq,0.09146"
"NCOA3","-0.53593710160503683","-0.53593710160503683","0.53593710160503683","Repressed","203","viper","203","0.53593710160503683",NA,NA,"4","GTEx--Coexpression(rank=85); ReMap--ChIP-seq(rank=286); Enrichr--Queries(rank=402); ARCHS4--Coexpression(rank=1319)","207","0.05289000000000000","GTEx Coexpression,0.05289"
"WT1","0.53071922651162140","0.53071922651162140","0.53071922651162140","Activated","204","viper","204","0.53071922651162140",NA,NA,"4","Literature--ChIP-seq(rank=40); Enrichr--Queries(rank=452); ARCHS4--Coexpression(rank=941); GTEx--Coexpression(rank=993)","837","0.24390000000000001","Literature ChIP-seq,0.2439"
"TP73","0.51082748159044278","0.51082748159044278","0.51082748159044278","Activated","205","viper","205","0.51082748159044278",NA,NA,"3","ARCHS4--Coexpression(rank=66); Enrichr--Queries(rank=150); GTEx--Coexpression(rank=380)","155","0.04054000000000000","ARCHS4 Coexpression,0.04054"
"HMBOX1","-0.51058404303462723","-0.51058404303462723","0.51058404303462723","Repressed","206","viper","206","0.51058404303462723",NA,NA,"4","ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=289); ARCHS4--Coexpression(rank=623); Enrichr--Queries(rank=1084)","648","0.17979999999999999","GTEx Coexpression,0.1798"
"MEIS2","-0.49133542527866958","-0.49133542527866958","0.49133542527866958","Repressed","207","viper","207","0.49133542527866958",NA,NA,"4","ReMap--ChIP-seq(rank=183); Enrichr--Queries(rank=754); ARCHS4--Coexpression(rank=1068); GTEx--Coexpression(rank=1363)","1377","0.53700000000000003","Enrichr Queries,0.537"
"RXRA","0.47664380507918214","0.47664380507918214","0.47664380507918214","Activated","208","viper","208","0.47664380507918214",NA,NA,"6","Literature--ChIP-seq(rank=54); ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=519); Enrichr--Queries(rank=686); GTEx--Coexpression(rank=1409)","1029","0.31879999999999992","ARCHS4 Coexpression,0.3188"
"FOXA1","0.46921361836065650","0.46921361836065650","0.46921361836065650","Activated","209","viper","209","0.46921361836065650",NA,NA,"6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=248); GTEx--Coexpression(rank=268); Enrichr--Queries(rank=311); ARCHS4--Coexpression(rank=466)","608","0.16680000000000000","GTEx Coexpression,0.1668"
"MEF2A","0.46628138788024898","0.46628138788024898","0.46628138788024898","Activated","210","viper","210","0.46628138788024898",NA,NA,"6","Literature--ChIP-seq(rank=84); ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=260); ARCHS4--Coexpression(rank=481); Enrichr--Queries(rank=1166); GTEx--Coexpression(rank=1333)","968","0.29549999999999998","ARCHS4 Coexpression,0.2955"
"LEF1","-0.46598355466203928","-0.46598355466203928","0.46598355466203928","Repressed","211","viper","211","0.46598355466203928",NA,NA,"4","ReMap--ChIP-seq(rank=279); Enrichr--Queries(rank=378); ARCHS4--Coexpression(rank=400); GTEx--Coexpression(rank=873)","842","0.24570000000000000","ARCHS4 Coexpression,0.2457"
"NRF1","-0.44361093992813938","-0.44361093992813938","0.44361093992813938","Repressed","212","viper","212","0.44361093992813938",NA,NA,"5","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=69); Enrichr--Queries(rank=334); ARCHS4--Coexpression(rank=374); GTEx--Coexpression(rank=1073)","154","0.04040000000000000","ReMap ChIP-seq,0.0404"
"SOX11","0.43875159189535617","0.43875159189535617","0.43875159189535617","Activated","213","viper","213","0.43875159189535617",NA,NA,"5","Literature--ChIP-seq(rank=128); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=478); ARCHS4--Coexpression(rank=845); GTEx--Coexpression(rank=1357)","1075","0.34050000000000002","Enrichr Queries,0.3405"
"MXI1","0.43314650292107537","0.43314650292107537","0.43314650292107537","Activated","214","viper","214","0.43314650292107537",NA,NA,"5","ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=240); ARCHS4--Coexpression(rank=778); GTEx--Coexpression(rank=910)","263","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"MYB","-0.43261557742544554","-0.43261557742544554","0.43261557742544554","Repressed","215","viper","215","0.43261557742544554",NA,NA,"6","Enrichr--Queries(rank=23); Literature--ChIP-seq(rank=39); GTEx--Coexpression(rank=75); ENCODE--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=122); ReMap--ChIP-seq(rank=131)","59","0.01638000000000000","Enrichr Queries,0.01638"
"KLF13","0.42976534416022999","0.42976534416022999","0.42976534416022999","Activated","216","viper","216","0.42976534416022999",NA,NA,"4","ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=242); ARCHS4--Coexpression(rank=418); Enrichr--Queries(rank=852)","558","0.15060000000000001","GTEx Coexpression,0.1506"
"HSF1","0.41682734925557335","0.41682734925557335","0.41682734925557335","Activated","217","viper","217","0.41682734925557335",NA,NA,"5","ReMap--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=71); Literature--ChIP-seq(rank=89); ARCHS4--Coexpression(rank=1224); GTEx--Coexpression(rank=1505)","247","0.06397000000000000","ReMap ChIP-seq,0.06397"
"STAT5A","0.41400774542534857","0.41400774542534857","0.41400774542534857","Activated","218","viper","218","0.41400774542534857",NA,NA,"6","Literature--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=161); ReMap--ChIP-seq(rank=218); Enrichr--Queries(rank=234); GTEx--Coexpression(rank=1014)","376","0.09889000000000001","ARCHS4 Coexpression,0.09889"
"ELK1","-0.40642711805127746","-0.40642711805127746","0.40642711805127746","Repressed","219","viper","219","0.40642711805127746",NA,NA,"5","ENCODE--ChIP-seq(rank=81); Literature--ChIP-seq(rank=131); ReMap--ChIP-seq(rank=191); GTEx--Coexpression(rank=595); ARCHS4--Coexpression(rank=1475)","1126","0.37030000000000002","GTEx Coexpression,0.3703"
"ETV4","0.39798770172332104","0.39798770172332104","0.39798770172332104","Activated","220","viper","220","0.39798770172332104",NA,NA,"4","GTEx--Coexpression(rank=32); Enrichr--Queries(rank=45); ARCHS4--Coexpression(rank=63); ReMap--ChIP-seq(rank=87)","72","0.01991000000000000","GTEx Coexpression,0.01991"
"BACH1","0.39690210408829207","0.39690210408829207","0.39690210408829207","Activated","221","viper","221","0.39690210408829207",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=525); GTEx--Coexpression(rank=807); ARCHS4--Coexpression(rank=1110)","307","0.07926999999999999","Literature ChIP-seq,0.07927"
"TFAP2A","-0.39109965943012870","-0.39109965943012870","0.39109965943012870","Repressed","222","viper","222","0.39109965943012870",NA,NA,"6","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=120); Literature--ChIP-seq(rank=126); Enrichr--Queries(rank=243); ARCHS4--Coexpression(rank=521); GTEx--Coexpression(rank=1200)","628","0.17310000000000000","Enrichr Queries,0.1731"
"MAZ","0.38907459097496749","0.38907459097496749","0.38907459097496749","Activated","223","viper","223","0.38907459097496749",NA,NA,"5","ReMap--ChIP-seq(rank=16); ENCODE--ChIP-seq(rank=22); Enrichr--Queries(rank=160); ARCHS4--Coexpression(rank=601); GTEx--Coexpression(rank=1096)","209","0.05387000000000000","ReMap ChIP-seq,0.05387"
"FOXK2","-0.32138234604342369","-0.32138234604342369","0.32138234604342369","Repressed","224","viper","224","0.32138234604342369",NA,NA,"4","ReMap--ChIP-seq(rank=158); Enrichr--Queries(rank=599); ARCHS4--Coexpression(rank=1048); GTEx--Coexpression(rank=1578)","1219","0.42659999999999998","Enrichr Queries,0.4266"
"ZNF24","-0.31356656991076809","-0.31356656991076809","0.31356656991076809","Repressed","225","viper","225","0.31356656991076809",NA,NA,"4","ReMap--ChIP-seq(rank=212); ARCHS4--Coexpression(rank=942); GTEx--Coexpression(rank=1027); Enrichr--Queries(rank=1102)","1426","0.57860000000000000","ARCHS4 Coexpression,0.5786"
"CTCFL","-0.29732793380588990","-0.29732793380588990","0.29732793380588990","Repressed","226","viper","226","0.29732793380588990",NA,NA,"5","ReMap--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=88); Enrichr--Queries(rank=333); ARCHS4--Coexpression(rank=613); GTEx--Coexpression(rank=1446)","183","0.04714000000000000","ReMap ChIP-seq,0.04714"
"SNAI2","-0.29589309627376781","-0.29589309627376781","0.29589309627376781","Repressed","227","viper","227","0.29589309627376781",NA,NA,"4","ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=163); Enrichr--Queries(rank=309); GTEx--Coexpression(rank=863)","90","0.02357000000000000","ReMap ChIP-seq,0.02357"
"ARNT","0.29496737407783152","0.29496737407783152","0.29496737407783152","Activated","228","viper","228","0.29496737407783152",NA,NA,"5","Literature--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=592); GTEx--Coexpression(rank=888); Enrichr--Queries(rank=1063)","1115","0.36359999999999998","ARCHS4 Coexpression,0.3636"
"ZNF384","-0.28604510494148333","-0.28604510494148333","0.28604510494148333","Repressed","229","viper","229","0.28604510494148333",NA,NA,"5","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=1071); ARCHS4--Coexpression(rank=1516); GTEx--Coexpression(rank=1544)","1118","0.36440000000000000","ENCODE ChIP-seq,0.3644"
"RUNX3","-0.27353065531734172","-0.27353065531734172","0.27353065531734172","Repressed","230","viper","230","0.27353065531734172",NA,NA,"5","ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=433); Enrichr--Queries(rank=600); GTEx--Coexpression(rank=651)","895","0.26600000000000001","ARCHS4 Coexpression,0.266"
"TGIF2","0.26746099796013023","0.26746099796013023","0.26746099796013023","Activated","231","viper","231","0.26746099796013023",NA,NA,"4","ARCHS4--Coexpression(rank=11); Enrichr--Queries(rank=40); ReMap--ChIP-seq(rank=73); GTEx--Coexpression(rank=97)","20","0.00675700000000000","ARCHS4 Coexpression,0.006757"
"PKNOX1","-0.25678193181230935","-0.25678193181230935","0.25678193181230935","Repressed","232","viper","232","0.25678193181230935",NA,NA,"4","ReMap--ChIP-seq(rank=169); GTEx--Coexpression(rank=700); Enrichr--Queries(rank=735); ARCHS4--Coexpression(rank=1170)","1236","0.43559999999999999","GTEx Coexpression,0.4356"
"ZNF274","-0.25608944782550097","-0.25608944782550097","0.25608944782550097","Repressed","233","viper","233","0.25608944782550097",NA,NA,"6","ENCODE--ChIP-seq(rank=111); Literature--ChIP-seq(rank=161); Enrichr--Queries(rank=236); ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=988); GTEx--Coexpression(rank=1181)","613","0.16810000000000000","Enrichr Queries,0.1681"
"ETS1","0.24599922174181529","0.24599922174181529","0.24599922174181529","Activated","234","viper","234","0.24599922174181529",NA,NA,"6","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=151); Literature--ChIP-seq(rank=163); GTEx--Coexpression(rank=216); Enrichr--Queries(rank=250); ARCHS4--Coexpression(rank=513)","498","0.13439999999999999","GTEx Coexpression,0.1344"
"KMT2A","-0.24085115393473955","-0.24085115393473955","0.24085115393473955","Repressed","235","viper","235","0.24085115393473955",NA,NA,"3","ReMap--ChIP-seq(rank=274); ARCHS4--Coexpression(rank=1085); GTEx--Coexpression(rank=1412)","1504","0.66649999999999998","ARCHS4 Coexpression,0.6665"
"TCF7","-0.22461738138566203","-0.22461738138566203","0.22461738138566203","Repressed","236","viper","236","0.22461738138566203",NA,NA,"5","Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=304); Enrichr--Queries(rank=323); GTEx--Coexpression(rank=478)","673","0.18670000000000000","ARCHS4 Coexpression,0.1867"
"BHLHE22","0.21798408671884639","0.21798408671884639","0.21798408671884639","Activated","237","viper","237","0.21798408671884639",NA,NA,"3","ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=681); ARCHS4--Coexpression(rank=1111)","1080","0.34339999999999998","ReMap ChIP-seq,0.3434"
"FOXJ2","-0.21044726159460325","-0.21044726159460325","0.21044726159460325","Repressed","238","viper","238","0.21044726159460325",NA,NA,"4","ReMap--ChIP-seq(rank=214); ARCHS4--Coexpression(rank=627); GTEx--Coexpression(rank=1069); Enrichr--Queries(rank=1072)","1151","0.38510000000000000","ARCHS4 Coexpression,0.3851"
