"Cancer","Target_Gene","Target_Feature_ID","Sample_ID","Patient_ID","Expression_Assay","Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Median_Group_For_GSEA_Heatmap"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-2677-01A","TCGA-A6-2677","tpm",TRUE,"3.581323802081421","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3520-01A","TCGA-AA-3520","tpm",TRUE,"3.599438662270445","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A01K-01A","TCGA-AA-A01K","tpm",TRUE,"2.915860985816796","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A28F-01A","TCGA-DM-A28F","tpm",TRUE,"4.418720773326149","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-5662-01A","TCGA-A6-5662","tpm",TRUE,"3.967122632172086","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-6140-01A","TCGA-A6-6140","tpm",TRUE,"5.222144218465343","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3560-01A","TCGA-AA-3560","tpm",TRUE,"3.042469166619298","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3693-01A","TCGA-AA-3693","tpm",TRUE,"4.059297716478878","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A01V-01A","TCGA-AA-A01V","tpm",TRUE,"3.165733191300713","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A01I-01A","TCGA-AA-A01I","tpm",TRUE,"3.820380945194841","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A1D0-01A","TCGA-DM-A1D0","tpm",TRUE,"2.996434151720502","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3986-01A","TCGA-AA-3986","tpm",TRUE,"3.823263622648797","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3553-01A","TCGA-AA-3553","tpm",TRUE,"3.642237900239512","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-A5ZU-01A","TCGA-A6-A5ZU","tpm",TRUE,"4.096368761899830","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-6782-01A","TCGA-A6-6782","tpm",TRUE,"4.345315973267090","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3870-01A","TCGA-AA-3870","tpm",TRUE,"4.618681385342772","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A01T-01A","TCGA-AA-A01T","tpm",TRUE,"3.626619875312010","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A00Z-01A","TCGA-AA-A00Z","tpm",TRUE,"3.925889049421128","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A02R-01A","TCGA-AA-A02R","tpm",TRUE,"3.853930049653646","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3675-01A","TCGA-AA-3675","tpm",TRUE,"4.469381437093950","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3860-01A","TCGA-AA-3860","tpm",TRUE,"5.218795118447477","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-5539-01A","TCGA-D5-5539","tpm",TRUE,"6.424818213554408","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3815-01A","TCGA-AA-3815","tpm",TRUE,"4.162714958497992","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-4748-01A","TCGA-CM-4748","tpm",TRUE,"4.822658087919792","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-6677-01A","TCGA-CM-6677","tpm",TRUE,"3.631126761655606","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AY-6197-01A","TCGA-AY-6197","tpm",TRUE,"6.472524484108879","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3841-01A","TCGA-AA-3841","tpm",TRUE,"3.060497898178662","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3667-01A","TCGA-AA-3667","tpm",TRUE,"2.967447282942455","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-4681-01A","TCGA-AZ-4681","tpm",TRUE,"2.381999580672275","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3715-01A","TCGA-AA-3715","tpm",TRUE,"4.952257738104398","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-5661-01A","TCGA-A6-5661","tpm",TRUE,"6.411950619221429","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-CK-4952-01A","TCGA-CK-4952","tpm",TRUE,"4.914698386596475","4.167970022842355","High"
