"GeneID","Symbol","Ensembl","Entrez","Target_Gene","Target_Feature_ID","Correlation_Method","Correlation","P.Value","adj.P.Val","Samples_Used"
"ENSG00000183520.11","UTP11","ENSG00000183520.11","51118","ATF3","ENSG00000162772.16","spearman","0.37495297592631482430647","0.00000000000000000000000000011370489323981011355713479607923230351249653053249366852507278315386071520067326479086489143810467794537544250488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000008953927482877318998098201162677776030958548637077497233633859596613923563859782639440254570217803120613098144531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000136738.14","STAM","ENSG00000136738.14","8027","ATF3","ENSG00000162772.16","spearman","0.37491761435101672583770","0.00000000000000000000000000011515420555458751776585250379020953383445236294499560015968268023662314817820440104867429909063503146171569824218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009064518521513083506672781067679544977036892775382738447400084141695184632853132811192153894808143377304077148437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000100243.20","CYB5R3","ENSG00000100243.20","1727","ATF3","ENSG00000162772.16","spearman","0.37488790798720061925309","0.00000000000000000000000000011638586368522690420010945819611953237511671217649386897249661747808402201568786504815022908587707206606864929199218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009157897035294277160561435603238128555356741544988302705343456107689537677891966627186093319323845207691192626953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000105373.18","GLTSCR2","ENSG00000105373.18","29997","ATF3","ENSG00000162772.16","spearman","0.37479566422637328182432","0.00000000000000000000000000012029413905373370321878036132507633212816150768802362967616982125729261190235502843037806997017469257116317749023437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009459460400726854284958482045708500242450190599739770889337234186720250613510108106396501170820556581020355224609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000066651.18","TRMT11","ENSG00000066651.18","60487","ATF3","ENSG00000162772.16","spearman","0.37479524613680842426433","0.00000000000000000000000000012031214566674154828848023168901634168937395771080556916638244797738135975729775739573312876018462702631950378417968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009459460400726854284958482045708500242450190599739770889337234186720250613510108106396501170820556581020355224609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000184203.7","PPP1R2","ENSG00000184203.7","5504","ATF3","ENSG00000162772.16","spearman","0.37478609217581032586608","0.00000000000000000000000000012070706536896882120810465571436512221808024166350071840037431177090862689923675410419434683717554435133934020996093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009486813571558027770417835508117425266012598713047462873633491289011816305701274565365110902348533272743225097656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000115896.15","PLCL1","ENSG00000115896.15","5334","ATF3","ENSG00000162772.16","spearman","0.37476582583427353601024","0.00000000000000000000000000012158596750398435595615633411436316588420925494265808238496231557522897769344980001271494529646588489413261413574218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009548450347967630784620545103089002449442196520640298539927110934778960431995598057142160541843622922897338867187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000102935.11","ZNF423","ENSG00000102935.11","23090","ATF3","ENSG00000162772.16","spearman","0.37473719770144037211068","0.00000000000000000000000000012283830847502713800819991116507443784927878717665297533822643328785041455953469524686738623131532222032546997070312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009639295501686784786997943472149856976042970578158644447346714440024581451067764437112828090903349220752716064453125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000108443.13","RPS6KB1","ENSG00000108443.13","6198","ATF3","ENSG00000162772.16","spearman","0.37470177011200050953832","0.00000000000000000000000000012440578888937590243634736509437080858206723748143488252303090593881403297729648649294631468364968895912170410156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009758502297212903784434753912292759944051050941610302473448077305983862318392030310576501506147906184196472167968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000163803.12","PLB1","ENSG00000163803.12","151056","ATF3","ENSG00000162772.16","spearman","0.37469290221228351844829","0.00000000000000000000000000012480123514724909492410715384850507801177662216502647024598915524573007406828120680053473279258469119668006896972656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009785716747360088475072899181545862744907474972171696376376800853204719187611315689423463481944054365158081054687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
