"TF","MVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MAFK","-2.343661888528891790","-2.343661888528891790","2.343661888528891790","Repressed","64","viper","64","2.343661888528891790",NA,NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=249); GTEx--Coexpression(rank=358); Enrichr--Queries(rank=1071); ARCHS4--Coexpression(rank=1218)","792","0.22280000000000000","GTEx Coexpression,0.2228"
"SMAD3","2.335388600694172645","2.335388600694172645","2.335388600694172645","Activated","65","viper","65","2.335388600694172645",NA,NA,"5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=659); Enrichr--Queries(rank=696); GTEx--Coexpression(rank=1431)","867","0.25609999999999999","Literature ChIP-seq,0.2561"
"GATA3","-2.316614101210209942","-2.316614101210209942","2.316614101210209942","Repressed","66","viper","66","2.316614101210209942",NA,NA,"6","ENCODE--ChIP-seq(rank=46); Literature--ChIP-seq(rank=92); Enrichr--Queries(rank=215); ReMap--ChIP-seq(rank=261); GTEx--Coexpression(rank=757); ARCHS4--Coexpression(rank=1298)","594","0.15310000000000001","Enrichr Queries,0.1531"
"NR2C2","-2.296296532576521887","-2.296296532576521887","2.296296532576521887","Repressed","67","viper","67","2.296296532576521887",NA,NA,"5","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=1349); ARCHS4--Coexpression(rank=1411); GTEx--Coexpression(rank=1468)","1435","0.60170000000000001","ENCODE ChIP-seq,0.6017"
"SRF","2.290574483823110352","2.290574483823110352","2.290574483823110352","Activated","68","viper","68","2.290574483823110352",NA,NA,"6","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=67); GTEx--Coexpression(rank=126); Literature--ChIP-seq(rank=147); Enrichr--Queries(rank=1330); ARCHS4--Coexpression(rank=1450)","323","0.07840999999999999","GTEx Coexpression,0.07841"
"TCF12","-2.276152965045817211","-2.276152965045817211","2.276152965045817211","Repressed","69","viper","69","2.276152965045817211",NA,NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=25); GTEx--Coexpression(rank=480); ARCHS4--Coexpression(rank=505); Enrichr--Queries(rank=1097)","347","0.08418000000000000","ReMap ChIP-seq,0.08418"
"MYC","-2.184590947511545700","-2.184590947511545700","2.184590947511545700","Repressed","70","viper","70","2.184590947511545700",NA,NA,"6","ENCODE--ChIP-seq(rank=67); Literature--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=107); GTEx--Coexpression(rank=1005); Enrichr--Queries(rank=1155); ARCHS4--Coexpression(rank=1357)","1079","0.36030000000000001","ReMap ChIP-seq,0.3603"
"KMT2A","2.152833526082191806","2.152833526082191806","2.152833526082191806","Activated","71","viper","71","2.152833526082191806",NA,NA,"3","ReMap--ChIP-seq(rank=290); GTEx--Coexpression(rank=591); ARCHS4--Coexpression(rank=1462)","1092","0.36780000000000002","GTEx Coexpression,0.3678"
"PRDM1","-2.148213712732792491","-2.148213712732792491","2.148213712732792491","Repressed","72","viper","72","2.148213712732792491",NA,NA,"5","GTEx--Coexpression(rank=39); ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=269); ARCHS4--Coexpression(rank=409); Enrichr--Queries(rank=523)","103","0.02427000000000000","GTEx Coexpression,0.02427"
"REST","-2.117324058544526988","-2.117324058544526988","2.117324058544526988","Repressed","73","viper","73","2.117324058544526988",NA,NA,"6","ENCODE--ChIP-seq(rank=40); Literature--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=774); Enrichr--Queries(rank=862); ARCHS4--Coexpression(rank=1107)","1036","0.33900000000000002","ENCODE ChIP-seq,0.339"
