Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.0308	4	0.3077	0	0	1	0	keep	itself		True	RNF41,USP8,AKT3,ERBB3
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	0.0309	4	0.2667	4	3	0.033	0.0602	exclude	REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI	False	SRC,TLN1,PTK2,FN1
REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION	REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION	0.031	4	0.4444	8	4	0.5556	0.5726	keep	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	False	AGO1,AGO2,AGO4,TNRC6B
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.031	11	0.193	0	0	1	0	keep	itself		True	CXCR4,CXCR6,CCR3,ACKR3,CXCL16,CCL2,CXCL1,CCR5,CCL22,ACKR4,CCR4
REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A	REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A	0.031	30	0.5882	32	23	0.0152	0.5711	exclude	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	False	PSMC5,PSMD6,SKP1,PLK3,CSNK1E,PSMC3,PSMB7,PSMD11,RBX1,PSMA2,PSMB5,PSMC4,PSMC6,PSMB6,CDC25A,ADRM1,PSMD12,SEM1,PSMB4,PSMA3
REACTOME_LANOSTEROL_BIOSYNTHESIS	REACTOME_LANOSTEROL_BIOSYNTHESIS	0.0311	9	0.6429	11	8	0.2747	0.2285	keep	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	False	IDI1,MVD,MVK,HMGCS1,ACAT2,GGPS1,LSS,HMGCR,FDFT1
REACTOME_TBC_RABGAPS	REACTOME_TBC_RABGAPS	0.0313	16	0.3636	0	0	1	0	keep	itself		True	RAB11A,TBC1D17,RAB4A,TBC1D24,GGA2,RAB5B,RAB5A,RAB33B,RABEP1,RAB6B,RAB6A,ULK1,RABGAP1,TBC1D16,TBC1D14,RAB8B
REACTOME_SARS_COV_1_HOST_INTERACTIONS	REACTOME_SARS_COV_1_HOST_INTERACTIONS	0.0313	22	0.2245	16	8	0.0077	0	keep	REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS	REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS	True	CAV1,BCL2L1,SFN,RPS26,SERPINE1,YWHAH,NFKB1,STING1,RIPK1,PCBP2,YWHAE,RPS10,SMAD4,UBE2I,RPS27L,TRAF6,NMI,IKBKE,NPIPB3,PSMC6
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	0.0314	21	0.2059	10	9	1.13e-06	0.0769	exclude	REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	False	RPL5,RPS3,RPS19,RPS23,RPS11,RPL3,RPS5,EIF2S3,RPL18A,EIF2AK4,EIF2S2,RPL13A,RPL4,CEBPG,DDIT3,ATF2,CEBPB,ATF4,ASNS,ATF3
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	0.0315	39	0.4937	36	24	0.0046	0.4845	exclude	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	False	CDC16,PSMC5,ANAPC2,UBE2C,CCNE1,PSMD6,CCNE2,MCM8,SKP1,ANAPC7,ANAPC4,PSMC3,PSMB7,ORC6,PSMD11,RBX1,PSMA2,PSMB5,PSMC4,ANAPC11
REACTOME_SIGNALING_BY_KIT_IN_DISEASE	REACTOME_SIGNALING_BY_KIT_IN_DISEASE	0.0316	11	0.55	11	9	0.0124	0.0077	keep	REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS	REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS	True	JAK2,SOS1,FYN,YES1,GRB2,PIK3CA,STAT5B,SRC,LYN,STAT3,KRAS
REACTOME_RHOB_GTPASE_CYCLE	REACTOME_RHOB_GTPASE_CYCLE	0.0325	35	0.5	39	24	0.0267	0.005	keep	REACTOME_CDC42_GTPASE_CYCLE	REACTOME_CDC42_GTPASE_CYCLE	True	STARD8,OPHN1,VAV2,MYO9B,DAAM1,ARHGAP39,ARHGEF12,ARHGDIG,SOWAHC,ARHGEF10L,DLC1,STARD13,SLK,PKN2,RACGAP1,ARHGAP21,ARHGEF5,DEPDC1B,JUP,ARHGEF11
