"TF","MVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NCOA2","0.670768404000999130","0.670768404000999130","0.670768404000999130","Activated","158","viper","158","0.670768404000999130",NA,NA,"4","ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=190); Enrichr--Queries(rank=396); GTEx--Coexpression(rank=571)","91","0.01843000000000000","ARCHS4 Coexpression,0.01843"
"MITF","0.670005877018680751","0.670005877018680751","0.670005877018680751","Activated","159","viper","159","0.670005877018680751",NA,NA,"5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=61); GTEx--Coexpression(rank=508); ARCHS4--Coexpression(rank=890); Enrichr--Queries(rank=1176)","802","0.20540000000000000","ReMap ChIP-seq,0.2054"
"GLI2","0.669644478946383126","0.669644478946383126","0.669644478946383126","Activated","160","viper","160","0.669644478946383126",NA,NA,"3","ARCHS4--Coexpression(rank=312); Enrichr--Queries(rank=1312); GTEx--Coexpression(rank=1372)","759","0.19159999999999999","ARCHS4 Coexpression,0.1916"
"FOXO3","-0.661058520564418162","-0.661058520564418162","0.661058520564418162","Repressed","161","viper","161","0.661058520564418162",NA,NA,"4","Literature--ChIP-seq(rank=91); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=484); GTEx--Coexpression(rank=635)","352","0.07906000000000001","Enrichr Queries,0.07906"
"IRF3","-0.632524700595184175","-0.632524700595184175","0.632524700595184175","Repressed","162","viper","162","0.632524700595184175",NA,NA,"5","ENCODE--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=263); Enrichr--Queries(rank=829); ARCHS4--Coexpression(rank=1177); GTEx--Coexpression(rank=1501)","1485","0.59050000000000002","Enrichr Queries,0.5905"
"CREM","-0.622454738408869557","-0.622454738408869557","0.622454738408869557","Repressed","163","viper","163","0.622454738408869557",NA,NA,"5","ReMap--ChIP-seq(rank=55); Literature--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=794); Enrichr--Queries(rank=908); GTEx--Coexpression(rank=1336)","739","0.18520000000000000","ReMap ChIP-seq,0.1852"
"ZBED1","0.600103495440266754","0.600103495440266754","0.600103495440266754","Activated","164","viper","164","0.600103495440266754",NA,NA,"4","ReMap--ChIP-seq(rank=236); ARCHS4--Coexpression(rank=1331); Enrichr--Queries(rank=1399); GTEx--Coexpression(rank=1494)","1605","0.79459999999999997","ReMap ChIP-seq,0.7946"
"BATF","-0.594096744692945045","-0.594096744692945045","0.594096744692945045","Repressed","165","viper","165","0.594096744692945045",NA,NA,"5","ReMap--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=108); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=430); GTEx--Coexpression(rank=563)","549","0.13109999999999999","Enrichr Queries,0.1311"
"SREBF1","-0.593207070071066322","-0.593207070071066322","0.593207070071066322","Repressed","166","viper","166","0.593207070071066322",NA,NA,"6","Literature--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=769); Enrichr--Queries(rank=824); GTEx--Coexpression(rank=1400)","668","0.16460000000000000","Literature ChIP-seq,0.1646"
"MAF","-0.593002957024384658","-0.593002957024384658","0.593002957024384658","Repressed","167","viper","167","0.593002957024384658",NA,NA,"4","ReMap--ChIP-seq(rank=132); GTEx--Coexpression(rank=333); Enrichr--Queries(rank=1241); ARCHS4--Coexpression(rank=1441)","808","0.20720000000000000","GTEx Coexpression,0.2072"
"FOXA2","0.583290626450572725","0.583290626450572725","0.583290626450572725","Activated","168","viper","168","0.583290626450572725",NA,NA,"6","ReMap--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=405); GTEx--Coexpression(rank=1226); Enrichr--Queries(rank=1262)","207","0.04377000000000000","ReMap ChIP-seq,0.04377"
"TEAD4","0.577750124852262181","0.577750124852262181","0.577750124852262181","Activated","169","viper","169","0.577750124852262181",NA,NA,"6","ReMap--ChIP-seq(rank=60); Literature--ChIP-seq(rank=66); ENCODE--ChIP-seq(rank=74); GTEx--Coexpression(rank=263); ARCHS4--Coexpression(rank=386); Enrichr--Queries(rank=1047)","662","0.16370000000000001","GTEx Coexpression,0.1637"
"STAT5B","0.568972203726858750","0.568972203726858750","0.568972203726858750","Activated","170","viper","170","0.568972203726858750",NA,NA,"4","ReMap--ChIP-seq(rank=125); Enrichr--Queries(rank=155); GTEx--Coexpression(rank=619); ARCHS4--Coexpression(rank=1258)","471","0.11040000000000000","Enrichr Queries,0.1104"
"ESR2","0.565836403845315861","0.565836403845315861","0.565836403845315861","Activated","171","viper","171","0.565836403845315861",NA,NA,"5","ReMap--ChIP-seq(rank=22); Literature--ChIP-seq(rank=141); Enrichr--Queries(rank=552); GTEx--Coexpression(rank=1298); ARCHS4--Coexpression(rank=1347)","332","0.07407000000000000","ReMap ChIP-seq,0.07407"
"SMAD1","-0.562195126278858925","-0.562195126278858925","0.562195126278858925","Repressed","172","viper","172","0.562195126278858925",NA,NA,"5","Literature--ChIP-seq(rank=25); Enrichr--Queries(rank=63); ReMap--ChIP-seq(rank=170); GTEx--Coexpression(rank=699); ARCHS4--Coexpression(rank=940)","212","0.04487000000000000","Enrichr Queries,0.04487"
"IKZF1","0.554198056645721193","0.554198056645721193","0.554198056645721193","Activated","173","viper","173","0.554198056645721193",NA,NA,"6","ARCHS4--Coexpression(rank=26); ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=145); Literature--ChIP-seq(rank=152); GTEx--Coexpression(rank=478); Enrichr--Queries(rank=484)","77","0.01597000000000000","ARCHS4 Coexpression,0.01597"
"TFAP4","0.551996692556960267","0.551996692556960267","0.551996692556960267","Activated","174","viper","174","0.551996692556960267",NA,NA,"4","ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=379); Enrichr--Queries(rank=458); ARCHS4--Coexpression(rank=1014)","892","0.23580000000000001","GTEx Coexpression,0.2358"
"NR1H2","-0.549138643876970645","-0.549138643876970645","0.549138643876970645","Repressed","175","viper","175","0.549138643876970645",NA,NA,"4","ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=901); GTEx--Coexpression(rank=1232)","82","0.01684000000000000","ReMap ChIP-seq,0.01684"
"REL","-0.530104284479130494","-0.530104284479130494","0.530104284479130494","Repressed","176","viper","176","0.530104284479130494",NA,NA,"3","Enrichr--Queries(rank=166); GTEx--Coexpression(rank=197); ARCHS4--Coexpression(rank=1256)","499","0.11820000000000000","Enrichr Queries,0.1182"
"NEUROD1","-0.528325408792799212","-0.528325408792799212","0.528325408792799212","Repressed","177","viper","177","0.528325408792799212",NA,NA,"4","ReMap--ChIP-seq(rank=142); GTEx--Coexpression(rank=286); ARCHS4--Coexpression(rank=730); Enrichr--Queries(rank=918)","716","0.17799999999999999","GTEx Coexpression,0.178"
"NFE2L1","-0.515527231344461767","-0.515527231344461767","0.515527231344461767","Repressed","178","viper","178","0.515527231344461767",NA,NA,"4","ReMap--ChIP-seq(rank=283); Enrichr--Queries(rank=532); GTEx--Coexpression(rank=1092); ARCHS4--Coexpression(rank=1320)","1226","0.37890000000000001","Enrichr Queries,0.3789"
"STAT2","0.515276005011848559","0.515276005011848559","0.515276005011848559","Activated","179","viper","179","0.515276005011848559",NA,NA,"5","ENCODE--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=824); GTEx--Coexpression(rank=1289); Enrichr--Queries(rank=1294)","1397","0.50609999999999999","ARCHS4 Coexpression,0.5061"
"ATF7","0.505408295959953291","0.505408295959953291","0.505408295959953291","Activated","180","viper","180","0.505408295959953291",NA,NA,"4","ReMap--ChIP-seq(rank=49); Enrichr--Queries(rank=456); GTEx--Coexpression(rank=1165); ARCHS4--Coexpression(rank=1261)","670","0.16500000000000001","ReMap ChIP-seq,0.165"
"SMAD3","0.496674750211549387","0.496674750211549387","0.496674750211549387","Activated","181","viper","181","0.496674750211549387",NA,NA,"5","Enrichr--Queries(rank=69); Literature--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=147); ARCHS4--Coexpression(rank=872)","227","0.04915000000000000","Enrichr Queries,0.04915"
"ZEB2","0.481801159060032624","0.481801159060032624","0.481801159060032624","Activated","182","viper","182","0.481801159060032624",NA,NA,"4","Enrichr--Queries(rank=45); ARCHS4--Coexpression(rank=85); ReMap--ChIP-seq(rank=228); GTEx--Coexpression(rank=1498)","156","0.03205000000000000","Enrichr Queries,0.03205"
"NCOA1","0.478954915192953801","0.478954915192953801","0.478954915192953801","Activated","183","viper","183","0.478954915192953801",NA,NA,"4","Enrichr--Queries(rank=153); ReMap--ChIP-seq(rank=227); ARCHS4--Coexpression(rank=239); GTEx--Coexpression(rank=1031)","466","0.10900000000000000","Enrichr Queries,0.109"
"SOX11","0.476696450525947890","0.476696450525947890","0.476696450525947890","Activated","184","viper","184","0.476696450525947890",NA,NA,"5","Literature--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=907); Enrichr--Queries(rank=1011); GTEx--Coexpression(rank=1573)","931","0.25000000000000000","Literature ChIP-seq,0.25"
"TCF3","-0.465854284362867077","-0.465854284362867077","0.465854284362867077","Repressed","185","viper","185","0.465854284362867077",NA,NA,"6","ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=542); ARCHS4--Coexpression(rank=548); GTEx--Coexpression(rank=640)","402","0.09322000000000000","ENCODE ChIP-seq,0.09322"
"PAX6","-0.463418587662510262","-0.463418587662510262","0.463418587662510262","Repressed","186","viper","186","0.463418587662510262",NA,NA,"5","Literature--ChIP-seq(rank=128); ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=284); GTEx--Coexpression(rank=814); Enrichr--Queries(rank=1195)","700","0.17440000000000000","ARCHS4 Coexpression,0.1744"
"GATA2","0.462947061153797690","0.462947061153797690","0.462947061153797690","Activated","187","viper","187","0.462947061153797690",NA,NA,"6","ENCODE--ChIP-seq(rank=29); Literature--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=663); ARCHS4--Coexpression(rank=1270); GTEx--Coexpression(rank=1386)","920","0.24579999999999999","ENCODE ChIP-seq,0.2458"
"NR1H3","-0.460970615628818636","-0.460970615628818636","0.460970615628818636","Repressed","188","viper","188","0.460970615628818636",NA,NA,"5","ReMap--ChIP-seq(rank=64); Literature--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=419); Enrichr--Queries(rank=444); GTEx--Coexpression(rank=869)","831","0.21550000000000000","ReMap ChIP-seq,0.2155"
"AR","0.457349715542181179","0.457349715542181179","0.457349715542181179","Activated","189","viper","189","0.457349715542181179",NA,NA,"5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=193); Enrichr--Queries(rank=1146); GTEx--Coexpression(rank=1340); ARCHS4--Coexpression(rank=1443)","582","0.14019999999999999","Literature ChIP-seq,0.1402"
"IRF9","-0.452543933837514734","-0.452543933837514734","0.452543933837514734","Repressed","190","viper","190","0.452543933837514734",NA,NA,"4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=302); GTEx--Coexpression(rank=1098); Enrichr--Queries(rank=1372)","741","0.18550000000000000","ARCHS4 Coexpression,0.1855"
"IRF1","0.448462461209541641","0.448462461209541641","0.448462461209541641","Activated","191","viper","191","0.448462461209541641",NA,NA,"6","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=68); Literature--ChIP-seq(rank=143); ARCHS4--Coexpression(rank=454); GTEx--Coexpression(rank=564); Enrichr--Queries(rank=1258)","163","0.03367000000000000","ReMap ChIP-seq,0.03367"
"SPIB","-0.445592867000385917","-0.445592867000385917","0.445592867000385917","Repressed","192","viper","192","0.445592867000385917",NA,NA,"4","Enrichr--Queries(rank=243); ReMap--ChIP-seq(rank=246); GTEx--Coexpression(rank=755); ARCHS4--Coexpression(rank=994)","695","0.17310000000000000","Enrichr Queries,0.1731"
"HINFP","-0.435416875155644034","-0.435416875155644034","0.435416875155644034","Repressed","193","viper","193","0.435416875155644034",NA,NA,"3","ReMap--ChIP-seq(rank=279); GTEx--Coexpression(rank=1077); ARCHS4--Coexpression(rank=1290)","1548","0.67020000000000002","GTEx Coexpression,0.6702"
"SOX9","0.426327655860631038","0.426327655860631038","0.426327655860631038","Activated","194","viper","194","0.426327655860631038",NA,NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=626); ARCHS4--Coexpression(rank=1304); GTEx--Coexpression(rank=1440)","120","0.02439000000000000","Literature ChIP-seq,0.02439"
"CEBPA","-0.424244998902966797","-0.424244998902966797","0.424244998902966797","Repressed","195","viper","195","0.424244998902966797",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=68); GTEx--Coexpression(rank=98); Enrichr--Queries(rank=770); ARCHS4--Coexpression(rank=1129)","277","0.06098000000000000","GTEx Coexpression,0.06098"
"ZNF24","0.422789415726071205","0.422789415726071205","0.422789415726071205","Activated","196","viper","196","0.422789415726071205",NA,NA,"4","ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=54); Enrichr--Queries(rank=329); GTEx--Coexpression(rank=1332)","161","0.03317000000000000","ARCHS4 Coexpression,0.03317"
"PBX3","0.421419460688287673","0.421419460688287673","0.421419460688287673","Activated","197","viper","197","0.421419460688287673",NA,NA,"5","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=308); Enrichr--Queries(rank=910); GTEx--Coexpression(rank=1096)","650","0.16100000000000000","ENCODE ChIP-seq,0.161"
"ZNF263","-0.415566394938656603","-0.415566394938656603","0.415566394938656603","Repressed","198","viper","198","0.415566394938656603",NA,NA,"6","ENCODE--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=147); Literature--ChIP-seq(rank=158); ReMap--ChIP-seq(rank=182); Enrichr--Queries(rank=435); GTEx--Coexpression(rank=1019)","390","0.09029000000000000","ARCHS4 Coexpression,0.09029"
"PPARG","0.412655500347404669","0.412655500347404669","0.412655500347404669","Activated","199","viper","199","0.412655500347404669",NA,NA,"5","ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=755); ARCHS4--Coexpression(rank=1494); GTEx--Coexpression(rank=1581)","703","0.17510000000000001","ReMap ChIP-seq,0.1751"
"STAT5A","-0.406838243885769169","-0.406838243885769169","0.406838243885769169","Repressed","200","viper","200","0.406838243885769169",NA,NA,"6","ENCODE--ChIP-seq(rank=100); Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=151); ARCHS4--Coexpression(rank=573); GTEx--Coexpression(rank=644); Enrichr--Queries(rank=771)","1171","0.35199999999999998","ARCHS4 Coexpression,0.352"
"TCF7","-0.402904955374995544","-0.402904955374995544","0.402904955374995544","Repressed","201","viper","201","0.402904955374995544",NA,NA,"5","ARCHS4--Coexpression(rank=35); Literature--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=386); Enrichr--Queries(rank=436)","105","0.02150000000000000","ARCHS4 Coexpression,0.0215"
"SMAD5","-0.398764238189188103","-0.398764238189188103","0.398764238189188103","Repressed","202","viper","202","0.398764238189188103",NA,NA,"4","ReMap--ChIP-seq(rank=242); Enrichr--Queries(rank=1015); GTEx--Coexpression(rank=1040); ARCHS4--Coexpression(rank=1488)","1532","0.64720000000000000","GTEx Coexpression,0.6472"
"FOSL1","0.393826707865603476","0.393826707865603476","0.393826707865603476","Activated","203","viper","203","0.393826707865603476",NA,NA,"5","ARCHS4--Coexpression(rank=41); ReMap--ChIP-seq(rank=106); ENCODE--ChIP-seq(rank=107); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=1084)","124","0.02518000000000000","ARCHS4 Coexpression,0.02518"
"HHEX","-0.391037940133853679","-0.391037940133853679","0.391037940133853679","Repressed","204","viper","204","0.391037940133853679",NA,NA,"4","GTEx--Coexpression(rank=152); ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=713); ARCHS4--Coexpression(rank=1005)","408","0.09458999999999999","GTEx Coexpression,0.09459"
"EHF","0.374269786152146122","0.374269786152146122","0.374269786152146122","Activated","205","viper","205","0.374269786152146122",NA,NA,"4","ReMap--ChIP-seq(rank=293); ARCHS4--Coexpression(rank=695); GTEx--Coexpression(rank=834); Enrichr--Queries(rank=838)","1304","0.42690000000000000","ARCHS4 Coexpression,0.4269"
"TP63","0.366721752834586634","0.366721752834586634","0.366721752834586634","Activated","206","viper","206","0.366721752834586634",NA,NA,"5","Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=66); GTEx--Coexpression(rank=82); ARCHS4--Coexpression(rank=703); Enrichr--Queries(rank=1113)","237","0.05103000000000000","GTEx Coexpression,0.05103"
"KLF9","-0.354403060793468783","-0.354403060793468783","0.354403060793468783","Repressed","207","viper","207","0.354403060793468783",NA,NA,"4","ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=631); Enrichr--Queries(rank=661); ARCHS4--Coexpression(rank=1623)","653","0.16159999999999999","ReMap ChIP-seq,0.1616"
"PBX2","0.345563124520675224","0.345563124520675224","0.345563124520675224","Activated","208","viper","208","0.345563124520675224",NA,NA,"4","ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=319); ARCHS4--Coexpression(rank=434); GTEx--Coexpression(rank=868)","869","0.22720000000000001","Enrichr Queries,0.2272"
"LYL1","-0.341923810373402359","-0.341923810373402359","0.341923810373402359","Repressed","209","viper","209","0.341923810373402359",NA,NA,"5","ReMap--ChIP-seq(rank=59); Literature--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=158); Enrichr--Queries(rank=173); GTEx--Coexpression(rank=398)","416","0.09705000000000000","ARCHS4 Coexpression,0.09705"
"MYOD1","-0.337498545820508478","-0.337498545820508478","0.337498545820508478","Repressed","210","viper","210","0.337498545820508478",NA,NA,"5","ENCODE--ChIP-seq(rank=26); Enrichr--Queries(rank=31); ReMap--ChIP-seq(rank=210); ARCHS4--Coexpression(rank=227); GTEx--Coexpression(rank=1194)","107","0.02208000000000000","Enrichr Queries,0.02208"
"TFAP2A","-0.337436210624322774","-0.337436210624322774","0.337436210624322774","Repressed","211","viper","211","0.337436210624322774",NA,NA,"6","ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=62); GTEx--Coexpression(rank=64); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=1103)","190","0.03983000000000000","GTEx Coexpression,0.03983"
"ELK1","0.329814191418972891","0.329814191418972891","0.329814191418972891","Activated","212","viper","212","0.329814191418972891",NA,NA,"5","ENCODE--ChIP-seq(rank=80); Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=130); GTEx--Coexpression(rank=313); ARCHS4--Coexpression(rank=1312)","770","0.19480000000000000","GTEx Coexpression,0.1948"
"GATA6","0.324664113063457493","0.324664113063457493","0.324664113063457493","Activated","213","viper","213","0.324664113063457493",NA,NA,"5","Literature--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=214); Enrichr--Queries(rank=538); ARCHS4--Coexpression(rank=578); GTEx--Coexpression(rank=1607)","1182","0.35499999999999998","ARCHS4 Coexpression,0.355"
"ESR1","-0.321168213733335206","-0.321168213733335206","0.321168213733335206","Repressed","214","viper","214","0.321168213733335206",NA,NA,"6","ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=70); Literature--ChIP-seq(rank=104); ENCODE--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=1037); GTEx--Coexpression(rank=1592)","231","0.04986000000000000","Enrichr Queries,0.04986"
"NFATC1","-0.319566441703561133","-0.319566441703561133","0.319566441703561133","Repressed","215","viper","215","0.319566441703561133",NA,NA,"5","ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=147); GTEx--Coexpression(rank=233); ARCHS4--Coexpression(rank=791); Enrichr--Queries(rank=1069)","602","0.14499999999999999","GTEx Coexpression,0.145"
"FOXP1","-0.310923347293866226","-0.310923347293866226","0.310923347293866226","Repressed","216","viper","216","0.310923347293866226",NA,NA,"5","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=81); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=318); ARCHS4--Coexpression(rank=1034)","360","0.08191000000000000","Enrichr Queries,0.08191"
"BCL6","-0.304407605668522485","-0.304407605668522485","0.304407605668522485","Repressed","217","viper","217","0.304407605668522485",NA,NA,"5","Literature--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=98); GTEx--Coexpression(rank=388); Enrichr--Queries(rank=600); ARCHS4--Coexpression(rank=631)","904","0.24140000000000000","GTEx Coexpression,0.2414"
"RUNX3","-0.304263519279744765","-0.304263519279744765","0.304263519279744765","Repressed","218","viper","218","0.304263519279744765",NA,NA,"5","ReMap--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=92); Enrichr--Queries(rank=233); GTEx--Coexpression(rank=653); ARCHS4--Coexpression(rank=675)","574","0.13800000000000001","ReMap ChIP-seq,0.138"
"POU2F1","0.296753295768733327","0.296753295768733327","0.296753295768733327","Activated","219","viper","219","0.296753295768733327",NA,NA,"4","ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=319); Enrichr--Queries(rank=478); ARCHS4--Coexpression(rank=767)","782","0.19850000000000001","GTEx Coexpression,0.1985"
"ETV4","0.293861743367486661","0.293861743367486661","0.293861743367486661","Activated","220","viper","220","0.293861743367486661",NA,NA,"4","ARCHS4--Coexpression(rank=132); ReMap--ChIP-seq(rank=164); Enrichr--Queries(rank=635); GTEx--Coexpression(rank=1263)","358","0.08108000000000000","ARCHS4 Coexpression,0.08108"
"CDX2","0.276613915178465009","0.276613915178465009","0.276613915178465009","Activated","221","viper","221","0.276613915178465009",NA,NA,"5","ReMap--ChIP-seq(rank=105); Literature--ChIP-seq(rank=139); GTEx--Coexpression(rank=222); ARCHS4--Coexpression(rank=562); Enrichr--Queries(rank=1284)","575","0.13810000000000000","GTEx Coexpression,0.1381"
"MAFB","0.257569668982982447","0.257569668982982447","0.257569668982982447","Activated","222","viper","222","0.257569668982982447",NA,NA,"4","ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=110); Enrichr--Queries(rank=664)","228","0.04916000000000000","GTEx Coexpression,0.04916"
"HNF4G","-0.256479016070532306","-0.256479016070532306","0.256479016070532306","Repressed","223","viper","223","0.256479016070532306",NA,NA,"5","ReMap--ChIP-seq(rank=92); ENCODE--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=457); Enrichr--Queries(rank=580); GTEx--Coexpression(rank=1173)","1007","0.28070000000000001","ARCHS4 Coexpression,0.2807"
"RFX5","0.247756418507922876","0.247756418507922876","0.247756418507922876","Activated","224","viper","224","0.247756418507922876",NA,NA,"5","ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=157); ARCHS4--Coexpression(rank=627); GTEx--Coexpression(rank=698)","435","0.10170000000000001","ENCODE ChIP-seq,0.1017"
"NR2F6","0.245702141527525203","0.245702141527525203","0.245702141527525203","Activated","225","viper","225","0.245702141527525203",NA,NA,"4","ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=533); ARCHS4--Coexpression(rank=569); GTEx--Coexpression(rank=584)","1167","0.34949999999999992","ARCHS4 Coexpression,0.3495"
"PROX1","0.223429045248549091","0.223429045248549091","0.223429045248549091","Activated","226","viper","226","0.223429045248549091",NA,NA,"4","ReMap--ChIP-seq(rank=36); ARCHS4--Coexpression(rank=156); GTEx--Coexpression(rank=464); Enrichr--Queries(rank=971)","411","0.09582000000000000","ARCHS4 Coexpression,0.09582"
"ZKSCAN1","-0.211959687713189376","-0.211959687713189376","0.211959687713189376","Repressed","227","viper","227","0.211959687713189376",NA,NA,"5","ENCODE--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=339); ARCHS4--Coexpression(rank=409); GTEx--Coexpression(rank=615)","905","0.24149999999999999","Enrichr Queries,0.2415"
"CTCF","-0.211333204431367605","-0.211333204431367605","0.211333204431367605","Repressed","228","viper","228","0.211333204431367605",NA,NA,"6","ENCODE--ChIP-seq(rank=32); Enrichr--Queries(rank=98); Literature--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=110); ARCHS4--Coexpression(rank=623); GTEx--Coexpression(rank=719)","315","0.06980000000000000","Enrichr Queries,0.0698"
"HOXA9","0.192680198427907817","0.192680198427907817","0.192680198427907817","Activated","229","viper","229","0.192680198427907817",NA,NA,"4","ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=728); Enrichr--Queries(rank=1144); ARCHS4--Coexpression(rank=1476)","1335","0.45300000000000001","GTEx Coexpression,0.453"
"EBF1","0.192417229483790392","0.192417229483790392","0.192417229483790392","Activated","230","viper","230","0.192417229483790392",NA,NA,"5","ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=154); ARCHS4--Coexpression(rank=210); Enrichr--Queries(rank=1233); GTEx--Coexpression(rank=1564)","543","0.12900000000000000","ARCHS4 Coexpression,0.129"
"KLF1","0.187165123943330985","0.187165123943330985","0.187165123943330985","Activated","231","viper","231","0.187165123943330985",NA,NA,"5","Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=167); Enrichr--Queries(rank=174); ARCHS4--Coexpression(rank=504); GTEx--Coexpression(rank=657)","519","0.12390000000000000","Enrichr Queries,0.1239"
"GATA3","0.178377555688991829","0.178377555688991829","0.178377555688991829","Activated","232","viper","232","0.178377555688991829",NA,NA,"6","Literature--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=87); GTEx--Coexpression(rank=559); Enrichr--Queries(rank=939)","245","0.05344000000000000","ARCHS4 Coexpression,0.05344"
"CEBPB","-0.168025110582053022","-0.168025110582053022","0.168025110582053022","Repressed","233","viper","233","0.168025110582053022",NA,NA,"6","ENCODE--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=58); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=723); ARCHS4--Coexpression(rank=763); Enrichr--Queries(rank=858)","715","0.17799999999999999","ENCODE ChIP-seq,0.178"
"USF1","-0.162495128802882888","-0.162495128802882888","0.162495128802882888","Repressed","234","viper","234","0.162495128802882888",NA,NA,"5","ENCODE--ChIP-seq(rank=25); Enrichr--Queries(rank=135); ReMap--ChIP-seq(rank=184); ARCHS4--Coexpression(rank=236); GTEx--Coexpression(rank=460)","413","0.09615000000000001","Enrichr Queries,0.09615"
"EOMES","-0.157137249860978628","-0.157137249860978628","0.157137249860978628","Repressed","235","viper","235","0.157137249860978628",NA,NA,"5","Literature--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=549); GTEx--Coexpression(rank=624); ARCHS4--Coexpression(rank=689)","395","0.09146000000000000","Literature ChIP-seq,0.09146"
"STAT6","0.155207951601197325","0.155207951601197325","0.155207951601197325","Activated","236","viper","236","0.155207951601197325",NA,NA,"4","Literature--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=197); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=816)","509","0.12100000000000000","ARCHS4 Coexpression,0.121"
