"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HINFP","2.4038725650275964973","-2.4038725650275964973","0.016222427267666504613341516005675657652318477630615234375000","HVL_TOR10=-2.404","Repressed","62","collectri","62","2.4038725650275964973",NA,"3","ReMap--ChIP-seq(rank=247); GTEx--Coexpression(rank=429); ARCHS4--Coexpression(rank=683)","913","0.267000000000000015","GTEx Coexpression,0.267"
"HIVEP2","2.3629323771591921322","2.3629323771591921322","0.018130977621574815433769245487383159343153238296508789062500","HVL_TOR10=2.363","Activated","63","collectri","63","2.3629323771591921322",NA,"3","ARCHS4--Coexpression(rank=516); GTEx--Coexpression(rank=794); Enrichr--Queries(rank=894)","1033","0.317000000000000004","ARCHS4 Coexpression,0.317"
"HMGA2","2.3321983154091041612","-2.3321983154091041612","0.019690260764144353056170899662902229465544223785400390625000","HVL_TOR10=-2.332","Repressed","64","collectri","64","2.3321983154091041612",NA,"3","ARCHS4--Coexpression(rank=28); GTEx--Coexpression(rank=55); Enrichr--Queries(rank=72)","63","0.017200000000000000","ARCHS4 Coexpression,0.0172"
"CDX1","2.3203979181634597495","2.3203979181634597495","0.020319361410772323467410771513641520868986845016479492187500","HVL_TOR10=2.32","Activated","65","collectri","65","2.3203979181634597495",NA,"3","ARCHS4--Coexpression(rank=42); GTEx--Coexpression(rank=61); Enrichr--Queries(rank=257)","101","0.025800000000000000","ARCHS4 Coexpression,0.0258"
"DMTF1","2.3172090883186720056","-2.3172090883186720056","0.020492344695047327862713615331813343800604343414306640625000","HVL_TOR10=-2.317","Repressed","66","collectri","66","2.3172090883186720056",NA,"3","GTEx--Coexpression(rank=514); Enrichr--Queries(rank=988); ARCHS4--Coexpression(rank=1487)","1039","0.319900000000000018","GTEx Coexpression,0.3199"
"RXRB","2.2744588901036491002","2.2744588901036491002","0.022938410142503612432207660276617389172315597534179687500000","HVL_TOR10=2.274","Activated","67","collectri","67","2.2744588901036491002",NA,"3","GTEx--Coexpression(rank=593); ARCHS4--Coexpression(rank=897); Enrichr--Queries(rank=1150)","1128","0.368999999999999995","GTEx Coexpression,0.369"
"SMARCA4","2.2661602614441576087","2.2661602614441576087","0.023441572723931724392398834311279642861336469650268554687500","HVL_TOR10=2.266","Activated","68","collectri","68","2.2661602614441576087",NA,"0","",NA,NA,NA
"STAT6","2.2556286411442911799","2.2556286411442911799","0.024093897954165575947538258105851127766072750091552734375000","HVL_TOR10=2.256","Activated","69","collectri","69","2.2556286411442911799",NA,"4","Literature--ChIP-seq(rank=111); GTEx--Coexpression(rank=447); ARCHS4--Coexpression(rank=573); Enrichr--Queries(rank=667)","940","0.278200000000000003","GTEx Coexpression,0.2782"
"TBP","2.2540892911348699990","-2.2540892911348699990","0.024190551230741319521655441349139437079429626464843750000000","HVL_TOR10=-2.254","Repressed","70","collectri","70","2.2540892911348699990",NA,"5","ENCODE--ChIP-seq(rank=38); Literature--ChIP-seq(rank=150); ReMap--ChIP-seq(rank=156); GTEx--Coexpression(rank=220); ARCHS4--Coexpression(rank=1450)","518","0.136899999999999994","GTEx Coexpression,0.1369"
"CRX","2.2480984235913386016","-2.2480984235913386016","0.024569914585384971389414587861210748087614774703979492187500","HVL_TOR10=-2.248","Repressed","71","collectri","71","2.2480984235913386016",NA,"4","Literature--ChIP-seq(rank=106); GTEx--Coexpression(rank=920); Enrichr--Queries(rank=1012); ARCHS4--Coexpression(rank=1173)","1417","0.572500000000000009","GTEx Coexpression,0.5725"
"HDAC3","2.2424454210931328291","2.2424454210931328291","0.024932599017915238470699534900631988421082496643066406250000","HVL_TOR10=2.242","Activated","72","collectri","72","2.2424454210931328291",NA,"0","",NA,NA,NA
"KAT5","2.2233747177082965329","-2.2233747177082965329","0.026190543041708650578991424140440358314663171768188476562500","HVL_TOR10=-2.223","Repressed","73","collectri","73","2.2233747177082965329",NA,"0","",NA,NA,NA
"NONO","2.2148476687534204288","-2.2148476687534204288","0.026770522051434264554359288013074547052383422851562500000000","HVL_TOR10=-2.215","Repressed","74","collectri","74","2.2148476687534204288",NA,"0","",NA,NA,NA
"SOX11","2.2126610026166639855","2.2126610026166639855","0.026921025898542321613815531122781976591795682907104492187500","HVL_TOR10=2.213","Activated","75","collectri","75","2.2126610026166639855",NA,"5","Literature--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=278); GTEx--Coexpression(rank=507); ARCHS4--Coexpression(rank=593)","717","0.198000000000000009","Enrichr Queries,0.198"
"RARG","2.2090046353007335433","2.2090046353007335433","0.027174318496258485083894029799012059811502695083618164062500","HVL_TOR10=2.209","Activated","76","collectri","76","2.2090046353007335433",NA,"4","Literature--ChIP-seq(rank=109); GTEx--Coexpression(rank=158); Enrichr--Queries(rank=261); ARCHS4--Coexpression(rank=1411)","388","0.098320000000000005","GTEx Coexpression,0.09832"
"SREBF2","2.1770468831523213105","2.1770468831523213105","0.029477069579877415023139164418353175278753042221069335937500","HVL_TOR10=2.177","Activated","77","collectri","77","2.1770468831523213105",NA,"6","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=95); Literature--ChIP-seq(rank=135); GTEx--Coexpression(rank=192); Enrichr--Queries(rank=995); ARCHS4--Coexpression(rank=1252)","459","0.119499999999999995","GTEx Coexpression,0.1195"
"ETV7","2.1652457181382325224","2.1652457181382325224","0.030368872890254642454843647669804340694099664688110351562500","HVL_TOR10=2.165","Activated","78","collectri","78","2.1652457181382325224",NA,"3","Enrichr--Queries(rank=375); GTEx--Coexpression(rank=379); ARCHS4--Coexpression(rank=465)","820","0.235800000000000010","GTEx Coexpression,0.2358"
"YBX1","2.1566198060932704195","-2.1566198060932704195","0.031035300021760168359685749805976229254156351089477539062500","HVL_TOR10=-2.157","Repressed","79","collectri","79","2.1566198060932704195",NA,"3","ARCHS4--Coexpression(rank=198); Enrichr--Queries(rank=1155); GTEx--Coexpression(rank=1318)","464","0.121600000000000000","ARCHS4 Coexpression,0.1216"
"BRCA1","2.1296044703921190866","-2.1296044703921190866","0.033204281678560119972498654306036769412457942962646484375000","HVL_TOR10=-2.13","Repressed","80","collectri","80","2.1296044703921190866",NA,"0","",NA,NA,NA
"PIN1","2.1103699817651069282","2.1103699817651069282","0.034826499993411072497728753205592511221766471862792968750000","HVL_TOR10=2.11","Activated","81","collectri","81","2.1103699817651069282",NA,"2","GTEx--Coexpression(rank=174); ARCHS4--Coexpression(rank=689)","425","0.108299999999999993","GTEx Coexpression,0.1083"
"NRG1","2.0472523745434010323","-2.0472523745434010323","0.040633311400064646423668790475858259014785289764404296875000","HVL_TOR10=-2.047","Repressed","82","collectri","82","2.0472523745434010323",NA,"0","",NA,NA,NA
"ZNF300","2.0436581977642394037","2.0436581977642394037","0.040987325573647870324833775157458148896694183349609375000000","HVL_TOR10=2.044","Activated","83","collectri","83","2.0436581977642394037",NA,"3","Enrichr--Queries(rank=69); ARCHS4--Coexpression(rank=540); GTEx--Coexpression(rank=683)","194","0.049149999999999999","Enrichr Queries,0.04915"
"ZBTB33","2.0241728597880284113","2.0241728597880284113","0.042952369039161289454575864965590881183743476867675781250000","HVL_TOR10=2.024","Activated","84","collectri","84","2.0241728597880284113",NA,"5","ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=398); ARCHS4--Coexpression(rank=936); Enrichr--Queries(rank=1096)","859","0.247700000000000004","GTEx Coexpression,0.2477"
"LMO2","2.0201875489606688774","2.0201875489606688774","0.043363937300183508227746642660349607467651367187500000000000","HVL_TOR10=2.02","Activated","85","collectri","85","2.0201875489606688774",NA,"0","",NA,NA,NA
