"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"HES1","1.585181850672794601","1.585181850672794601","0.11292502289286111827326664069914841","RKO=1.585","Activated","211","collectri","211","1.585181850672794601",NA,"4","ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=326); ARCHS4--Coexpression(rank=861); GTEx--Coexpression(rank=1218)","848","0.23219999999999999","Enrichr Queries,0.2322"
"AR","1.581685402090778680","1.581685402090778680","0.11372140685339528209940596070737229","RKO=1.582","Activated","212","collectri","212","1.581685402090778680",NA,"5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=68); Enrichr--Queries(rank=468); ARCHS4--Coexpression(rank=664); GTEx--Coexpression(rank=1376)","142","0.03659000000000000","Literature ChIP-seq,0.03659"
"FOXA1","1.577666214865176109","1.577666214865176109","0.11464231177992041665891775892305304","RKO=1.578","Activated","213","collectri","213","1.577666214865176109",NA,"6","ENCODE--ChIP-seq(rank=45); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=150); Enrichr--Queries(rank=581); ARCHS4--Coexpression(rank=645); GTEx--Coexpression(rank=1009)","1173","0.38140000000000002","ENCODE ChIP-seq,0.3814"
"FOXG1","1.575477134145104374","1.575477134145104374","0.11514635236647920157881941349842236","RKO=1.575","Activated","214","collectri","214","1.575477134145104374",NA,"3","ARCHS4--Coexpression(rank=616); GTEx--Coexpression(rank=661); Enrichr--Queries(rank=1280)","1168","0.37840000000000001","ARCHS4 Coexpression,0.3784"
"GFI1","1.570947611335878458","1.570947611335878458","0.11619481812916528096213397702740622","RKO=1.571","Activated","215","collectri","215","1.570947611335878458",NA,"3","Enrichr--Queries(rank=701); ARCHS4--Coexpression(rank=867); GTEx--Coexpression(rank=1525)","1342","0.49930000000000002","Enrichr Queries,0.4993"
"NSD2","1.567938597461907557","1.567938597461907557","0.11689546293189877201879056656252942","RKO=1.568","Activated","216","collectri","216","1.567938597461907557",NA,"0","",NA,NA,NA
"MTA3","1.565377100500227270","1.565377100500227270","0.11749451454168577391179439928237116","RKO=1.565","Activated","217","collectri","217","1.565377100500227270",NA,"0","",NA,NA,NA
"NCOR2","1.563786907993657049","1.563786907993657049","0.11786761986096498666665155496957595","RKO=1.564","Activated","218","collectri","218","1.563786907993657049",NA,"0","",NA,NA,NA
"BTG2","1.559643856962947384","-1.559643856962947384","0.11884406636739877627384487368544796","RKO=-1.56","Repressed","219","collectri","219","1.559643856962947384",NA,"0","",NA,NA,NA
"MSX2","1.541657957651771715","1.541657957651771715","0.12315673350995919033135095332909259","RKO=1.542","Activated","220","collectri","220","1.541657957651771715",NA,"3","Enrichr--Queries(rank=228); ARCHS4--Coexpression(rank=816); GTEx--Coexpression(rank=1121)","641","0.16239999999999999","Enrichr Queries,0.1624"
"NKX2-5","1.541476128456436667","1.541476128456436667","0.12320094841429385379427685620612465","RKO=1.541","Activated","221","collectri","221","1.541476128456436667",NA,"0","",NA,NA,NA
"SATB2","1.540607240837659653","1.540607240837659653","0.12341240458538528523835253736251616","RKO=1.541","Activated","222","collectri","222","1.540607240837659653",NA,"3","ARCHS4--Coexpression(rank=419); GTEx--Coexpression(rank=660); Enrichr--Queries(rank=664)","910","0.25740000000000002","ARCHS4 Coexpression,0.2574"
"RARA","1.538492512615158736","1.538492512615158736","0.12392823784575156265130857491385541","RKO=1.538","Activated","223","collectri","223","1.538492512615158736",NA,"5","Literature--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=127); Enrichr--Queries(rank=441); GTEx--Coexpression(rank=946); ARCHS4--Coexpression(rank=999)","1036","0.31409999999999999","Enrichr Queries,0.3141"
"RUNX3","1.518785348693797888","1.518785348693797888","0.12881653497893222337644658637145767","RKO=1.519","Activated","224","collectri","224","1.518785348693797888",NA,"5","ENCODE--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=246); Enrichr--Queries(rank=830); ARCHS4--Coexpression(rank=1010); GTEx--Coexpression(rank=1308)","1437","0.59119999999999984","Enrichr Queries,0.5912"
"HOXC6","1.517687585140592432","1.517687585140592432","0.12909317524503940988189754079940030","RKO=1.518","Activated","225","collectri","225","1.517687585140592432",NA,"3","GTEx--Coexpression(rank=219); ARCHS4--Coexpression(rank=329); Enrichr--Queries(rank=531)","549","0.13630000000000000","GTEx Coexpression,0.1363"
"ID1","1.513849659245164236","1.513849659245164236","0.13006397435200625634088567039725604","RKO=1.514","Activated","226","collectri","226","1.513849659245164236",NA,"0","",NA,NA,NA
"TAL1","1.508438614106004216","1.508438614106004216","0.13144230649071561578544731219153618","RKO=1.508","Activated","227","collectri","227","1.508438614106004216",NA,"6","Literature--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=264); GTEx--Coexpression(rank=747); Enrichr--Queries(rank=994); ARCHS4--Coexpression(rank=1328)","586","0.14630000000000001","Literature ChIP-seq,0.1463"
"PBRM1","1.501512011691849002","1.501512011691849002","0.13322318226389431861100831611111062","RKO=1.502","Activated","228","collectri","228","1.501512011691849002",NA,"0","",NA,NA,NA
"BHLHE40","1.501332828942682607","1.501332828942682607","0.13326949792871883859746162670489866","RKO=1.501","Activated","229","collectri","229","1.501332828942682607",NA,"4","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=202); GTEx--Coexpression(rank=568)","505","0.12410000000000000","ARCHS4 Coexpression,0.1241"
"ARID4B","1.492010872964860235","1.492010872964860235","0.13569629497028964926208516317274189","RKO=1.492","Activated","230","collectri","230","1.492010872964860235",NA,"0","",NA,NA,NA
"ZEB2","1.490102752435000788","1.490102752435000788","0.13619722059899999622167854340659687","RKO=1.49","Activated","231","collectri","231","1.490102752435000788",NA,"4","ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=269); Enrichr--Queries(rank=472); GTEx--Coexpression(rank=1119)","651","0.16520000000000001","ARCHS4 Coexpression,0.1652"
