"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD4_c11_Tisg","0.00011838565459220822288430308155682268989039584994316101074218750000000000000000000000000000000","0.1794908314500245905","0.000505829615075798736008316769385828592930920422077178955078125000000000000000000000000000000","3.926700920154468477","***","IOBR::batch_cor","<0.001","<0.001","***","***"
"MDSC_Wang_et_al","0.00014645086405172118597037278497907664132071658968925476074218750000000000000000000000000000000","0.1770849947641044420","0.000616405129292319029638003158311221341136842966079711914062500000000000000000000000000000000","3.834308061662221156","***","IOBR::batch_cor","<0.001","<0.001","***","***"
"Glycerophospholipid_Metabolism","0.00018321353407569146366958012794867727279779501259326934814453125000000000000000000000000000000","-0.1745180046014732089","0.000759797303078602894420290336796597330248914659023284912109375000000000000000000000000000000","3.737042447931879785","***","IOBR::batch_cor","<0.001","<0.001","***","***"
"TNF_Family_Members_Li_et_al","0.00020590259609689642058931446921832275620545260608196258544921875000000000000000000000000000000","0.1731654619435746278","0.000841514957961228917716900443934946451918222010135650634765625000000000000000000000000000000","3.686338177600284371","***","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_accumulation_Peng_et_al","0.00027144946291922101818186452426573396223830059170722961425781250000000000000000000000000000000","0.1699230285133368767","0.001093553550617433305081060979091489571146667003631591796875000000000000000000000000000000000","3.566311013287908782","***","IOBR::batch_cor","<0.001","0.001","***","**"
"MC_Review_Exosome1","0.00028316231333419354925656774568665241531562060117721557617187500000000000000000000000000000000","0.1694222424920314996","0.001124672850144261800411915608322033222066238522529602050781250000000000000000000000000000000","3.547964548299074039","***","IOBR::batch_cor","<0.001","0.001","***","**"
"Pyrimidine_Biosynthesis","0.00038267329722233191105842942114634297468001022934913635253906250000000000000000000000000000000","-0.1658108758850701803","0.001498803747454133250549546119145816192030906677246093750000000000000000000000000000000000000","3.417171841599894844","***","IOBR::batch_cor","<0.001","0.001","***","**"
"MDSC_Peng_et_al","0.00042931138531371760159310868587567711074370890855789184570312500000000000000000000000000000000","0.1644122165800811775","0.001658435762444772018642247246589249698445200920104980468750000000000000000000000000000000000","3.367227593902679228","***","IOBR::batch_cor","<0.001","0.002","***","**"
"Cytotoxic_cells_Bindea_et_al","0.00062684582462679491483142912855441863939631730318069458007812500000000000000000000000000000000","0.1597280646550296446","0.002388790845199407868182372993715034681372344493865966796875000000000000000000000000000000000","3.202839262594155745","***","IOBR::batch_cor","<0.001","0.002","***","**"
"Hu_hypoxia_signature","0.00084623345735114279767691281008978876343462616205215454101562500000000000000000000000000000000","0.1559219125414349205","0.003181837799640296546299644830924080451950430870056152343750000000000000000000000000000000000","3.072509808057270586","***","IOBR::batch_cor","<0.001","0.003","***","**"
"Co_inhibition_T_cell_Rooney_et_al","0.00094319107623799206419762386488514493976254016160964965820312500000000000000000000000000000000","0.1545249093591314904","0.003499735309198865641777675961066051968373358249664306640625000000000000000000000000000000000","3.025400316860095806","***","IOBR::batch_cor","<0.001","0.003","***","**"
"Neu_02_S100A12","0.00119337227553743211588832551228733791504055261611938476562500000000000000000000000000000000000","0.1514544579000873803","0.004370532229890335823574432083660212811082601547241210937500000000000000000000000000000000000","2.923224055917904796","**","IOBR::batch_cor","0.001","0.004","**","**"
"Immune_Checkpoint","0.00121593528155506227020343779088307201163843274116516113281250000000000000000000000000000000000","0.1512075682258849363","0.004375305813801156143427739664275577524676918983459472656250000000000000000000000000000000000","2.915089539875370672","**","IOBR::batch_cor","0.001","0.004","**","**"
"Mph_03_SPP1","0.00122570623861805436984051542737006457173265516757965087890625000000000000000000000000000000000","0.1511019585561667600","0.004375305813801156143427739664275577524676918983459472656250000000000000000000000000000000000","2.911613603418083507","**","IOBR::batch_cor","0.001","0.004","**","**"
"Remethylation","0.00154825102671115764560449967746080801589414477348327636718750000000000000000000000000000000000","-0.1479893396656670468","0.005457584869156830408021274791963151074014604091644287109375000000000000000000000000000000000","2.810158623319138904","**","IOBR::batch_cor","0.002","0.005","**","**"
"Macrophages_Bindea_et_al","0.00159759732959365279708618956533427990507334470748901367187500000000000000000000000000000000000","0.1475667735927415902","0.005562005517844568515395398122791448258794844150543212890625000000000000000000000000000000000","2.796532674066065649","**","IOBR::batch_cor","0.002","0.006","**","**"
"CD8_c3_Tn","0.00172205611185505323527944465666905671241693198680877685546875000000000000000000000000000000000","0.1465519525686462821","0.005922192970038109467723064227584472973830997943878173828125000000000000000000000000000000000","2.763952701504901022","**","IOBR::batch_cor","0.002","0.006","**","**"
"Methionine_Cycle","0.00177805027845882065822002982002913995529524981975555419921875000000000000000000000000000000000","-0.1461171566666581711","0.006041086488257680145452788167403923580422997474670410156250000000000000000000000000000000000","2.750055962517382824","**","IOBR::batch_cor","0.002","0.006","**","**"
"Antigen_Processing_and_Presentation_Li_et_al","0.00195673660427195077182727089848413015715777873992919921875000000000000000000000000000000000000","0.1448089471391117433","0.006569044314341548895797018303710501641035079956054687500000000000000000000000000000000000000","2.708467630657784841","**","IOBR::batch_cor","0.002","0.007","**","**"
"Co_stimulation_APC_Rooney_et_al","0.00217062264494213537704969674280164326773956418037414550781250000000000000000000000000000000000","0.1433797132614661185","0.007198631446107462208972016526331572094932198524475097656250000000000000000000000000000000000","2.663415670540873581","**","IOBR::batch_cor","0.002","0.007","**","**"
"CD4_c5_CTL","0.00219532732044411954541729414813744369894266128540039062500000000000000000000000000000000000000","0.1432230185766007746","0.007198631446107462208972016526331572094932198524475097656250000000000000000000000000000000000","2.658500717852511297","**","IOBR::batch_cor","0.002","0.007","**","**"
"TIP_Recognition_of_cancer_cells_by_T_cells_1","0.00227854008306617450418940507006482221186161041259765625000000000000000000000000000000000000000","0.1427068178749143212","0.007318905531016376385389232694933525635860860347747802734375000000000000000000000000000000000","2.642343327098499284","**","IOBR::batch_cor","0.002","0.007","**","**"
"Th2_cells_Bindea_et_al","0.00228391378272851464439896496116944035748019814491271972656250000000000000000000000000000000000","0.1426740776033611768","0.007318905531016376385389232694933525635860860347747802734375000000000000000000000000000000000","2.641320294643346944","**","IOBR::batch_cor","0.002","0.007","**","**"
"Treg_Rooney_et_al","0.00239203392239508870129038875518290296895429491996765136718750000000000000000000000000000000000","0.1420298458786750095","0.007579253551858596352208685686946409987285733222961425781250000000000000000000000000000000000","2.621232665735241607","**","IOBR::batch_cor","0.002","0.008","**","**"
"Extracellular_vesicle_biogenesis","0.00249455413350363692029376672110174695262685418128967285156250000000000000000000000000000000000","0.1414430688717727980","0.007816269618311395828147425390852731652557849884033203125000000000000000000000000000000000000","2.603007067139983644","**","IOBR::batch_cor","0.002","0.008","**","**"
"Mph_06_CXCL9","0.00279857610787706198585134131917584454640746116638183593750000000000000000000000000000000000000","0.1398238904614976796","0.008672510576058587578041070287326874677091836929321289062500000000000000000000000000000000000","2.553062877865134528","**","IOBR::batch_cor","0.003","0.009","**","**"
"DC_04_CD207","0.00287222378687823675161294723068294842960312962532043457031250000000000000000000000000000000000","0.1394558490431432596","0.008803990303257203456355206583339167991653084754943847656250000000000000000000000000000000000","2.541781725425549698","**","IOBR::batch_cor","0.003","0.009","**","**"
"Neu_01_MMP8","0.00341385240481429774045407654625705617945641279220581054687500000000000000000000000000000000000","0.1369859331486968923","0.010351681485565934412451660762144456384703516960144042968750000000000000000000000000000000000","2.466755259190921201","**","IOBR::batch_cor","0.003","0.010","**","*"
"ICB_resistance_Peng_et_al","0.00379528950161918182323872450467661110451444983482360839843750000000000000000000000000000000000","0.1354519813597021838","0.011264057301860081264366364450779656181111931800842285156250000000000000000000000000000000000","2.420755090872495963","**","IOBR::batch_cor","0.004","0.011","**","*"
"BCR_Signaling_Pathway_Li_et_al","0.00382716871009469933664903784631405869731679558753967285156250000000000000000000000000000000000","0.1353301926452865345","0.011264057301860081264366364450779656181111931800842285156250000000000000000000000000000000000","2.417122392688435983","**","IOBR::batch_cor","0.004","0.011","**","*"
"Exosomal_secretion","0.00383457269850555945017722692114148230757564306259155273437500000000000000000000000000000000000","0.1353020385596318820","0.011264057301860081264366364450779656181111931800842285156250000000000000000000000000000000000","2.416283024158394799","**","IOBR::batch_cor","0.004","0.011","**","*"
"HLA_signature_gene","0.00403147651939452650315942605629970785230398178100585937500000000000000000000000000000000000000","0.1345707966969269809","0.011720375035765531052112109478002821560949087142944335937500000000000000000000000000000000000","2.394535865326884227","**","IOBR::batch_cor","0.004","0.012","**","*"
"EMT1","0.00429628228501585576054599968642833118792623281478881835937500000000000000000000000000000000000","0.1336367435022663419","0.012362771473208890304906759638470248319208621978759765625000000000000000000000000000000000000","2.366907191275654743","**","IOBR::batch_cor","0.004","0.012","**","*"
"alpha_Linoleic_Acid_Metabolism","0.00464197151147515991304048910137680650223046541213989257812500000000000000000000000000000000000","-0.1324927449086966968","0.013222585517535304783232064096409885678440332412719726562500000000000000000000000000000000000","2.333297529206921794","**","IOBR::batch_cor","0.005","0.013","**","*"
"Type_I_IFN_Reponse_Rooney_et_al","0.00470254509803780858939736830848232784774154424667358398437500000000000000000000000000000000000","0.1323002524950125380","0.013261177176466619823114179155254532815888524055480957031250000000000000000000000000000000000","2.327667030815319116","**","IOBR::batch_cor","0.005","0.013","**","*"
"Mph_04_TREM2","0.00478779223371860601643490440437744837254285812377929687500000000000000000000000000000000000000","0.1320331071664250511","0.013367895147610364334211929815410258015617728233337402343750000000000000000000000000000000000","2.319864704069158901","**","IOBR::batch_cor","0.005","0.013","**","*"
"IFNG_signature_Ayers_et_al","0.00491347241160048318897590746701098396442830562591552734375000000000000000000000000000000000000","0.1316469757925821105","0.013584306079130747946237534051761031150817871093750000000000000000000000000000000000000000000","2.308611478102505998","**","IOBR::batch_cor","0.005","0.014","**","*"
"Epinephrine_Biosynthesis","0.00511903235636634000582656511824097833596169948577880859375000000000000000000000000000000000000","-0.1310342103989217410","0.013884938972517666538886160765287058893591165542602539062500000000000000000000000000000000000","2.290812125353652640","**","IOBR::batch_cor","0.005","0.014","**","*"
"Urea_Cycle","0.00512068671326892672218678015383375168312340974807739257812500000000000000000000000000000000000","-0.1310293694249177743","0.013884938972517666538886160765287058893591165542602539062500000000000000000000000000000000000","2.290671793753682461","**","IOBR::batch_cor","0.005","0.014","**","*"
