"Input_Type","TF_Analysis_Name","Intersection_Name","ATF3_Found_In_Top_Candidates","Consensus_Rank","Required_Methods","Number_Of_Methods","Source_Method_Count","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Integrated_TopRank","Result_File"
"DEG","SW948","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI",TRUE,2,"ChEA3;ENRICHR;CollecTRI",3,6,13,2,2,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW948","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","SW948","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW948","DOROTHEA_CHEA3_VIPER",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv"
"DEG","SW948","ENRICHR_TRRUST_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW948","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",TRUE,10,"DoRothEA;ChEA3;ENRICHR;TRRUST",4,6,58,2,2,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","SW948","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","SW948","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","SW948","WITHOUT_CHEA3",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/SW948/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","ALL_6_METHODS",TRUE,7,"DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI",6,6,79.8333333333333,6,177,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","API_METHODS_CHEA3_ENRICHR",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI",TRUE,6,"ChEA3;ENRICHR;CollecTRI",3,6,69,6,177,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv"
