"Analysis_Name","Methods","Method_Labels","Method_Count","DEG_ATF3_Primary_Significant","DEG_ATF3_FDR_Significant","Intersected_TF_Count","ATF3_Consensus_Rank","ATF3_Mean_Selected_Rank","ATF3_Best_Selected_Rank","ATF3_Worst_Selected_Rank","ATF3_Source_Method_Count","ATF3_CheA3_Library_Count","ATF3_CheA3_Integrated_TopRank","ATF3_Method_Details","Top1_TF"
"HT55","viper;collectri","VIPER;CollecTRI",2,FALSE,FALSE,232,62,124.5,69,180,6,6,4,"VIPER(rank=180); CollecTRI(rank=69, P=0.00385)","HIF1A"
"RKO","viper;collectri","VIPER;CollecTRI",2,TRUE,TRUE,222,97,197.5,184,211,6,6,171,"VIPER(rank=211); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","viper;collectri","VIPER;CollecTRI",2,TRUE,FALSE,231,57,127,47,207,6,6,122,"VIPER(rank=207); CollecTRI(rank=47, P=0.0107)","E2F4"
"SW948","viper;collectri","VIPER;CollecTRI",2,TRUE,FALSE,234,26,77,2,152,6,6,2,"VIPER(rank=152); CollecTRI(rank=2, P=1.6e-08)","FOXO3"
"ALL","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,FALSE,190,8,17,10,24,6,6,1,"ENRICHR(rank=24, adjP=0.00482); TRRUST(rank=10, P=0.00121)","CEBPB"
"DLD1","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,TRUE,258,54,86,43,129,6,6,244,"ENRICHR(rank=129, adjP=0.0312); TRRUST(rank=43, P=0.0206)","E2F1"
"DLD1_HCT15","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,FALSE,217,6,8.5,4,13,6,6,1,"ENRICHR(rank=4, adjP=9.99e-05); TRRUST(rank=13, P=0.0102)","ATF4"
"DLD1_HCT15_SW48","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,FALSE,195,12,26.5,12,41,6,6,1,"ENRICHR(rank=12, adjP=0.000136); TRRUST(rank=41, P=0.0786)","NFKB1"
"HCT15","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,TRUE,268,24,47.5,5,90,6,6,1,"ENRICHR(rank=5, adjP=4.52e-16); TRRUST(rank=90, P=0.0641)","ATF4"
"HT55","enrichr;trrust","ENRICHR;TRRUST",2,FALSE,FALSE,253,46,78,57,99,6,6,4,"ENRICHR(rank=99, adjP=0.00249); TRRUST(rank=57, P=0.034)","SP3"
"RKO","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,TRUE,290,40,69.5,9,130,6,6,171,"ENRICHR(rank=9, adjP=2.08e-14); TRRUST(rank=130, P=0.185)","TP53"
"SW48","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,FALSE,246,58,99.5,37,162,6,6,122,"ENRICHR(rank=37, adjP=6.51e-07); TRRUST(rank=162, P=0.305)","TP53"
"SW948","enrichr;trrust","ENRICHR;TRRUST",2,TRUE,FALSE,250,60,94.5,35,154,6,6,2,"ENRICHR(rank=35, adjP=0.000155); TRRUST(rank=154, P=0.254)","ATF4"
"ALL","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,FALSE,259,2,14.5,5,24,6,6,1,"ENRICHR(rank=24, adjP=0.00482); CollecTRI(rank=5, P=5e-06)","ATF4"
"DLD1","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,TRUE,346,23,82,35,129,6,6,244,"ENRICHR(rank=129, adjP=0.0312); CollecTRI(rank=35, P=0.00577)","E2F4"
"DLD1_HCT15","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,FALSE,293,2,6,4,8,6,6,1,"ENRICHR(rank=4, adjP=9.99e-05); CollecTRI(rank=8, P=0.00101)","ATF4"
"DLD1_HCT15_SW48","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,FALSE,269,1,8.5,5,12,6,6,1,"ENRICHR(rank=12, adjP=0.000136); CollecTRI(rank=5, P=1.4e-05)","ATF3"
"HCT15","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,TRUE,347,2,3.5,2,5,6,6,1,"ENRICHR(rank=5, adjP=4.52e-16); CollecTRI(rank=2, P=4.63e-07)","ATF4"
"HT55","enrichr;collectri","ENRICHR;CollecTRI",2,FALSE,FALSE,327,31,84,69,99,6,6,4,"ENRICHR(rank=99, adjP=0.00249); CollecTRI(rank=69, P=0.00385)","CEBPB"
"RKO","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,TRUE,374,29,96.5,9,184,6,6,171,"ENRICHR(rank=9, adjP=2.08e-14); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,FALSE,326,9,42,37,47,6,6,122,"ENRICHR(rank=37, adjP=6.51e-07); CollecTRI(rank=47, P=0.0107)","SMAD2"
"SW948","enrichr;collectri","ENRICHR;CollecTRI",2,TRUE,FALSE,332,3,18.5,2,35,6,6,2,"ENRICHR(rank=35, adjP=0.000155); CollecTRI(rank=2, P=1.6e-08)","ATF4"
"ALL","trrust;collectri","TRRUST;CollecTRI",2,TRUE,FALSE,298,2,7.5,5,10,6,6,1,"TRRUST(rank=10, P=0.00121); CollecTRI(rank=5, P=5e-06)","ATF4"
"DLD1","trrust;collectri","TRRUST;CollecTRI",2,TRUE,TRUE,298,12,39,35,43,6,6,244,"TRRUST(rank=43, P=0.0206); CollecTRI(rank=35, P=0.00577)","E2F4"
"DLD1_HCT15","trrust;collectri","TRRUST;CollecTRI",2,TRUE,FALSE,298,2,10.5,8,13,6,6,1,"TRRUST(rank=13, P=0.0102); CollecTRI(rank=8, P=0.00101)","ATF4"
